Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-27,2747.500000,2747.500000,2664.500000,2667.000000,2668.75,2560,2641.375,2456.75,Bullish,-21
2021-10-26,2679.500000,2728.000000,2670.500000,2721.500000,2633.5,2560,2635.625,2445.25,Bullish,-20
2021-10-25,2683.000000,2711.500000,2667.000000,2679.000000,2575,2560,2635.625,2431,Bullish,-19
2021-10-22,2684.000000,2723.000000,2659.000000,2667.000000,2545.25,2572,2616.625,2420.75,Bullish,-18
2021-10-21,2690.500000,2700.500000,2652.500000,2691.000000,2542.25,2572,2611.25,2420.75,Bullish,-17
2021-10-20,2670.000000,2743.500000,2666.500000,2713.000000,2542.25,2572,2611.25,2420.75,Bullish,-16
2021-10-19,2653.000000,2700.500000,2653.000000,2691.500000,2520.75,2572,2616.875,2414.5,Bullish,-15
2021-10-18,2626.500000,2643.000000,2597.000000,2633.500000,2498.5,2572,2617.75,2400,Bullish,-14
2021-10-15,2634.500000,2656.000000,2590.000000,2648.500000,2498.5,2572,2616.875,2400,Bullish,-13
2021-10-14,2525.000000,2617.000000,2523.500000,2610.500000,2476.5,2572,2611.875,2400,Neutral,-12
2021-10-13,2422.000000,2517.000000,2406.500000,2500.000000,2426.5,2572,2617,2384.3499755,Neutral,-11
2021-10-12,2387.500000,2438.500000,2347.000000,2415.000000,2443.75,2572,2617.75,2384.3499755,Neutral,-10
2021-10-11,2409.000000,2431.500000,2341.000000,2410.000000,2465.5,2572,2617.75,2353.25,Neutral,-9
2021-10-08,2470.000000,2470.000000,2394.000000,2397.000000,2487.25,2572,2617.75,2344.950012,Neutral,-8
2021-10-07,2482.500000,2494.500000,2418.000000,2481.500000,2537.5,2572,2591.75,2330.549988,Neutral,-7
2021-10-06,2430.000000,2464.000000,2378.500000,2434.000000,2544.5,2572,2545.875,2330.549988,Neutral,-6
2021-10-05,2366.500000,2460.500000,2363.000000,2450.500000,2560,2572,2545.875,2330.549988,Neutral,-5
2021-10-04,2410.000000,2439.000000,2336.000000,2354.500000,2560,2572,2544,2311.950012,Neutral,-4
2021-10-01,2402.500000,2431.500000,2365.500000,2421.500000,2574.75,2586.75,2523,2311.950012,Neutral,-3
2021-09-30,2535.000000,2551.500000,2415.000000,2415.000000,2599.5,2611.5,2511.625,2311.950012,Neutral,-2
2021-09-29,2523.000000,2595.000000,2495.000000,2495.000000,2634.75,2634.75,2490.625,2301.200012,Bullish,-1
2021-09-28,2638.500000,2638.500000,2461.500000,2500.500000,2634.75,2634.75,2463.375,2273.950012,Bullish,-0
2021-09-27,2711.500000,2739.000000,2630.500000,2644.000000,2719.25,2703.5,2421.875,2232.450012,Bullish,+75
2021-09-24,2753.000000,2753.000000,2665.000000,2671.000000,2713.75,2668.75,2369.375,2179.950012,Bullish,+74
2021-09-23,2733.500000,2784.000000,2732.500000,2746.500000,2713.75,2579,2312.375,2122.950012,Bullish,+73
2021-09-22,2699.500000,2722.500000,2657.500000,2709.500000,2713.75,2579,2307.75,2119.200012,Bullish,+72
2021-09-21,2686.500000,2722.500000,2675.500000,2695.000000,2707.5,2575.25,2302.75,2102.299988,Bullish,+71
2021-09-20,2701.000000,2744.500000,2663.500000,2673.000000,2703.5,2567.75,2293.5,2098.5999755,Bullish,+70
2021-09-17,2775.000000,2808.000000,2717.500000,2723.000000,2703.5,2567.75,2280.125,2098.5999755,Bullish,+69
2021-09-16,2706.500000,2755.000000,2706.000000,2744.000000,2677,2556.25,2280.125,2098.5999755,Bullish,+68
2021-09-15,2682.500000,2717.500000,2680.500000,2696.500000,2666.25,2556.25,2280.125,2098.5999755,Bullish,+67
2021-09-14,2640.000000,2678.500000,2619.500000,2678.500000,2666.25,2556.25,2273.375,2091.8499755,Bullish,+66
2021-09-13,2691.000000,2694.000000,2636.500000,2647.500000,2677.5,2556.25,2269.25,2091.8499755,Bullish,+65
2021-09-10,2681.500000,2733.500000,2675.000000,2691.500000,2679.25,2556.25,2255,2084.8499755,Bullish,+64
2021-09-09,2617.000000,2685.000000,2607.000000,2674.000000,2679.25,2554.5,2247.25,2077.0999755,Bullish,+63
