Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-27,2747.500000,2747.500000,2664.500000,2667.000000,2572,2225.5,1916.625,1592.600006,Bullish,+98
2021-10-25,2683.000000,2728.000000,2667.000000,2721.500000,2572,2225.5,1901.875,1541.399994,Bullish,+97
2021-10-18,2626.500000,2743.500000,2597.000000,2667.000000,2572,2225.5,1906.875,1541.399994,Bullish,+96
2021-10-11,2409.000000,2656.000000,2341.000000,2648.500000,2567.75,2225.5,1914.375,1501.100006,Bullish,+95
2021-10-04,2410.000000,2494.500000,2336.000000,2397.000000,2566.5,2225.5,1914.375,1492.700012,Bullish,+94
2021-09-27,2711.500000,2739.000000,2365.500000,2421.500000,2535.25,2225.5,1903.125,1464.799988,Bullish,+93
2021-09-20,2701.000000,2784.000000,2657.500000,2671.000000,2533.25,2225.5,1895.25,1452.100006,Bullish,+92
2021-09-13,2691.000000,2808.000000,2619.500000,2723.000000,2456.75,2225.5,1895.25,1452.100006,Bullish,+91
2021-09-06,2681.500000,2733.500000,2599.000000,2691.500000,2446.5,2215.25,1880.25,1442.700012,Bullish,+90
2021-08-30,2729.000000,2759.500000,2636.500000,2670.000000,2420.75,2215.25,1856.25,1442.700012,Bullish,+89
2021-08-23,2648.500000,2787.500000,2633.500000,2725.500000,2384.3499755,2215.25,1856.25,1442.700012,Bullish,+88
2021-08-16,2338.500000,2628.500000,2327.500000,2622.000000,2251.049988,2135.75,1856.25,1442.700012,Bullish,+87
2021-08-09,2347.500000,2402.000000,2325.000000,2356.500000,2119.200012,2022.5,1845.75,1432.200012,Bullish,+86
2021-08-02,2299.000000,2388.500000,2262.500000,2352.500000,2112.450012,2015.75,1722.625,1321.950012,Bullish,+85
2021-07-26,2306.000000,2359.000000,2258.500000,2289.500000,2077.0999755,2001,1704,1321.950012,Bullish,+84
2021-07-19,2185.000000,2327.500000,2105.500000,2308.000000,2061.3499755,1985.25,1692.5,1321.950012,Bullish,+83
2021-07-12,2119.500000,2212.000000,2118.500000,2197.500000,1940.0999755,1932,1692.5,1321.950012,Bullish,+82
2021-07-05,2080.000000,2147.500000,2054.000000,2118.500000,1895.25,1932,1686.375,1321.950012,Bullish,+81
2021-06-28,1991.000000,2099.500000,1981.199951,2080.000000,1871.25,1932,1671.625,1321.950012,Bullish,+80
2021-06-21,1919.199951,2052.500000,1873.599976,2004.500000,1896.5,1932,1664.625,1320.200012,Bullish,+79
2021-06-14,1939.800049,1971.000000,1836.400024,1934.400024,1896.5,1932,1658.75,1320.200012,Bullish,+78
2021-06-07,1860.599976,1931.800049,1840.800049,1918.800049,1896.5,1932,1565.25,1249.450012,Bullish,+77
2021-05-31,1902.199951,1937.800049,1795.199951,1863.199951,1896.5,1932,1507.125,1203.200012,Bullish,+76
2021-05-24,1845.000000,1933.800049,1829.800049,1902.199951,1896.5,1900.75,1507.125,1203.200012,Bullish,+75
2021-05-17,1708.400024,1876.800049,1668.199951,1845.000000,1896.5,1877.75,1491.25,1201.899994,Bullish,+74
2021-05-10,1907.199951,1907.800049,1643.000000,1701.199951,1896.5,1877.75,1461.949997,1188.600006,Bullish,+73
2021-05-03,2051.500000,2077.500000,1868.000000,1913.000000,1967.75,1865.5,1431.175003,1187.700012,Bullish,+72
2021-04-26,2104.000000,2150.000000,2041.000000,2041.500000,1967.75,1836,1405.574997,1179.5,Bullish,+71
2021-04-19,2005.000000,2108.500000,1956.000000,2107.000000,1988.25,1825.5,1405.574997,1179.5,Bullish,+70
2021-04-12,1987.400024,2018.000000,1948.199951,2018.000000,2003.25,1825.5,1385.425003,1166.700012,Bullish,+69
2021-04-05,1982.000000,2046.000000,1956.000000,1989.199951,2003.25,1825.5,1361.975006,1147.450012,Bullish,+68
2021-03-29,1896.500000,1983.599976,1843.500000,1982.000000,1980.75,1825.5,1307.274994,1105.399994,Bullish,+67
2021-03-22,1905.000000,1953.500000,1835.500000,1889.500000,1965,1825.5,1297.925003,1089.399994,Bullish,+66
2021-03-15,1932.000000,2014.000000,1893.000000,1913.000000,1965,1825.5,1251.425003,1042.899994,Bullish,+65
2021-03-08,1821.000000,1988.000000,1785.500000,1935.000000,1965,1795.5,1241.225006,1037.399994,Bullish,+64
2021-03-01,1950.000000,1979.000000,1810.000000,1814.000000,1963.75,1748.75,1242.350006,1037.399994,Bullish,+63
2021-02-22,2191.000000,2191.000000,1860.500000,1916.000000,1963.75,1748.75,1241.350006,1037.399994,Bullish,+62
2021-02-15,2200.000000,2221.000000,2126.000000,2211.000000,1963.75,1748.75,1235.350006,1037.399994,Bullish,+61
2021-02-08,1892.500000,2200.000000,1881.500000,2190.000000,1953.25,1738.25,1212.600006,1037.399994,Bullish,+60
2021-02-01,1740.500000,1924.000000,1740.500000,1884.500000,1817.25,1628,1200.725006,1037.399994,Bullish,+59
2021-01-25,1925.000000,1942.000000,1709.000000,1719.500000,1780,1628,1180.975006,1017.649994,Bullish,+58
2021-01-18,1786.000000,1923.500000,1770.000000,1919.000000,1757,1628,1165.100006,1017.649994,Bullish,+57
2021-01-11,1760.000000,1805.500000,1739.500000,1789.000000,1757,1628,1133.550003,1000.399994,Bullish,+56
2021-01-04,1900.000000,1921.500000,1706.500000,1756.500000,1744.75,1628,1126.150009,1000.399994,Bullish,+55
2020-12-28,1971.000000,1979.500000,1894.500000,1905.000000,1715.25,1628,1060.300003,960.149994,Bullish,+54
2020-12-21,1940.000000,1970.000000,1870.500000,1969.500000,1703,1626.25,1040.050003,939.899994,Bullish,+53
2020-12-14,1845.500000,1976.000000,1826.000000,1949.500000,1703,1614.5,1010.400009,930.399994,Bullish,+52
2020-12-07,1655.000000,1834.500000,1655.000000,1827.000000,1632.25,1498.25,968.700012,892.899994,Bullish,+51
2020-11-30,1614.500000,1667.000000,1580.500000,1659.000000,1586,1428.25,954.75,892.899994,Bullish,+50
2020-11-23,1605.500000,1625.500000,1534.500000,1616.000000,1586,1428.25,935.900009,880.399994,Bullish,+49
2020-11-16,1645.000000,1646.500000,1575.500000,1608.000000,1586,1396.5,904.25,849.399994,Bullish,+48
2020-11-09,1649.000000,1680.000000,1510.000000,1629.000000,1556,1367.899994,846.650009,803.149994,Bullish,+47
2020-11-02,1455.500000,1671.500000,1451.000000,1610.000000,1509.25,1353.100006,816.050018,773,Bullish,+46
2020-10-26,1554.500000,1588.000000,1430.000000,1447.500000,1509.25,1301.899994,779.75,740.799988,Bullish,+45
2020-10-19,1644.000000,1657.000000,1538.000000,1568.500000,1509.25,1301.899994,762.600006,729.899994,Bullish,+44
2020-10-12,1709.500000,1742.000000,1620.000000,1626.500000,1509.25,1261.600006,762.450012,729.899994,Bullish,+43
2020-10-05,1608.500000,1703.500000,1589.000000,1703.500000,1490,1233.950012,762.450012,729.899994,Bullish,+42
2020-09-28,1610.000000,1622.000000,1538.000000,1602.500000,1449.25,1165.299988,761.800003,729.899994,Bullish,+41
2020-09-21,1504.000000,1616.000000,1494.000000,1595.500000,1446.25,1149.600006,755.300003,729.899994,Bullish,+40
2020-09-14,1388.000000,1523.000000,1370.000000,1523.000000,1399.75,1103.100006,755.300003,729.899994,Bullish,+39
2020-09-07,1320.000000,1379.500000,1276.500000,1375.000000,1394.25,1088.200012,760.149994,729.899994,Bullish,+38
2020-08-31,1422.000000,1451.000000,1281.000000,1311.500000,1396.5,1088.200012,770.949997,729.899994,Bullish,+37
2020-08-24,1368.000000,1495.000000,1368.000000,1415.000000,1394.5,1088.200012,770.949997,729.899994,Bullish,+36
2020-08-17,1419.000000,1467.500000,1315.000000,1368.000000,1382.5,1088.200012,770.949997,729.899994,Bullish,+35
2020-08-10,1489.000000,1495.000000,1397.500000,1415.500000,1337,1088.200012,762.700012,728.100006,Bullish,+34
2020-08-03,1421.500000,1512.000000,1414.500000,1487.500000,1313.25,1088.200012,756.200012,728.100006,Bullish,+33
2020-07-27,1358.000000,1431.500000,1356.000000,1417.000000,1293.5,1068.450012,730.5,702.399994,Bullish,+32
2020-07-20,1408.000000,1472.500000,1343.000000,1355.000000,1261.75,1068.450012,724.850006,700.100006,Bullish,+31
2020-07-13,1387.500000,1425.500000,1311.500000,1402.500000,1215.899994,1051.200012,690.5,672.399994,Bullish,+30
2020-07-06,1378.500000,1438.000000,1334.000000,1379.500000,1201.100006,1051.200012,674.650009,647.399994,Bullish,+29
2020-06-29,1295.500000,1357.500000,1277.000000,1351.500000,1109.649994,1010.950012,670.550003,636.399994,Bullish,+28
2020-06-22,1274.000000,1317.000000,1253.000000,1284.500000,1089.399994,990.700012,666.949997,602.875,Bullish,+27
2020-06-15,1163.000000,1298.000000,1162.000000,1276.000000,1039.600006,981.200012,660.550003,578.100006,Bullish,+26
2020-06-08,1118.000000,1213.500000,1114.500000,1170.500000,993.700012,943.700012,645.149994,578.100006,Bullish,+25
2020-06-01,1190.500000,1223.000000,1137.500000,1151.000000,965.799988,943.700012,646.849991,578.100006,Bullish,+24
2020-05-25,1148.500000,1198.000000,1051.000000,1183.000000,940.600006,931.200012,637.199997,578.100006,Bullish,+23
2020-05-18,993.799988,1136.000000,993.799988,1132.000000,909.600006,898.899994,632.649994,578.100006,Bullish,+22
2020-05-11,974.799988,1043.500000,964.200012,980.200012,853.950012,839.350006,629.749985,578.100006,Bullish,+21
2020-05-04,874.400024,983.200012,861.799988,981.000000,823.800018,808.300018,632.049988,578.100006,Bullish,+20
2020-04-27,872.000000,918.799988,863.400024,901.200012,791.600006,767.899994,632.499985,578.100006,Bullish,+19
2020-04-20,784.799988,872.000000,781.200012,867.000000,768.200012,757,632.499985,578.100006,Bullish,+18
2020-04-13,775.400024,798.400024,764.400024,780.400024,780.700012,744.200012,638.299988,578.100006,Bullish,+17
2020-04-06,715.200012,787.000000,708.599976,775.400024,780.700012,744.200012,638.299988,578.100006,Bullish,+16
2020-03-30,790.000000,796.400024,683.200012,691.200012,780.700012,742.899994,638.299988,578.100006,Bullish,+15
2020-03-23,696.000000,796.200012,693.599976,790.000000,780.700012,729.899994,665.700012,578.100006,Bullish,+14
2020-03-16,700.000000,788.599976,664.400024,736.000000,780.700012,729.899994,665.700012,578.100006,Bullish,+13
2020-03-09,751.000000,789.200012,683.799988,746.000000,790.399994,729.899994,665.700012,578.100006,Bullish,+12
2020-03-02,836.599976,837.400024,774.400024,803.000000,812,729.899994,672.774994,578.100006,Bullish,+11
2020-02-24,843.000000,851.799988,730.000000,797.200012,812,729.899994,672.774994,578.100006,Bullish,+10
2020-02-17,884.400024,897.000000,859.200012,871.599976,812,729.899994,674.125,578.100006,Bullish,+9
2020-02-10,867.000000,885.400024,859.200012,883.599976,797.300018,728.100006,674.125,578.100006,Bullish,+8
2020-02-03,835.799988,893.400024,831.599976,870.599976,784.300018,728.100006,676.475006,578.100006,Bullish,+7
2020-01-27,821.200012,842.000000,808.599976,831.000000,758.600006,702.399994,679.524994,578.100006,Bullish,+6
2020-01-20,778.799988,837.400024,775.599976,835.200012,749.600006,700.100006,682.874985,578.100006,Bullish,+5
2020-01-13,749.200012,782.000000,747.200012,777.799988,708.600006,672.399994,682.874985,578.100006,Bullish,+4
2020-01-06,731.400024,749.799988,727.000000,749.000000,692.300018,657,666.249985,578.100006,Bullish,+3
2019-12-30,735.000000,751.200012,727.599976,741.799988,684.100006,657,660.749985,578.100006,Bullish,+2
2019-12-23,742.799988,742.799988,727.799988,737.799988,680.5,653.399994,645.237488,578.100006,Bullish,+1
2019-12-16,702.000000,744.000000,701.200012,742.599976,667.700012,653.399994,632.849991,578.100006,Bullish,+0
2019-12-09,696.200012,708.799988,675.200012,699.200012,652,638.299988,632.849991,578.100006,Bullish,-13
2019-12-02,698.200012,712.599976,678.799988,701.799988,650.699982,643,632.849991,578.100006,Bullish,-12
2019-11-25,666.000000,700.000000,661.799988,696.200012,631.399994,643,635.25,578.100006,Bullish,-11
2019-11-18,649.400024,668.400024,635.200012,662.799988,615.600006,649.699982,635.25,578.100006,Bullish,-10
2019-11-11,633.400024,656.799988,633.400024,647.400024,609.799988,649.699982,635.25,578.100006,Bullish,-9
2019-11-04,633.599976,654.599976,617.000000,635.400024,614.399994,649.699982,627.625,578.100006,Bullish,-8
2019-10-28,629.000000,639.200012,623.599976,631.599976,615.299988,649.699982,627.625,578.100006,Bullish,-7
2019-10-21,621.400024,630.000000,591.400024,629.400024,615.299988,649.699982,627.625,578.100006,Bullish,-6
2019-10-14,642.599976,649.000000,619.599976,620.200012,626.899994,649.699982,627.625,578.100006,Neutral,-5
2019-10-07,599.000000,644.000000,588.799988,641.799988,626.899994,649.699982,627.625,578.100006,Bullish,-4
2019-09-30,616.000000,618.200012,562.799988,596.599976,626.899994,649.699982,627.625,578.100006,Neutral,-3
2019-09-23,636.400024,637.799988,604.000000,619.000000,657.600006,673.800018,616,568.200012,Bullish,-2
2019-09-16,619.000000,644.400024,612.000000,639.000000,657.600006,673.800018,,568.200012,,-1
2019-09-09,665.599976,666.000000,601.400024,625.400024,657.600006,673.800018,,568.200012,,-0
2019-09-02,656.400024,667.799988,642.200012,667.000000,668.399994,677.149994,,568.200012,,+22
2019-08-26,639.599976,663.799988,623.000000,658.799988,668.399994,677.149994,,568.200012,,+21
2019-08-19,663.000000,691.000000,633.400024,643.599976,671.100006,677.149994,,568.200012,,+20
2019-08-12,671.799988,682.799988,635.200012,659.400024,671.100006,677.149994,,568.200012,,+19
2019-08-05,664.000000,681.000000,628.400024,670.000000,675.800018,677.149994,,568.200012,,+18
2019-07-29,705.200012,713.799988,669.799988,673.799988,681.899994,677.149994,,568.200012,,+17
2019-07-22,692.200012,713.599976,684.599976,711.799988,688.599976,677.149994,,568.200012,,+16
2019-07-15,674.200012,706.799988,672.000000,694.599976,688.599976,677.149994,,568.200012,,+15
2019-07-08,646.000000,680.000000,640.599976,676.000000,687.599976,644.899994,,568.200012,,+14
2019-07-01,679.000000,685.000000,645.400024,648.799988,687.599976,633.899994,,568.200012,,+13
2019-06-24,680.000000,688.799988,646.000000,678.599976,687.599976,602.875,,568.200012,,+12
2019-06-17,686.400024,692.000000,663.400024,680.799988,687.599976,578.100006,,568.375015,,+11
2019-06-10,714.799988,723.200012,688.000000,700.200012,687.599976,578.100006,,573.725006,,+10
2019-06-03,711.799988,716.200012,673.599976,707.799988,687.599976,578.100006,,573.725006,,+9
2019-05-27,721.599976,736.599976,695.400024,720.799988,692.399994,578.100006,,573.725006,,+8
2019-05-20,685.000000,727.599976,674.599976,721.000000,692.399994,578.100006,,573.725006,,+7
2019-05-13,663.799988,685.599976,638.599976,685.599976,692.399994,578.100006,,611.875015,,+6
2019-05-06,660.000000,678.000000,654.400024,655.799988,677.149994,578.100006,,616.500015,,+5
2019-04-29,714.599976,730.000000,670.000000,677.000000,677.149994,578.100006,,616.500015,,+4
2019-04-22,670.000000,727.400024,667.200012,714.000000,677.149994,578.100006,,616.500015,,+3
2019-04-15,700.599976,705.400024,669.599976,670.000000,677.149994,578.100006,,628.700012,,+2
2019-04-08,721.000000,721.200012,684.000000,693.799988,677.149994,578.100006,,628.700012,,+1
2019-04-01,699.000000,746.200012,695.599976,720.200012,677.149994,578.100006,,683.200012,,+0
2019-03-25,654.200012,698.000000,642.000000,698.000000,663.799988,568.200012,,682.25,,
2019-03-18,671.000000,683.000000,657.799988,657.799988,663.799988,,,,,
2019-03-11,645.000000,680.000000,608.099976,659.299988,631.549988,,,,,
2019-03-04,660.000000,661.500000,622.500000,640.000000,620.549988,,,,,
2019-02-25,671.599976,719.500000,642.900024,655.599976,589.524994,,,,,
