Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-27,144.850006,145.449997,144.250000,144.800003,147.125,144.425003,143.1749955,144.524994,Bullish,+12
2021-10-26,144.750000,145.550003,143.949997,145.050003,147.125,144.425003,143.21249775,144.524994,Bullish,+11
2021-10-25,146.350006,146.449997,144.050003,144.250000,147.175003,143.875,144.62499625,144.524994,Bearish,+10
2021-10-22,146.500000,147.300003,144.350006,145.800003,147.3250045,143.875,144.78749475,144.524994,Bullish,+9
2021-10-21,145.050003,146.800003,144.699997,146.449997,147.5,143.875,144.78749475,144.524994,Bullish,+8
2021-10-20,149.399994,150.300003,145.550003,146.000000,147.5,143.875,144.91249475,144.524994,Bullish,+7
2021-10-19,147.350006,149.949997,146.449997,149.750000,146.324997,143.699997,146,144.524994,Bullish,+6
2021-10-18,147.250000,147.600006,146.449997,147.350006,143.850006,142.9000015,146.8624955,144.524994,Bullish,+5
2021-10-15,145.750000,147.550003,144.699997,147.350006,143.850006,142.9000015,146.73749925,144.524994,Bullish,+4
2021-10-14,147.449997,148.350006,145.399994,145.699997,143.850006,142.9000015,146.33749775,144.524994,Neutral,+3
2021-10-13,147.449997,148.199997,146.000000,147.199997,143.7750015,142.824997,146.625,144.524994,Bullish,+2
2021-10-12,145.149994,147.500000,145.100006,147.500000,143.425003,142.4749985,146.7874985,144.524994,Bullish,+1
2021-10-11,146.500000,146.949997,145.149994,146.250000,143,142.199997,146.9749985,144.524994,Neutral,+0
2021-10-08,145.300003,146.699997,144.800003,146.699997,142.625,142.074997,147.512497,144.524994,Neutral,-19
2021-10-07,143.750000,145.250000,142.699997,145.250000,141.9000015,142.324997,146.7374955,144.524994,Neutral,-18
2021-10-06,142.449997,142.750000,139.350006,142.350006,141.875,142.7999955,146.7374955,144.524994,Bearish,-17
2021-10-05,142.350006,143.699997,141.250000,143.250000,142.4000015,143.449997,147.24999625,144.524994,Bearish,-16
2021-10-04,142.399994,144.399994,142.199997,142.750000,142.4000015,143.875,147.074997,144.524994,Bearish,-15
2021-10-01,139.949997,143.750000,139.649994,142.750000,142.4000015,143.875,146.84999475,144.524994,Bearish,-14
2021-09-30,140.899994,141.899994,140.149994,140.500000,141.8499985,143.875,146.84999475,144.524994,Bearish,-13
2021-09-29,140.449997,141.449997,139.050003,140.149994,141.8499985,144.199997,146.84999475,143.8499985,Bearish,-12
2021-09-28,142.300003,142.500000,138.550003,139.699997,141.8499985,144.574997,146.524994,142.875,Bearish,-11
2021-09-27,144.899994,145.199997,141.949997,142.100006,141.8499985,145.0499955,145.9625015,142.175003,Bearish,-10
2021-09-24,144.750000,144.850006,142.850006,143.850006,141.8499985,145.0499955,145.1624985,141.800003,Neutral,-9
2021-09-23,144.699997,146.250000,144.550003,145.050003,141.8499985,145.0499955,145.1624985,141.800003,Neutral,-8
2021-09-22,145.550003,146.250000,143.350006,143.750000,141.8499985,145.0499955,143.99999625,141.4500045,Neutral,-7
2021-09-21,140.100006,144.800003,140.000000,144.649994,141.2999955,145.0499955,143.199997,141.4500045,Bullish,-6
2021-09-20,138.699997,139.850006,137.449997,139.399994,141.375,145.0499955,143.14999775,141.375,Bearish,-5
2021-09-17,143.050003,143.750000,140.000000,140.000000,142.9749985,146.274994,143.06249625,141.375,Bearish,-4
2021-09-16,142.550003,143.800003,142.500000,142.750000,143.2999955,146.274994,142.6624985,141.375,Bullish,-3
2021-09-15,141.949997,144.199997,141.949997,142.399994,143.2999955,146.274994,142.5,141.375,Neutral,-2
2021-09-14,142.000000,142.350006,139.899994,142.100006,143.5499955,146.274994,141.5999985,141.375,Bullish,-1
2021-09-13,143.300003,143.699997,141.600006,142.199997,144.875,147.125,141.574997,141.375,Bullish,-0
2021-09-10,145.100006,145.100006,143.000000,143.000000,146.074997,147.649994,142.137497,141.375,Bullish,+18
2021-09-09,144.100006,145.149994,143.600006,144.449997,146.5,146.9749985,142.56249625,141.375,Bullish,+17
2021-09-08,145.250000,145.300003,142.699997,144.850006,146.5,146.1749955,142.824997,141.375,Bullish,+16
2021-09-07,145.500000,146.050003,144.750000,146.000000,147.175003,146.074997,142.824997,141.375,Bullish,+15
2021-09-06,145.899994,146.699997,145.100006,145.699997,147.5,146.074997,142.824997,141.375,Bullish,+14
2021-09-03,145.850006,146.399994,144.050003,145.500000,147.875,146.074997,142.824997,141.375,Bullish,+13
2021-09-02,146.649994,147.199997,145.449997,145.800003,148.949997,146.074997,142.824997,141.375,Bullish,+12
2021-09-01,148.100006,148.149994,145.750000,146.850006,148.949997,144.524994,145.3499985,141.375,Bullish,+11
