Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-27,125.000000,125.860001,123.980003,124.900002,120.4199985,119.1499975,110.192499,116.6250035,Bullish,+26
2021-10-25,122.000000,126.379997,121.820000,126.080002,120.989998,119.1499975,108.26250075,116.6250035,Bullish,+25
2021-10-18,124.199997,126.400002,118.540001,121.279999,120.989998,119.1499975,108.09749975,116.6250035,Bullish,+24
2021-10-11,116.660004,126.279999,115.720001,126.279999,120.989998,119.1499975,110.68249875,116.6250035,Bullish,+23
2021-10-04,115.639999,118.580002,112.779999,117.440002,120.989998,119.1499975,109.59749775,116.6250035,Bullish,+22
2021-09-27,122.540001,123.000000,115.019997,116.260002,122.109997,117.989998,109.24249825,116.6250035,Neutral,+21
2021-09-20,120.000000,123.260002,118.580002,121.239998,123.0999985,116.09,109.487499,116.6250035,Bullish,+20
2021-09-13,122.839996,124.180000,121.379997,122.080002,122.1899985,115.3099975,109.487499,114.770004,Bullish,+19
2021-09-06,126.500000,128.059998,121.779999,123.199997,122.1899985,115.3099975,110.112499,112.725002,Bullish,+18
2021-08-30,125.620003,129.199997,124.220001,125.599998,122.1899985,115.3099975,110.20249925,112.725002,Bullish,+17
2021-08-23,126.220001,127.260002,123.599998,125.760002,121.2799985,114.25,111.412502,112.725002,Bullish,+16
2021-08-16,124.519997,127.379997,124.080002,126.300003,121.2799985,113.919998,111.31750275,112.725002,Bullish,+15
2021-08-09,124.339996,126.680000,122.440002,125.480003,121.2700005,113.91,110.97000275,112.725002,Bullish,+14
2021-08-02,122.000000,125.940002,119.540001,124.839996,120.7600025,113.91,110.97000275,112.725002,Bullish,+13
2021-07-26,117.099998,121.599998,117.000000,120.839996,119.950001,113.91,110.97000275,112.725002,Bullish,+12
2021-07-19,124.980003,125.139999,115.180000,117.800003,119.950001,113.91,109.77500125,112.725002,Bullish,+11
2021-07-12,124.519997,127.360001,123.680000,125.459999,119.1500015,113.91,109.77500125,112.725002,Bullish,+10
2021-07-05,118.639999,126.059998,117.940002,124.720001,117.579998,113.2599985,109.77500125,112.725002,Bullish,+9
2021-06-28,117.279999,121.099998,117.260002,119.300003,115.099998,110.7799985,107.78000225,112.725002,Bullish,+8
2021-06-21,117.519997,119.500000,116.580002,117.680000,115.09,110.7700005,107.3650015,112.725002,Bullish,+7
2021-06-14,118.500000,121.080002,116.839996,118.199997,115.09,110.580002,114.38000075,112.725002,Bullish,+6
2021-06-07,114.639999,118.339996,114.160004,118.339996,115.049999,109.845001,114.7000005,112.725002,Bullish,+5
2021-05-31,114.760002,116.139999,112.540001,114.800003,113.8899995,109.845001,114.7000005,112.725002,Bullish,+4
2021-05-24,114.879997,116.300003,113.660004,115.120003,111.9900015,109.845001,114.7000005,112.725002,Bullish,+3
2021-05-17,114.000000,115.400002,110.940002,114.879997,111.209999,109.174999,114.7000005,112.725002,Bullish,+2
2021-05-10,116.160004,116.419998,109.099998,114.040001,111.209999,109.174999,115.3250005,112.725002,Neutral,+1
2021-05-03,116.800003,117.800003,112.680000,117.360001,111.209999,109.174999,115.41500075,112.725002,Bullish,+0
2021-04-26,119.199997,119.980003,116.760002,116.760002,111.0600015,105.465,116.9850045,112.725002,Neutral,-26
2021-04-19,116.220001,121.000000,114.080002,119.419998,110.7299995,105.465,127.76000375,112.725002,Neutral,-25
2021-04-12,112.300003,118.000000,110.699997,116.220001,109.2299995,112.134998,128.9100035,112.725002,Neutral,-24
2021-04-05,106.779999,112.379997,106.779999,112.300003,106.419998,112.7749975,128.9100035,112.725002,Bearish,-23
2021-03-29,103.480003,107.139999,102.980003,106.779999,105.709999,112.7749975,128.33500275,112.725002,Bearish,-22
2021-03-22,102.980003,104.180000,101.419998,102.879997,106.2000005,112.7749975,127.22500225,112.725002,Bearish,-21
2021-03-15,103.220001,103.699997,102.260002,103.599998,106.2000005,112.7749975,125.83500275,112.725002,Bearish,-20
2021-03-08,102.500000,107.379997,101.720001,103.040001,106.2000005,114.0249975,124.81250175,112.725002,Bearish,-19
2021-03-01,103.320000,104.779999,101.120003,101.779999,106.2000005,114.204998,124.10750375,112.725002,Bearish,-18
2021-02-22,104.000000,104.839996,100.459999,102.059998,106.2000005,116.6250035,122.49249825,112.664997,Bearish,-17
2021-02-15,109.059998,109.180000,104.120003,104.940002,106.010002,116.6250035,121.6624985,112.664997,Bearish,-16
2021-02-08,109.160004,109.800003,106.419998,108.559998,105.315002,116.6250035,120.05249775,112.664997,Bearish,-15
2021-02-01,106.000000,110.959999,105.500000,108.480003,105.315002,116.6250035,120.05249775,112.664997,Bearish,-14
2021-01-25,105.160004,111.940002,103.800003,104.800003,105.315002,116.6250035,120.05249775,112.664997,Bearish,-13
2021-01-18,103.059998,106.059998,102.699997,104.699997,102.924999,116.6250035,118.96249775,112.664997,Bearish,-12
2021-01-11,106.300003,106.940002,102.860001,103.519997,102.924999,116.6250035,116.53249925,110.924999,Bearish,-11
2021-01-04,108.099998,108.500000,103.599998,106.180000,102.924999,116.6250035,115.8425005,110.924999,Bearish,-10
2020-12-28,105.099998,107.940002,104.660004,107.220001,98.935001,116.6250035,110.45750225,105.8650015,Neutral,-9
2020-12-21,102.059998,104.199997,100.080002,103.760002,98.1049995,116.6250035,110.32750125,105.8650015,Bearish,-8
2020-12-14,100.199997,106.279999,98.690002,104.260002,112.134998,116.6250035,109.572502,105.8650015,Bearish,-7
2020-12-07,102.800003,103.599998,99.070000,99.750000,112.7749975,116.6250035,108.97750075,105.8650015,Bearish,-6
2020-11-30,100.000000,102.820000,99.940002,102.779999,112.7749975,116.6250035,108.1525,105.8650015,Bearish,-5
2020-11-23,99.300003,100.739998,97.349998,100.139999,112.7749975,116.6250035,105.5175,105.8650015,Bearish,-4
2020-11-16,102.400002,102.919998,98.050003,98.800003,112.7749975,116.6250035,103.20250125,105.8650015,Bearish,-3
2020-11-09,99.769997,103.339996,98.370003,101.220001,114.0249975,116.6250035,102.18000025,105.8650015,Bearish,-2
2020-11-02,92.199997,99.800003,89.930000,97.250000,114.204998,116.6250035,102.18000025,105.8650015,Bearish,-1
2020-10-26,100.000000,105.400002,90.650002,91.489998,116.9850045,116.9850045,102.385,105.8650015,Bearish,-0
2020-10-19,133.160004,134.339996,122.599998,124.900002,132.9600025,122.560005,104.255001,105.8650015,Bullish,+15
2020-10-12,133.500000,135.619995,129.520004,132.839996,135.260002,122.560005,105.8650015,105.8650015,Bullish,+14
2020-10-05,133.119995,133.500000,129.479996,133.059998,135.260002,122.560005,105.8650015,105.8650015,Bullish,+13
2020-09-28,130.979996,134.860001,130.360001,132.759995,135.260002,121.4100035,105.8650015,105.8650015,Bullish,+12
2020-09-21,135.000000,135.539993,127.199997,129.960007,135.260002,119.1900025,105.8650015,105.8650015,Bullish,+11
2020-09-14,136.720001,138.119995,133.119995,135.500000,136.9000015,114.770004,105.8650015,105.8650015,Bullish,+10
2020-09-07,133.839996,138.479996,131.880005,135.500000,136.9000015,112.725002,109.9100035,109.9100035,Bullish,+9
2020-08-31,140.220001,143.320007,130.479996,132.860001,135.4900055,112.725002,116.82500275,112.170002,Bullish,+8
2020-08-24,137.000000,142.880005,137.000000,139.759995,132.3199995,112.664997,117.89000325,111.9400025,Bullish,+7
2020-08-17,135.000000,138.000000,134.679993,135.800003,130.66,112.664997,119.88500225,111.100002,Bullish,+6
2020-08-10,136.520004,138.139999,134.199997,135.240005,127.4399985,112.664997,118.65499875,109.8699985,Bullish,+5
2020-08-03,134.539993,138.500000,133.759995,137.220001,127.4399985,112.664997,118.58499925,109.25,Bullish,+4
2020-07-27,141.000000,141.059998,132.600006,133.779999,127.4399985,112.664997,118.58499925,108.459999,Bullish,+3
2020-07-20,136.779999,143.199997,134.940002,135.639999,125.2599985,112.664997,118.7649995,107.705002,Bullish,+2
2020-07-13,137.080002,138.160004,131.179993,135.899994,122.1399995,110.924999,118.244999,107.1850015,Bullish,+1
2020-07-06,129.679993,139.720001,127.660004,135.039993,120.760002,110.924999,117.7350005,106.290001,Bullish,+0
2020-06-29,122.320000,128.300003,121.440002,127.580002,115.050003,105.8650015,117.92,105.5200005,Bullish,-16
2020-06-22,121.980003,127.779999,118.120003,122.120003,114.790001,105.8650015,117.63500025,104.4749985,Bullish,-15
2020-06-15,112.599998,124.760002,111.680000,123.480003,113.2800025,105.8650015,117.09000025,104.4749985,Bullish,-14
2020-06-08,120.620003,122.379997,113.839996,115.300003,112.09,105.8650015,116.5149995,104.4749985,Neutral,-13
2020-06-01,113.500000,121.379997,112.860001,121.139999,110.4399985,105.8650015,113.949999,104.4749985,Bullish,-12
2020-05-25,107.500000,115.279999,107.320000,113.500000,105.1699985,105.8650015,113.904999,104.4749985,Neutral,-11
2020-05-18,106.220001,110.540001,104.559998,106.379997,100.540001,105.8650015,113.904999,104.4749985,Neutral,-10
2020-05-11,107.860001,107.900002,101.800003,103.739998,98.494999,105.8650015,113.77499975,104.4749985,Bearish,-9
2020-05-04,106.199997,108.559998,104.839996,107.739998,98.494999,105.8650015,113.6299995,104.4749985,Neutral,-8
2020-04-27,109.000000,111.800003,107.160004,108.940002,98.9049985,105.8650015,113.0149995,104.4749985,Neutral,-7
