Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-20,4.910000,5.150000,4.842000,5.100000,5.14,4.57,3.54,3.765,Bullish,+27
2021-10-19,5.010000,5.060000,4.870000,4.960000,5.105,4.57,3.485,3.765,Bullish,+26
2021-10-18,5.150000,5.180000,4.920000,4.960000,5.105,4.49,3.375,3.765,Bullish,+25
2021-10-15,5.200000,5.240000,5.040000,5.070000,5.105,4.43,3.3875,3.765,Bullish,+24
2021-10-14,5.000000,5.150000,4.930000,5.120000,5.105,4.405,3.4325,3.765,Bullish,+23
2021-10-13,4.910000,4.950000,4.800000,4.890000,5.045,4.405,3.4275,3.765,Bullish,+22
2021-10-12,5.220000,5.220000,4.940000,4.980000,4.96,4.405,3.4175,3.765,Bullish,+21
2021-10-11,5.360000,5.480000,5.220000,5.220000,4.955,4.405,3.3675,3.765,Bullish,+20
2021-10-08,5.140000,5.200000,5.110000,5.150000,4.805,4.265,3.255,3.765,Bullish,+19
2021-10-07,4.850000,5.040000,4.730000,5.030000,4.725,4.21,3.255,3.765,Bullish,+18
2021-10-06,4.880000,4.940000,4.790000,4.850000,4.555,4.21,3.255,3.765,Bullish,+17
2021-10-05,5.060000,5.090000,4.920000,5.020000,4.525,4.21,3.2525,3.765,Bullish,+16
2021-10-04,4.890000,5.090000,4.870000,4.890000,4.495,4.21,3.2275,3.765,Bullish,+15
2021-10-01,4.620000,4.850000,4.610000,4.740000,4.275,4.09,3.2525,3.775,Bullish,+14
2021-09-30,4.510000,4.710000,4.440000,4.610000,4.2,4.035,3.265,3.775,Bullish,+13
2021-09-29,4.490000,4.670000,4.430000,4.550000,4.2,4.03,3.265,3.775,Bullish,+12
2021-09-28,4.720000,4.740000,4.410000,4.520000,4.2,3.93,3.265,3.775,Bullish,+11
2021-09-27,4.360000,4.690000,4.360000,4.650000,4.175,3.72,3.345,3.855,Bullish,+10
2021-09-24,4.060000,4.270000,4.020000,4.230000,3.965,3.51,3.4725,3.955,Bullish,+9
2021-09-23,3.970000,4.100000,3.960000,4.090000,3.885,3.51,3.5025,3.955,Bullish,+8
2021-09-22,3.920000,4.060000,3.900000,3.930000,3.825,3.51,3.5325,3.955,Neutral,+7
2021-09-21,3.840000,3.870000,3.700000,3.780000,3.8,3.51,3.59,3.955,Neutral,+6
2021-09-20,3.680000,3.830000,3.660000,3.730000,3.8,3.51,3.59,3.955,Neutral,+5
2021-09-17,3.950000,4.000000,3.850000,3.900000,3.8,3.51,3.6475,3.955,Neutral,+4
2021-09-16,4.200000,4.230000,3.990000,4.010000,3.8,3.51,3.6925,3.955,Bullish,+3
2021-09-15,4.060000,4.270000,4.050000,4.240000,3.8,3.51,3.7175,3.955,Bullish,+2
2021-09-14,4.000000,4.040000,3.890000,3.960000,3.685,3.395,3.76,3.955,Bullish,+1
2021-09-13,3.500000,3.930000,3.500000,3.880000,3.63,3.34,3.76,3.955,Neutral,+0
2021-09-10,3.510000,3.540000,3.380000,3.400000,3.52,3.23,3.755,3.955,Bearish,-45
2021-09-09,3.390000,3.480000,3.330000,3.420000,3.52,3.255,3.755,3.955,Bearish,-44
2021-09-08,3.550000,3.570000,3.400000,3.420000,3.545,3.32,3.74,3.955,Bearish,-43
2021-09-07,3.560000,3.610000,3.500000,3.520000,3.535,3.32,3.655,3.955,Bearish,-42
2021-09-03,3.700000,3.700000,3.590000,3.600000,3.515,3.32,3.6375,3.955,Bearish,-41
2021-09-02,3.590000,3.710000,3.550000,3.670000,3.415,3.32,3.6325,3.955,Neutral,-40
2021-09-01,3.560000,3.600000,3.510000,3.520000,3.19,3.32,3.6525,3.955,Bearish,-39
2021-08-31,3.530000,3.630000,3.510000,3.590000,3.19,3.32,3.725,3.955,Bearish,-38
2021-08-30,3.580000,3.630000,3.550000,3.570000,3.19,3.32,3.725,3.955,Bearish,-37
2021-08-27,3.500000,3.620000,3.500000,3.580000,3.185,3.32,3.7275,3.955,Bearish,-36
2021-08-26,3.430000,3.480000,3.380000,3.410000,3.135,3.32,3.7375,3.955,Bearish,-35
2021-08-25,3.430000,3.520000,3.360000,3.470000,3.185,3.32,3.7425,3.955,Bearish,-34
2021-08-24,3.350000,3.430000,3.320000,3.410000,3.21,3.32,3.8,3.955,Bearish,-33
2021-08-23,3.160000,3.280000,3.120000,3.280000,3.21,3.32,4.01,4.12,Bearish,-32
2021-08-20,2.880000,3.030000,2.750000,3.010000,3.21,3.32,4.1175,4.195,Bearish,-31
2021-08-19,3.030000,3.030000,2.910000,2.980000,3.29,3.4,4.245,4.28,Bearish,-30
2021-08-18,3.270000,3.290000,3.120000,3.120000,3.41,3.535,4.3,4.32,Bearish,-29
2021-08-17,3.340000,3.390000,3.240000,3.250000,3.47,3.535,4.3,4.305,Bearish,-28
2021-08-16,3.400000,3.410000,3.290000,3.350000,3.525,3.54,4.3,4.25,Bearish,-27
2021-08-13,3.600000,3.620000,3.490000,3.490000,3.62,3.56,4.3,4.24,Bearish,-26
2021-08-12,3.600000,3.670000,3.540000,3.590000,3.62,3.56,4.415,4.23,Bearish,-25
2021-08-11,3.570000,3.650000,3.530000,3.630000,3.62,3.675,4.4425,4.2,Bearish,-24
2021-08-10,3.450000,3.640000,3.450000,3.630000,3.62,3.765,4.4975,4.175,Bearish,-23
2021-08-09,3.500000,3.500000,3.350000,3.430000,3.605,3.83,4.42,4.175,Bearish,-22
2021-08-06,3.670000,3.700000,3.570000,3.600000,3.605,3.915,4.3875,4.175,Bearish,-21
2021-08-05,3.570000,3.700000,3.570000,3.620000,3.605,3.915,4.3875,4.175,Bearish,-20
2021-08-04,3.750000,3.760000,3.520000,3.540000,3.595,3.915,4.3875,4.175,Bearish,-19
2021-08-03,3.620000,3.890000,3.520000,3.830000,3.595,3.915,4.3875,4.175,Bearish,-18
2021-08-02,3.670000,3.830000,3.560000,3.580000,3.565,3.915,4.4,4.175,Bearish,-17
2021-07-30,3.580000,3.670000,3.500000,3.670000,3.395,3.915,4.4,4.175,Bearish,-16
2021-07-29,3.550000,3.670000,3.500000,3.600000,3.36,3.915,4.4,4.175,Bearish,-15
2021-07-28,3.400000,3.520000,3.320000,3.450000,3.35,3.915,4.4,4.175,Bearish,-14
2021-07-27,3.510000,3.510000,3.320000,3.380000,3.39,3.915,4.4,4.175,Bearish,-13
2021-07-26,3.400000,3.570000,3.380000,3.520000,3.535,3.915,4.4325,4.175,Bearish,-12
2021-07-23,3.420000,3.420000,3.300000,3.390000,3.535,3.915,4.51,4.175,Bearish,-11
2021-07-22,3.450000,3.470000,3.320000,3.380000,3.54,3.915,4.51,4.175,Bearish,-10
2021-07-21,3.310000,3.460000,3.310000,3.400000,3.56,3.915,4.505,4.175,Bearish,-9
2021-07-20,3.180000,3.300000,3.120000,3.240000,3.56,3.925,4.455,4.175,Bearish,-8
2021-07-19,3.120000,3.230000,3.050000,3.180000,3.675,3.925,4.385,4.175,Bearish,-7
2021-07-16,3.610000,3.650000,3.380000,3.380000,3.93,4.09,4.3625,4.175,Bearish,-6
2021-07-15,3.660000,3.730000,3.530000,3.570000,4.07,4.165,4.335,4.175,Bearish,-5
2021-07-14,3.960000,4.020000,3.700000,3.710000,4.24,4.25,4.335,4.175,Bearish,-4
2021-07-13,3.910000,3.970000,3.810000,3.910000,4.28,4.32,4.335,4.175,Bearish,-3
2021-07-12,3.960000,4.030000,3.860000,3.920000,4.28,4.32,4.31,4.165,Bearish,-2
2021-07-09,4.060000,4.070000,3.900000,4.000000,4.28,4.32,4.2825,4.165,Bearish,-1
2021-07-08,3.890000,4.040000,3.780000,3.960000,4.28,4.32,4.11,4,Bearish,-0
2021-07-07,4.240000,4.300000,4.010000,4.020000,4.395,4.435,4.04,4,Neutral,+41
2021-07-06,4.480000,4.480000,4.120000,4.220000,4.45,4.435,4.025,4,Bullish,+40
2021-07-02,4.600000,4.610000,4.430000,4.460000,4.605,4.39,4.0125,4,Bullish,+39
2021-07-01,4.700000,4.780000,4.620000,4.650000,4.505,4.335,4.0125,4,Bullish,+38
2021-06-30,4.500000,4.570000,4.470000,4.530000,4.44,4.335,4.065,4,Bullish,+37
2021-06-29,4.530000,4.570000,4.450000,4.450000,4.44,4.335,4.065,4,Bullish,+36
2021-06-28,4.630000,4.650000,4.450000,4.470000,4.44,4.335,4.08,4,Bullish,+35
2021-06-25,4.660000,4.700000,4.590000,4.670000,4.44,4.335,4.08,4,Bullish,+34
2021-06-24,4.630000,4.650000,4.550000,4.650000,4.465,4.335,4.08,4,Bullish,+33
2021-06-23,4.630000,4.750000,4.600000,4.630000,4.465,4.335,4.08,4,Bullish,+32
2021-06-22,4.550000,4.560000,4.430000,4.550000,4.465,4.335,4.08,4,Bullish,+31
2021-06-21,4.260000,4.610000,4.230000,4.590000,4.465,4.335,4.08,4,Bullish,+30
2021-06-18,4.180000,4.340000,4.130000,4.210000,4.465,4.335,4.1025,4,Bullish,+29
2021-06-17,4.550000,4.560000,4.200000,4.290000,4.53,4.335,4.1025,4,Bullish,+28
2021-06-16,4.700000,4.700000,4.540000,4.600000,4.685,4.335,4.065,4,Bullish,+27
2021-06-15,4.680000,4.750000,4.630000,4.700000,4.685,4.335,3.9725,3.935,Bullish,+26
2021-06-14,4.770000,4.800000,4.590000,4.600000,4.675,4.335,3.9575,3.93,Bullish,+25
2021-06-11,4.650000,4.700000,4.600000,4.670000,4.575,4.335,3.9525,3.93,Bullish,+24
2021-06-10,4.650000,4.740000,4.560000,4.610000,4.435,4.335,3.8975,3.93,Bullish,+23
2021-06-09,4.690000,4.720000,4.530000,4.560000,4.39,4.335,3.885,3.93,Bullish,+22
2021-06-08,4.700000,4.700000,4.510000,4.640000,4.335,4.335,3.885,3.93,Bullish,+21
2021-06-07,4.820000,4.860000,4.660000,4.680000,4.335,4.335,3.885,3.93,Bullish,+20
