Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,2290.000000,2305.485107,2277.000000,2293.000000,2242.7425535,2143.4925535,2118.5,2150,Bullish,+9
2021-11-05,2245.000000,2300.000000,2238.000000,2292.000000,2228.5,2140.75,2124.5,2150,Bullish,+8
2021-11-04,2220.000000,2262.000000,2209.000000,2252.000000,2209,2121.75,2139.75,2144.25,Bullish,+7
2021-11-03,2226.000000,2235.000000,2190.000000,2206.000000,2197,2118.25,2140.75,2144.25,Bullish,+6
2021-11-02,2208.000000,2245.000000,2197.000000,2232.000000,2163,2118.25,2169.75,2144.25,Bullish,+5
2021-11-01,2202.000000,2219.000000,2188.000000,2206.000000,2163,2118.25,2169.75,2144.25,Bullish,+4
2021-10-29,2198.000000,2219.000000,2187.000000,2191.000000,2163,2118.25,2171.75,2144.25,Bullish,+3
2021-10-28,2206.000000,2228.000000,2180.000000,2212.000000,2163,2118.25,2174,2144.25,Bullish,+2
2021-10-27,2201.000000,2255.000000,2198.500000,2215.000000,2163,2118.25,2174,2144.25,Bullish,+1
2021-10-26,2157.000000,2211.000000,2157.000000,2208.000000,2134,2096.25,2174,2144.25,Bullish,+0
2021-10-25,2156.000000,2170.030029,2156.000000,2161.000000,2103,2088.75,2217.5,2144.25,Neutral,-35
2021-10-22,2167.000000,2172.000000,2139.000000,2165.000000,2080.5,2119.25,2217.5,2144.25,Neutral,-34
2021-10-21,2076.000000,2154.000000,2071.000000,2152.000000,2071.5,2119.25,2217.5,2144.25,Neutral,-33
2021-10-20,2114.000000,2139.000000,2105.000000,2123.000000,2064,2119.25,2222.25,2144.25,Bearish,-32
2021-10-19,2100.000000,2136.000000,2095.989990,2125.000000,2062.5,2119.25,2222.25,2144.25,Bearish,-31
2021-10-18,2099.000000,2118.000000,2084.000000,2091.000000,2053.25,2123.25,2219.75,2144.25,Bearish,-30
2021-10-15,2117.000000,2125.000000,2095.000000,2102.000000,2053.25,2127.75,2218,2144.25,Bearish,-29
2021-10-14,2068.000000,2106.000000,2057.000000,2106.000000,2047.25,2127.75,2218,2144.25,Bearish,-28
2021-10-13,2042.000000,2084.000000,2034.000000,2043.000000,2047.25,2127.75,2213.25,2144.25,Bearish,-27
2021-10-12,1998.000000,2050.000000,1989.000000,2049.000000,2047.25,2141.75,2211.5,2144.25,Bearish,-26
2021-10-11,2074.000000,2082.000000,2026.000000,2034.000000,2047.25,2141.75,2214,2144.25,Bearish,-25
2021-10-08,2106.000000,2108.000000,2078.000000,2086.000000,2047.25,2141.75,2208,2144.25,Bearish,-24
2021-10-07,2088.000000,2113.000000,2066.000000,2106.000000,2069.25,2141.75,2196.75,2144.25,Bearish,-23
2021-10-06,2014.000000,2074.000000,1981.500000,2055.000000,2069.25,2141.75,2187.5,2144.25,Bearish,-22
2021-10-05,2013.000000,2049.000000,1995.000000,2036.000000,2092,2145,2185.5,2144.25,Bearish,-21
2021-10-04,2040.000000,2061.000000,1992.494995,1999.500000,2092,2145,2185.5,2144.25,Bearish,-20
2021-10-01,2008.000000,2059.000000,1988.000000,2047.000000,2092,2145,2173.82000725,2165.75,Bearish,-19
2021-09-30,2047.000000,2093.000000,2034.000000,2045.000000,2098,2151,2161.9382325,2165.75,Bearish,-18
2021-09-29,2000.000000,2061.000000,2000.000000,2030.000000,2128.5,2151,2159.0632325,2165.75,Bearish,-17
2021-09-28,2110.000000,2110.000000,2002.000000,2026.000000,2129.5,2152,2159.0632325,2165.75,Bearish,-16
2021-09-27,2157.000000,2157.000000,2109.000000,2112.000000,2158.5,2181,2160.59497075,2165.75,Bearish,-15
2021-09-24,2148.000000,2153.000000,2109.000000,2126.000000,2158.5,2181,2168.0632325,2165.75,Bearish,-14
2021-09-23,2182.000000,2196.000000,2155.000000,2160.000000,2162.5,2181,2168.0632325,2165.75,Bearish,-13
2021-09-22,2111.000000,2176.000000,2111.000000,2166.000000,2167,2181,2170.8132325,2165.75,Neutral,-12
2021-09-21,2089.000000,2119.000000,2079.000000,2100.000000,2167,2181,2168.8132325,2165.75,Bearish,-11
2021-09-20,2137.000000,2162.000000,2060.000000,2072.000000,2167,2181,2168.8132325,2165.75,Bearish,-10
2021-09-17,2255.000000,2257.000000,2167.000000,2176.000000,2229.5,2205.5,2166.125,2165.75,Bullish,-9
2021-09-16,2198.000000,2244.000000,2187.979980,2238.000000,2229.5,2205.5,2187.125,2165.75,Bullish,-8
