Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,2712.000000,2737.000000,2700.000000,2732.000000,2663,2882.5,2955,2670.5,Neutral,-11
2021-11-08,null,null,null,null,2694,2884,2955,2642.5,Bullish,-10
2021-11-01,2746.000000,2766.000000,2678.000000,2718.000000,2735.5,2901.5,2955,2587.75,Neutral,-9
2021-10-25,2708.000000,2748.000000,2678.000000,2733.000000,2760,2912.380005,2934.25,2587.75,Neutral,-8
2021-10-18,2711.000000,2743.000000,2620.000000,2700.000000,2778,2938,2920,2576.25,Neutral,-7
2021-10-11,2607.000000,2765.000000,2587.000000,2726.000000,2778,2938,2920,2576.25,Neutral,-6
2021-10-04,2633.000000,2645.000000,2513.000000,2626.000000,2811,2938,2910.5,2576.25,Neutral,-5
2021-09-27,2788.000000,2813.000000,2620.000000,2650.000000,2829.5,2956.5,2887.25,2502.5,Neutral,-4
2021-09-20,2626.000000,2786.000000,2550.000000,2762.000000,2829.5,2956.5,2887.25,2477.75,Neutral,-3
2021-09-13,2837.000000,2875.000000,2658.000000,2678.000000,2883.5,3010.5,2856,2457,Neutral,-2
2021-09-06,2910.000000,2958.000000,2809.000000,2817.000000,2995.5,3081.5,2833,2457,Neutral,-1
2021-08-30,2993.000000,3007.000000,2800.000000,2900.000000,2995.5,3081.5,2787.9714965,2457,Bullish,-0
2021-08-23,3001.000000,3043.000000,2968.000000,2993.000000,3050,3131,2744.7907715,2421.5,Bullish,+50
2021-08-16,3025.000000,3037.000000,2929.000000,2977.000000,3050,3131,2710,2392.5,Bullish,+49
2021-08-09,2939.000000,3109.000000,2930.000000,3056.000000,3070,3131,2687.5,2370.5,Bullish,+48
2021-08-02,2988.000000,3017.000000,2909.000000,2942.000000,3070,3112,2660.25,2370.5,Bullish,+47
2021-07-26,3056.000000,3075.000000,2914.000000,2972.000000,3072.5,3105.5,2641.5,2370.5,Bullish,+46
2021-07-19,3086.000000,3098.000000,2964.000000,3076.000000,3108,3105.5,2571.5,2304.5,Bullish,+45
2021-07-12,3159.000000,3191.000000,3087.000000,3121.000000,3115,3043,2470.5,2230.5,Bullish,+44
2021-07-05,3091.000000,3176.000000,3013.000000,3162.000000,3132.5,2997,2442,2303,Bullish,+43
2021-06-28,3064.000000,3169.172119,3016.000000,3102.000000,3143.380005,2906.942993,2365.75,2303,Bullish,+42
2021-06-21,2991.000000,3125.000000,2980.000000,3082.000000,3169,2891.581543,2363,2350.5,Bullish,+41
2021-06-14,3161.000000,3231.000000,2989.000000,3018.000000,3169,2880,2352.5,2357.23999,Bullish,+40
2021-06-07,3192.000000,3214.806885,3088.000000,3137.000000,3169,2879,2352.5,2357.23999,Bullish,+39
2021-05-31,3046.000000,3193.000000,3033.000000,3190.000000,3169,2824.5,2342.75,2357.23999,Bullish,+38
2021-05-24,3158.000000,3252.000000,2975.000000,3046.000000,3169,2787,2342.75,2357.23999,Bullish,+37
2021-05-17,3238.000000,3255.000000,3145.000000,3168.000000,3131,2779,2342.75,2357.23999,Bullish,+36
2021-05-10,3285.000000,3290.000000,3155.000000,3242.000000,3131,2779,2334.25,2433.5,Bullish,+35
2021-05-03,3250.000000,3311.760010,3220.000000,3273.000000,3131,2779,2306.875,2433.5,Bullish,+34
2021-04-26,3303.000000,3363.000000,3218.000000,3250.000000,3131,2737.5,2306.875,2454,Bullish,+33
2021-04-19,3191.000000,3310.000000,3154.000000,3294.000000,3119.5,2720.5,2345.375,2454,Bullish,+32
2021-04-12,3160.000000,3204.000000,3088.000000,3186.000000,3119.5,2720.5,2345.375,2454,Bullish,+31
2021-04-05,3014.000000,3340.000000,3014.000000,3134.000000,3100.5,2720.5,2345.375,2454,Bullish,+30
2021-03-29,3036.000000,3118.000000,3007.000000,3014.000000,3074,2700.5,2310.25,2454,Bullish,+29
2021-03-22,2950.000000,3073.000000,2899.000000,3031.000000,3074,2700.5,2297.875,2454,Bullish,+28
2021-03-15,3160.000000,3189.000000,2959.000000,2964.000000,3011.5,2700.5,2278.5,2454,Bullish,+27
2021-03-08,3182.000000,3248.000000,3084.000000,3143.000000,2965.5,2700.5,2252.5,2454,Bullish,+26
2021-03-01,3074.000000,3300.000000,3074.000000,3166.000000,2875.442993,2700.5,2171.75,2454,Bullish,+25
2021-02-22,3120.000000,3229.000000,3042.000000,3055.000000,2824.581543,2665,2182.25,2454,Bullish,+24
2021-02-15,3036.000000,3171.000000,3012.000000,3128.000000,2784,2636,2178,2454,Bullish,+23
2021-02-08,2900.000000,3006.000000,2861.000000,3003.000000,2761,2614,2214.25,2454,Bullish,+22
2021-02-01,2973.000000,3063.000000,2848.000000,2882.000000,2706.5,2614,2200.25,2454,Bullish,+21
2021-01-25,3011.000000,3127.000000,2872.000000,2952.000000,2669,2614,2185.75,2454,Bullish,+20
2021-01-18,2739.000000,2995.000000,2723.000000,2995.000000,2595,2548,2181.25,2454,Bullish,+19
2021-01-11,2677.000000,2793.000000,2631.000000,2748.000000,2494,2447,2180.25,2454,Bullish,+18
2021-01-04,2456.000000,2736.000000,2450.885986,2685.000000,2465.5,2418.5,2184.41723625,2506.5,Bullish,+17
2020-12-28,2470.000000,2576.000000,2420.163086,2425.000000,2373.5,2358,2184.41723625,2506.5,Neutral,+16
2020-12-21,2447.000000,2554.000000,2397.000000,2470.000000,2368,2358,2208.16723625,2512,Neutral,+15
2020-12-14,2402.000000,2613.000000,2395.000000,2482.000000,2368,2337,2211.53723125,2512,Neutral,+14
2020-12-07,2375.000000,2457.000000,2286.000000,2390.000000,2368,2337,2211.53723125,2512,Neutral,+13
2020-11-30,2229.000000,2355.000000,2211.000000,2332.000000,2368,2317.5,2180.119995,2512,Neutral,+12
2020-11-23,2361.000000,2361.000000,2195.000000,2249.000000,2368,2317.5,2152.06121825,2512,Neutral,+11
2020-11-16,2538.000000,2635.000000,2286.000000,2315.000000,2368,2317.5,2104.869995,2512,Neutral,+10
2020-11-09,2289.000000,2490.000000,2265.000000,2490.000000,2379,2289.5,2170.5,2512,Neutral,+9
2020-11-02,2156.000000,2275.000000,2112.000000,2256.000000,2379,2234.75,2212.25,2512,Neutral,+8
2020-10-26,2339.000000,2414.000000,2101.000000,2149.000000,2379,2234.75,2279.75,2512,Bearish,+7
2020-10-19,2431.000000,2456.000000,2328.000000,2375.000000,2456,2234.75,2293,2512,Neutral,+6
2020-10-12,2430.000000,2465.179932,2319.520020,2426.000000,2456,2234.75,2329.25,2537,Neutral,+5
2020-10-05,2443.000000,2504.000000,2397.000000,2421.000000,2456,2234.75,2329.25,2544.5,Neutral,+4
2020-09-28,2317.000000,2429.000000,2310.931885,2425.000000,2439.5,2181,2329.25,2544.5,Neutral,+3
2020-09-21,2467.000000,2471.000000,2255.000000,2283.000000,2439.5,2156.25,2329.25,2544.5,Bearish,+2
2020-09-14,2642.000000,2657.000000,2453.000000,2489.000000,2421.5,2135.5,2453.75,2656,Neutral,+1
2020-09-07,2432.000000,2629.000000,2417.000000,2605.000000,2383.5,2121.5,2574,2740,Neutral,+0
2020-08-31,2375.000000,2507.000000,2336.000000,2426.000000,2283,2060.5,2749.5,2915.5,Bearish,-56
2020-08-24,2319.000000,2459.000000,2281.000000,2375.000000,2259,2105.5,2773.25,2915.5,Bearish,-55
2020-08-17,2313.000000,2398.000000,2281.000000,2295.000000,2224,2132,2896.119995,3035,Bearish,-54
2020-08-10,2338.000000,2431.000000,2300.570068,2337.000000,2224,2204.5,2896.119995,3035,Bearish,-53
2020-08-03,2240.000000,2414.000000,2222.000000,2337.000000,2196,2204.5,2896.119995,3035,Bearish,-52
2020-07-27,2295.000000,2356.000000,2235.000000,2239.000000,2167,2204.5,2898.48999,3037.369995,Bearish,-51
2020-07-20,2300.000000,2320.000000,2186.000000,2290.000000,2158,2204.5,2968.4749755,3101.209961,Bearish,-50
2020-07-13,2154.000000,2338.000000,2138.000000,2307.000000,2130,2230.5,3008.1049805,3101.209961,Bearish,-49
2020-07-06,2130.000000,2159.000000,2059.000000,2114.000000,2065.8344725,2303,3034.3549805,3101.209961,Bearish,-48
2020-06-29,2080.000000,2153.000000,2061.000000,2090.000000,2065.8344725,2303,3044.6049805,3101.209961,Bearish,-47
2020-06-22,2127.000000,2193.000000,2017.000000,2088.000000,2065.8344725,2350.5,3047.3549805,3064.5,Bearish,-46
2020-06-15,2040.000000,2199.000000,2022.000000,2133.000000,2065.8344725,2357.23999,3047.3549805,3064.5,Bearish,-45
2020-06-08,2260.000000,2319.168945,1978.000000,2090.000000,2065.8344725,2357.23999,3047.3549805,3064.5,Bearish,-44
2020-06-01,2124.000000,2301.000000,2081.000000,2261.000000,2003,2357.23999,3049.6049805,3024.5,Bearish,-43
2020-05-25,2029.000000,2238.264893,2025.000000,2113.000000,1946.8824465,2357.23999,3053.1049805,3024.5,Bearish,-42
2020-05-18,1922.000000,2060.375000,1922.000000,2029.000000,1852.5,2357.23999,3053.1049805,3024.5,Bearish,-41
2020-05-11,2020.000000,2061.000000,1812.500000,1919.500000,1907.5,2433.5,3053.1049805,3024.5,Bearish,-40
2020-05-04,1917.000000,1961.644043,1874.500000,1955.000000,1991,2433.5,3053.1049805,3024.5,Bearish,-39
2020-04-27,1950.500000,2091.000000,1914.000000,1931.000000,2105.5,2454,3040.1049805,3024.5,Bearish,-38
2020-04-20,1987.500000,2021.000000,1881.581055,1918.000000,2132,2454,3040.1049805,3024.5,Bearish,-37
2020-04-13,1980.500000,2019.000000,1860.500000,1972.500000,2204.5,2454,3039.209961,3024.5,Bearish,-36
2020-04-06,1741.000000,1982.500000,1705.000000,1980.500000,2204.5,2454,3042.959961,3024.5,Bearish,-35
2020-03-30,1769.000000,1853.000000,1655.500000,1683.500000,2204.5,2454,3042.959961,3024.5,Bearish,-34
2020-03-23,1741.500000,1975.500000,1614.000000,1758.500000,2204.5,2454,3053.209961,3024.5,Bearish,-33
2020-03-16,1902.500000,2201.000000,1837.000000,1870.000000,2342,2565.5,3053.209961,3024.5,Bearish,-32
2020-03-09,2199.000000,2368.000000,2005.000000,2057.000000,2498.5,2649.5,3082.209961,3024.5,Bearish,-31
2020-03-02,2553.000000,2597.000000,2364.000000,2403.000000,2674,2825,3082.209961,3024.5,Bearish,-30
2020-02-24,2625.000000,2650.000000,2356.000000,2511.000000,2721.5,2825,3084.959961,3024.5,Bearish,-29
2020-02-17,2648.000000,2795.000000,2632.000000,2709.000000,2847.73999,2944.5,3084.959961,3024.5,Bearish,-28
2020-02-10,2647.000000,2740.439941,2635.000000,2646.000000,2847.73999,2944.5,3090.75,3024.5,Bearish,-27
2020-02-03,2634.000000,2790.000000,2595.000000,2660.000000,2847.73999,2944.5,3096.25,3024.5,Bearish,-26
2020-01-27,2689.000000,2735.550049,2599.739990,2605.000000,2850.109985,2946.869995,3209.75,3024.5,Bearish,-25
2020-01-20,2825.000000,2847.000000,2752.000000,2792.000000,2926.23999,3010.709961,3204,3024.5,Bearish,-24
2020-01-13,2945.000000,2992.000000,2819.000000,2841.000000,3005.5,3010.709961,3204,3024.5,Bearish,-23
