Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,48.895000,49.560001,48.514999,49.160000,46.512001,46.465,42.2537505,41.762499,Bullish,+38
2021-11-08,null,null,null,null,46.512001,45.8550015,41.93475,41.762499,Bullish,+37
2021-11-01,50.869999,51.580002,41.444000,49.105000,46.465,45.8550015,40.58750125,41.762499,Bullish,+36
2021-10-25,48.665001,50.480000,48.349998,50.220001,45.914999,45.345001,39.37625075,41.762499,Bullish,+35
2021-10-18,49.320000,49.519001,41.889999,48.724998,45.4344995,45.345001,38.648999,41.762499,Bullish,+34
2021-10-11,46.900002,49.230000,46.770000,49.115002,45.289999,45.345001,38.4249995,41.762499,Bullish,+33
2021-10-04,45.119999,47.029999,44.470001,46.860001,44.1899985,45.345001,37.49375075,41.762499,Bullish,+32
2021-09-27,45.785000,46.930000,44.634998,45.240002,44.334999,45.345001,36.4749995,41.762499,Bullish,+31
2021-09-20,44.320000,45.810001,42.255001,45.430000,44.625,45.345001,35.08600125,41.762499,Bullish,+30
2021-09-13,42.959999,45.455002,42.859001,45.044998,44.625,45.345001,34.6424995,41.762499,Bullish,+29
2021-09-06,43.314999,43.880001,41.349998,42.564999,44.8299995,45.345001,34.6175,41.762499,Bullish,+28
2021-08-30,44.090000,45.000000,43.259998,43.410000,45.546001,45.317501,34.331001,41.762499,Bullish,+27
2021-08-23,44.500000,44.720001,43.040001,44.090000,45.546001,44.622501,34.1,41.762499,Bullish,+26
2021-08-16,45.794998,46.240002,43.520000,43.985001,45.546001,44.0454995,33.81724975,41.762499,Bullish,+25
2021-08-09,46.500000,47.005001,45.955002,46.230000,45.8085,43.7350005,38.5974995,41.762499,Bullish,+24
2021-08-02,46.410000,47.320000,45.215000,46.580002,46.3535,43.4150005,38.5974995,41.762499,Bullish,+23
2021-07-26,45.555000,47.900002,45.000000,45.634998,46.671001,41.817501,38.5974995,41.762499,Bullish,+22
2021-07-19,44.985001,46.369999,42.782001,45.884998,46.671001,40.687501,39.0859995,41.762499,Bullish,+21
2021-07-12,46.590000,48.310001,45.610001,45.720001,45.345001,40.687501,39.0859995,41.762499,Bullish,+20
2021-07-05,46.919998,47.994999,44.939999,46.709999,45.345001,40.687501,37.9272495,42.6674995,Bullish,+19
2021-06-28,47.119999,47.845001,46.151001,46.825001,45.345001,40.687501,37.8609995,43.637499,Bullish,+18
2021-06-21,46.154999,47.705002,45.570000,47.220001,45.345001,40.687501,37.8447495,43.7124995,Bullish,+17
2021-06-14,48.560001,48.834999,46.167999,46.430000,45.345001,40.687501,37.7759995,44.0475005,Bullish,+16
2021-06-07,49.020000,49.924999,47.855000,48.395000,45.345001,40.687501,37.58224975,45.7174985,Bullish,+15
2021-05-31,49.889999,50.560001,48.810001,48.935001,45.345001,40.687501,37.58224975,48.6225015,Bullish,+14
2021-05-24,48.790001,50.201000,47.722000,49.889999,45.1655005,40.5080005,37.2232495,48.6225015,Bullish,+13
2021-05-17,48.250000,49.035000,40.130001,48.470001,44.5825005,39.9250005,35.88874925,48.6225015,Neutral,+12
2021-05-10,46.950001,48.270000,46.264999,48.250000,44.3269995,39.5425005,35.52749925,48.6225015,Neutral,+11
2021-05-03,45.435001,47.455002,44.976002,46.555000,43.7650015,37.410001,34.238749,48.6225015,Neutral,+10
2021-04-26,42.814999,45.860001,41.720001,45.435001,42.272501,36.4800005,34.238749,48.6225015,Neutral,+9
2021-04-19,43.270000,43.923000,41.224998,42.634998,41.2729985,36.0249995,34.20299925,48.6225015,Neutral,+8
2021-04-12,43.500000,45.014999,42.785000,43.459999,40.9624995,35.8874995,41.762499,48.6225015,Neutral,+7
2021-04-05,42.770000,43.860001,42.680000,43.255001,40.0650005,34.922501,41.762499,48.6225015,Neutral,+6
2021-03-29,41.799999,43.419998,41.740002,42.770000,38.2474995,34.7024995,41.762499,48.6225015,Neutral,+5
2021-03-22,40.779999,42.490002,40.419998,42.255001,36.6525015,33.519501,41.762499,48.6225015,Neutral,+4
2021-03-15,41.660000,42.084999,40.383999,41.025002,36.45,32.834999,42.5899995,49.450002,Bearish,+3
2021-03-08,40.500000,42.035000,40.075001,41.209999,36.4250005,32.8099995,42.6865,49.5465025,Bearish,+2
2021-03-01,39.595001,41.462002,38.685001,40.075001,36.1385015,32.5235005,42.6865,49.5465025,Bearish,+1
2021-02-22,38.105000,41.000000,37.530998,39.000000,35.9075005,32.2924995,42.6865,49.5465025,Bearish,+0
2021-02-15,37.825001,39.654999,36.910000,38.189999,35.4325,32.2019995,42.6865,49.5465025,Bearish,-22
2021-02-08,38.099998,38.320000,36.270000,37.099998,35.4325,41.762499,35.76900125,49.5465025,Neutral,-21
2021-02-01,33.535000,37.520000,33.075001,37.000000,35.4325,41.762499,36.7965005,49.5465025,Neutral,-20
2021-01-25,35.075001,35.265999,30.815001,33.000000,35.4325,41.762499,36.8285,49.5465025,Bearish,-19
2021-01-18,35.935001,36.675999,34.443001,34.770000,36.4095,41.762499,37.59874975,49.6675015,Bearish,-18
2021-01-11,36.070000,37.082001,35.703999,35.935001,36.4095,41.762499,37.663749,49.6675015,Bearish,-17
2021-01-04,37.000000,37.950001,34.070000,36.825001,34.092,41.762499,38.16624975,49.6675015,Bearish,-16
2020-12-28,38.605000,39.098000,36.061001,36.439999,33.9595,41.762499,38.6512495,49.6675015,Bearish,-15
2020-12-21,33.360001,40.049999,32.000000,38.605000,33.927,41.762499,38.68874975,49.6675015,Bearish,-14
2020-12-14,34.990002,37.722000,34.605000,34.900002,33.7895,41.762499,38.49499975,49.6675015,Bearish,-13
2020-12-07,38.529999,38.595001,33.240002,34.070000,33.4020005,41.762499,39.32999875,49.6675015,Bearish,-12
2020-11-30,37.695000,39.560001,35.250000,39.025002,33.4020005,41.762499,40.24250025,49.6675015,Bearish,-11
2020-11-23,36.150002,40.819000,35.549999,37.294998,32.684,41.762499,40.49675075,49.6675015,Bearish,-10
2020-11-16,35.099998,36.445000,34.825001,35.814999,30.0149995,41.762499,40.87550075,49.6675015,Bearish,-9
2020-11-09,27.715000,35.000000,27.365000,34.720001,29.2924995,41.762499,40.87550075,49.6675015,Bearish,-8
2020-11-02,27.815001,29.395000,27.100000,27.365000,26.714999,41.762499,42.5025005,49.6675015,Bearish,-7
2020-10-26,28.870001,29.844999,27.035000,28.025000,26.714999,41.762499,44.2697505,49.6675015,Bearish,-6
2020-10-19,27.065001,29.702000,26.760000,29.285000,26.6434995,41.762499,44.84750075,49.6675015,Bearish,-5
2020-10-12,28.445000,28.715000,25.985001,27.010000,41.762499,41.762499,46.79750175,50.6800025,Bearish,-4
2020-10-05,27.815001,28.820000,26.705000,28.225000,41.762499,41.762499,46.81500175,50.6800025,Bearish,-3
2020-09-28,25.200001,27.195000,24.549000,27.195000,41.762499,41.762499,46.84700125,50.6800025,Bearish,-2
2020-09-21,25.000000,25.280001,23.584999,24.719999,41.762499,41.762499,47.9435005,51.7385015,Bearish,-1
2020-09-14,26.045000,26.730000,25.240000,25.240000,42.5899995,42.5899995,48.580001,52.1800025,Bearish,-0
2020-09-07,27.004999,27.254999,25.870001,25.879999,42.6865,42.6865,52.1575015,55.1350025,Bearish,+3
2020-08-31,28.350000,28.350000,26.650000,26.940001,42.6865,42.6865,56.76050125,59.2530025,Bearish,+2
2020-08-24,28.315001,29.264999,27.730000,28.350000,42.6865,42.6865,58.3155015,60.7705025,Bearish,+1
