Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,1723.000000,1738.952515,1699.201050,1701.500000,1765.350525,1698.4089965,1787.125,1865.75,Bearish,+11
2021-11-05,1777.000000,1808.931030,1710.232056,1725.500000,1771.430054,1698.4089965,1784.625,1865.75,Bearish,+10
2021-11-04,1752.000000,1787.000000,1748.520996,1773.000000,1771.814026,1698.4089965,1788.625,1865.75,Bearish,+9
2021-11-03,1765.000000,1767.000000,1736.500000,1747.000000,1781.25,1698.4089965,1794.75,1865.75,Bearish,+8
2021-11-02,1749.000000,1786.000000,1711.000000,1767.000000,1781.25,1698.4089965,1807,1865.75,Bearish,+7
2021-11-01,1810.500000,1826.780029,1744.500000,1755.000000,1798,1698.4089965,1817.375,1865.75,Bearish,+6
2021-10-29,1802.500000,1809.000000,1759.000000,1803.000000,1805.25,1698.4089965,1818.875,1865.75,Bearish,+5
2021-10-28,1800.000000,1831.500000,1793.000000,1814.000000,1806.9675295,1698.4089965,1823.625,1865.75,Bearish,+4
2021-10-27,1789.000000,1823.000000,1781.010010,1801.000000,1791.75,1698.4089965,1825.24600225,1865.75,Bearish,+3
2021-10-26,1832.000000,1832.628052,1762.435059,1797.500000,1777.7944945,1698.4089965,1832.75,1865.75,Bearish,+2
2021-10-25,1814.500000,1827.000000,1797.666016,1827.000000,1741.75,1698.4089965,1881.662506,1902.5,Bearish,+1
2021-10-22,1844.500000,1851.500000,1811.000000,1816.500000,1698.4089965,1698.4089965,1909.875,1912.25,Bearish,+0
2021-10-21,1812.500000,1838.500000,1798.000000,1838.500000,1691.9089965,1691.9089965,1925.625,1912.25,Bearish,-24
2021-10-20,1798.000000,1838.000000,1798.000000,1817.500000,1691.6589965,1707.6589965,1927.125,1912.25,Bearish,-23
2021-10-19,1805.500000,1818.795044,1780.500000,1802.500000,1682.0565185,1728.4089965,1954.75,1912.25,Bearish,-22
