Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,1475.000000,1493.500000,1467.000000,1489.000000,1416,1410.8360595,1403.23413075,1192.864197,Bullish,+48
2021-11-08,null,null,null,null,1416,1410.8360595,1403.23413075,1192.864197,Bullish,+47
2021-11-01,1503.500000,1509.000000,1453.000000,1475.500000,1439.5,1410.8360595,1385.410309,1188.7416995,Bullish,+46
2021-10-25,1459.000000,1501.000000,1449.500000,1494.500000,1439.5,1410.8360595,1344.88832075,1186.801697,Bullish,+45
2021-10-18,1442.500000,1467.500000,1416.000000,1457.000000,1439.5,1410.8360595,1313.75119025,1186.801697,Bullish,+44
2021-10-11,1494.500000,1500.500000,1426.500000,1454.500000,1439.5,1410.8360595,1301.98983775,1186.801697,Bullish,+43
2021-10-04,1437.000000,1519.000000,1422.000000,1501.500000,1439.5,1410.8360595,1276.52719125,1186.801697,Bullish,+42
2021-09-27,1412.500000,1462.000000,1406.000000,1450.500000,1432.175171,1410.8360595,1258.8246155,1186.801697,Bullish,+41
2021-09-20,1400.500000,1442.500000,1313.000000,1392.000000,1425.871094,1410.8360595,1257.61203,1185.5891115,Bullish,+40
2021-09-13,1484.500000,1499.500000,1435.750000,1445.500000,1410.8360595,1410.8360595,1256.3995665,1129.8623655,Bullish,+39
2021-09-06,1542.500000,1566.000000,1475.500000,1484.000000,1410.8360595,1410.8360595,1247.912018,1089.461609,Bullish,+38
2021-08-30,1481.198242,1542.000000,1450.885742,1537.000000,1398.8360595,1403.112915,1222.691864,1064.241455,Bullish,+37
2021-08-23,1444.823120,1501.568359,1435.603149,1481.198242,1378.620239,1403.112915,1198.9267885,1040.4763795,Bullish,+36
2021-08-16,1461.313232,1463.738159,1386.137817,1410.872925,1376.437744,1403.112915,1198.9267885,1045.5688475,Bullish,+35
2021-08-09,1378.862793,1497.203369,1368.677734,1472.953247,1376.437744,1403.112915,1198.9267885,1063.0289305,Bullish,+34
2021-08-02,1326.482544,1399.232910,1298.350342,1383.712769,1368.920227,1372.3151855,1198.9267885,1063.0289305,Bullish,+33
2021-07-26,1311.932373,1341.517456,1285.742188,1315.812378,1368.920227,1336.910034,1201.715546,1063.0289305,Bullish,+32
2021-07-19,1301.262329,1342.002441,1255.672119,1323.572388,1379.590332,1336.910034,1201.715546,1063.0289305,Bullish,+31
2021-07-12,1331.332520,1359.462646,1299.807251,1320.662354,1395.8378905,1336.910034,1201.715546,1063.0289305,Bullish,+30
2021-07-05,1346.852539,1374.982666,1288.167236,1337.637451,1419.3604735,1336.910034,1174.676636,1063.0289305,Bullish,+29
2021-06-28,1397.777954,1403.597900,1320.177368,1349.762573,1435.3655395,1336.910034,1116.815811,1063.0289305,Bullish,+28
2021-06-21,1388.562744,1425.907959,1374.982666,1406.507935,1462.7681885,1336.910034,1079.8566285,1063.0289305,Bullish,+27
2021-06-14,1452.098145,1482.168335,1397.292847,1401.657959,1469.5582275,1336.910034,1077.433533,1063.0289305,Bullish,+26
2021-06-07,1437.063110,1455.981079,1405.537842,1444.338135,1469.5582275,1336.910034,1051.72839375,1063.0289305,Bullish,+25
2021-05-31,1455.978149,1473.438354,1420.088013,1429.302979,1469.5582275,1336.910034,1051.72839375,1063.0289305,Bullish,+24
2021-05-24,1457.433228,1503.508545,1439.488159,1455.978149,1469.5582275,1336.910034,1051.72839375,795.986427,Bullish,+23
2021-05-17,1474.408325,1485.563354,1414.267944,1452.583252,1469.5582275,1336.910034,1051.72839375,795.986427,Bullish,+22
2021-05-10,1541.338745,1550.553711,1388.562744,1469.073242,1469.5582275,1336.910034,1048.2120975,795.986427,Bullish,+21
2021-05-03,1488.473389,1542.308716,1466.648315,1531.638550,1486.5333865,1284.2872315,1026.26571675,795.986427,Bullish,+20
2021-04-26,1462.768188,1503.508545,1445.308105,1488.473389,1464.9507445,1224.825897,1034.26828025,795.986427,Bullish,+19
2021-04-19,1501.083374,1515.148560,1431.970581,1464.708252,1440.7006835,1186.801697,1117.95549025,795.986427,Bullish,+18
2021-04-12,1506.903442,1532.123657,1487.018433,1505.933472,1417.1779785,1186.801697,1122.4024965,737.8699795,Bullish,+17
2021-04-05,1504.963501,1536.488647,1485.125854,1510.783447,1366.2526855,1186.801697,1121.66575625,737.8699795,Bullish,+16
2021-03-29,1514.663452,1538.428711,1491.868408,1504.963501,1330.847534,1186.801697,1121.66575625,737.8699795,Bullish,+15
2021-03-22,1469.073242,1536.003540,1454.523193,1517.573486,1329.6349485,1185.5891115,1102.9446565,737.8699795,Bullish,+14
2021-03-15,1495.748413,1533.578613,1468.103271,1484.108398,1328.422485,1184.376648,1078.91159075,737.8699795,Bullish,+13
2021-03-08,1442.398071,1516.603516,1430.758057,1493.323364,1319.9349365,1175.8890995,1062.95498675,737.8699795,Bullish,+12
2021-03-01,1394.382813,1466.163208,1391.472778,1426.392944,1294.7147825,1150.6689455,1062.95498675,737.8699795,Bullish,+11
2021-02-22,1363.827759,1418.147949,1342.972656,1366.252686,1270.949707,1126.90387,1067.44128425,737.8699795,Bullish,+10
2021-02-15,1298.837280,1375.467651,1295.927246,1373.527710,1270.949707,1126.90387,1102.72521975,737.8699795,Bullish,+9
2021-02-08,1197.956665,1293.730225,1194.076660,1288.167236,1270.949707,1126.90387,1112.66775525,737.8699795,Bullish,+8
2021-02-01,1135.391357,1214.204346,1123.266357,1183.406616,1270.949707,1126.90387,1112.66775525,737.8699795,Bullish,+7
2021-01-25,1354.612549,1358.007568,1137.331421,1137.331421,1276.527222,1126.90387,1107.697693,737.8699795,Bullish,+6
2021-01-18,1382.257813,1399.717896,1339.577515,1353.157593,1276.527222,1126.90387,1094.1175995,737.8699795,Bullish,+5
2021-01-11,1380.802856,1393.412842,1358.007568,1387.592773,1276.527222,1126.90387,1092.78385925,737.8699795,Bullish,+4
2021-01-04,1330.847534,1418.633057,1307.082275,1387.107788,1222.449402,1126.90387,1091.1105805,737.8699795,Bullish,+3
2020-12-28,1312.417358,1360.432739,1294.957275,1306.597290,1135.827911,1097.803711,1091.1105805,743.813461,Bullish,+2
