Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-10-20,62.250000,61.994999,61.500000,61.869999,62.7750015,61.465002,58.53499875,57.459999,Bullish,+35
2021-10-19,62.840000,63.040001,62.520000,62.880001,62.840002,61.465002,58.05250075,57.165001,Bullish,+34
2021-10-18,63.709999,64.000000,63.549999,63.919998,62.3200015,61.465002,57.74000075,56.915001,Bullish,+33
2021-10-15,63.570000,64.050003,63.520000,63.709999,62.3200015,61.465002,57.36250025,56.8500005,Bullish,+32
2021-10-14,63.110001,63.709999,63.110001,63.520000,62.1499995,61.295,57.14500075,56.7199995,Bullish,+31
2021-10-13,63.119999,63.119999,62.630001,62.759998,61.84,60.824999,57.115,56.6000005,Bullish,+30
2021-10-12,62.230000,62.240002,61.970001,62.080002,61.1900005,60.4699995,57.0925,56.5849995,Bullish,+29
2021-10-11,62.080002,62.279999,61.799999,61.900002,61.0499995,60.4699995,56.7700005,56.365,Bullish,+28
2021-10-08,62.340000,62.410000,61.900002,62.250000,60.8999995,60.4699995,56.5200005,56.08,Bullish,+27
2021-10-07,61.900002,62.169998,61.630001,61.849998,60.7799985,60.339998,56.2650015,55.620001,Bullish,+26
2021-10-06,60.689999,61.500000,60.590000,61.410000,60.6849995,59.869999,56.07000075,55.5,Bullish,+25
2021-10-05,61.200001,61.779999,61.139999,61.419998,60.6849995,59.695,55.90750025,55.5,Bullish,+24
2021-10-04,61.619999,61.980000,60.599998,60.790001,60.6849995,59.07,55.74250025,55.5,Bullish,+23
2021-10-01,60.900002,61.220001,60.560001,61.220001,60.2700005,58.2750015,55.78000075,55.5,Bullish,+22
2021-09-30,60.650002,60.700001,59.970001,60.099998,60.0200005,58.1849995,55.835,55.5,Bullish,+21
2021-09-29,59.820000,60.279999,59.689999,59.889999,60.0200005,58.1399995,55.835,55.5,Bullish,+20
2021-09-28,59.980000,60.180000,59.389999,59.419998,60.0200005,57.7250005,56.1674995,55.5,Bullish,+19
2021-09-27,60.770000,61.029999,60.540001,60.910000,60.0200005,57.7250005,56.27250025,55.5,Bullish,+18
2021-09-24,60.480000,60.980000,60.480000,60.849998,60.0200005,57.7250005,56.38749975,55.5,Bullish,+17
2021-09-23,60.849998,61.160000,60.650002,61.040001,60.0200005,57.7250005,56.44250025,55.5,Bullish,+16
2021-09-22,60.439999,60.910000,60.060001,60.590000,60,57.705,56.44250025,55.5,Bullish,+15
2021-09-21,59.470001,59.730000,59.320000,59.450001,60,57.705,56.56999975,55.2649995,Bullish,+14
2021-09-20,59.049999,59.709999,58.880001,59.310001,59.824999,57.705,56.48999975,55.129999,Bullish,+13
2021-09-17,60.669998,60.799999,59.810001,59.950001,59.824999,57.705,56.48999975,55.129999,Bullish,+12
2021-09-16,60.730000,61.119999,60.669998,61.000000,59.824999,57.705,56.4349995,55.129999,Bullish,+11
