Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,1645.000000,1655.500000,1638.000000,1638.000000,1658.25,1608.75,1609.26348875,1566.7769775,Bullish,+7
2021-11-05,1654.500000,1672.780029,1649.500000,1649.500000,1649.75,1608.75,1620.73846425,1566.7769775,Bullish,+6
2021-11-04,1657.000000,1673.000000,1649.500000,1661.500000,1649.75,1608.75,1628.5269775,1566.7769775,Bullish,+5
2021-11-03,1672.000000,1672.500000,1650.223022,1655.500000,1649.75,1608.75,1637.7769775,1566.7769775,Bullish,+4
2021-11-02,1678.500000,1680.365967,1662.000000,1674.500000,1648.5,1608.75,1652.72897325,1566.7769775,Bullish,+3
2021-11-01,1650.000000,1690.000000,1644.150024,1675.000000,1637,1608.75,1652.72897325,1566.7769775,Bullish,+2
2021-10-29,1673.500000,1679.500000,1643.000000,1643.500000,1629.5,1604.75,1650.22897325,1566.7769775,Neutral,+1
2021-10-28,1663.000000,1682.000000,1656.500000,1682.000000,1626.5,1604.75,1647.60397325,1566.7769775,Bullish,+0
2021-10-27,1627.000000,1667.500000,1626.500000,1662.000000,1618.5,1599.25,1647.60397325,1566.7769775,Bullish,-21
2021-10-26,1613.000000,1629.500000,1609.500000,1627.000000,1601.8414915,1599.25,1646.35397325,1566.7769775,Neutral,-20
2021-10-25,1631.000000,1634.182983,1610.500000,1615.500000,1597.5914915,1599.25,1646.10397325,1566.7769775,Neutral,-19
2021-10-22,1620.500000,1632.777954,1616.000000,1627.500000,1583.138977,1607.7769775,1642.57699575,1563.25,Neutral,-18
2021-10-21,1612.500000,1625.000000,1607.000000,1617.500000,1579.3049925,1607.7769775,1638.95199575,1561.5,Neutral,-17
2021-10-20,1585.500000,1625.109985,1584.000000,1621.000000,1576.3049925,1607.7769775,1626.85150125,1561.5,Neutral,-16
2021-10-19,1593.000000,1594.000000,1577.000000,1588.000000,1564.8720095,1607.7769775,1620.07699575,1561.5,Neutral,-15
2021-10-18,1575.500000,1593.500000,1571.000000,1585.500000,1564.8720095,1607.7769775,1620.07699575,1561.5,Neutral,-14
2021-10-15,1594.500000,1599.094971,1569.500000,1573.000000,1564.8720095,1607.7769775,1606.421753,1561.5,Neutral,-13
2021-10-14,1600.000000,1602.244019,1575.000000,1589.000000,1564.8720095,1607.7769775,1606.421753,1561.5,Neutral,-12
2021-10-13,1571.000000,1598.500000,1561.000000,1589.500000,1563,1607.7769775,1605.875,1561.5,Neutral,-11
2021-10-12,1542.500000,1586.500000,1533.500000,1575.000000,1568.2249755,1607.7769775,1603.25,1561.5,Neutral,-10
2021-10-11,1560.000000,1569.500000,1544.889038,1554.500000,1568.2249755,1607.7769775,1603.25,1561.5,Bearish,-9
2021-10-08,1545.500000,1550.500000,1527.500000,1545.500000,1577,1607.7769775,1603.25,1561.5,Bearish,-8
2021-10-07,1567.500000,1578.000000,1540.500000,1544.000000,1589.5,1611.2769775,1601,1559.25,Bearish,-7
2021-10-06,1562.500000,1563.500000,1534.500000,1552.000000,1589.5,1611.2769775,1601,1559.25,Bearish,-6
2021-10-05,1574.000000,1575.500000,1564.500000,1573.000000,1605,1613.5269775,1598.625,1559.25,Neutral,-5
2021-10-04,1581.500000,1584.000000,1559.895996,1567.500000,1605,1613.5269775,1598.625,1559.25,Neutral,-4
2021-10-01,1563.500000,1590.000000,1539.000000,1584.000000,1605,1613.5269775,1597.375,1559.25,Neutral,-3
