Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-02-04,2.638000,2.702400,2.636200,2.662200,2.55235,2.4564,2.1343,2.21145,Bullish,+21
2022-02-03,2.603600,2.647500,2.573100,2.642700,2.5087,2.42895,2.12935,2.21145,Bullish,+20
2022-02-02,2.574600,2.617300,2.564600,2.607000,2.4936,2.41385,2.1267,2.21145,Bullish,+19
2022-02-01,2.557000,2.588200,2.511200,2.575200,2.47905,2.38365,2.11675,2.21145,Bullish,+18
2022-01-31,2.559900,2.574100,2.538800,2.554300,2.47485,2.3684,2.1114,2.21145,Bullish,+17
2022-01-28,2.560800,2.579800,2.524400,2.542300,2.47485,2.35695,2.114625,2.21145,Bullish,+16
2022-01-27,2.522300,2.570000,2.510000,2.521000,2.46995,2.32665,2.114625,2.21145,Bullish,+15
2022-01-26,2.455200,2.534700,2.453300,2.522900,2.4507,2.2796,2.121875,2.21145,Bullish,+14
2022-01-25,2.421500,2.465000,2.402300,2.459500,2.4136,2.25435,2.09975,2.21145,Bullish,+13
2022-01-24,2.445500,2.465700,2.369900,2.398000,2.38045,2.25435,2.0968,2.21145,Bullish,+12
2022-01-21,2.440200,2.457500,2.394900,2.442400,2.37605,2.25435,2.083175,2.21145,Bullish,+11
2022-01-20,2.441600,2.484200,2.425600,2.462200,2.37605,2.25435,2.083175,2.21145,Bullish,+10
2022-01-19,2.459200,2.478600,2.431800,2.457000,2.3675,2.25155,2.081,2.21145,Bullish,+9
2022-01-18,2.424700,2.469200,2.407500,2.431800,2.3628,2.24685,2.08525,2.21145,Bullish,+8
2022-01-14,2.375600,2.429600,2.373500,2.419000,2.33955,2.22705,2.127925,2.21145,Bullish,+7
2022-01-13,2.389800,2.403400,2.366700,2.384100,2.3069,2.21395,2.13345,2.21145,Bullish,+6
2022-01-12,2.347700,2.401300,2.343000,2.390800,2.30585,2.2129,2.13875,2.21145,Bullish,+5
2022-01-11,2.280500,2.362900,2.276700,2.357400,2.28665,2.16395,2.145625,2.21145,Bullish,+4
2022-01-10,2.303900,2.318000,2.267900,2.275400,2.2721,2.1341,2.145625,2.21145,Bullish,+3
2022-01-07,2.307500,2.333800,2.293200,2.298900,2.2721,2.10685,2.178325,2.23665,Bullish,+2
2022-01-06,2.270900,2.328000,2.256400,2.304300,2.25355,2.10395,2.19635,2.24585,Bullish,+1
2022-01-05,2.280000,2.316200,2.261100,2.292100,2.2366,2.09805,2.234375,2.2815,Bullish,+0
2022-01-04,2.256000,2.296900,2.249500,2.276300,2.21755,2.09045,2.2376,2.2815,Neutral,-32
2022-01-03,2.220600,2.271900,2.210400,2.256500,2.19215,2.1008,2.31935,2.30825,Bearish,-31
2021-12-31,2.275500,2.286200,2.221500,2.228500,2.16275,2.1008,2.31935,2.30825,Bearish,-30
2021-12-30,2.271100,2.301000,2.253800,2.296800,2.16275,2.1114,2.31935,2.30825,Bearish,-29
2021-12-29,2.247600,2.287800,2.232800,2.271700,2.15615,2.11245,2.326925,2.30825,Bearish,-28
2021-12-28,2.237600,2.268000,2.224700,2.247100,2.14625,2.11245,2.331575,2.30825,Bearish,-27
2021-12-27,2.206000,2.257400,2.179100,2.233900,2.14095,2.11245,2.363875,2.30825,Bearish,-26
2021-12-23,2.180700,2.217600,2.157000,2.206100,2.12105,2.11245,2.364925,2.30825,Bearish,-25
2021-12-22,2.154300,2.181000,2.134100,2.168000,2.1056,2.1172,2.369175,2.30825,Bearish,-24
2021-12-21,2.105100,2.162300,2.083300,2.152200,2.1056,2.12365,2.37305,2.30825,Bearish,-23
2021-12-20,2.127100,2.127800,2.024500,2.090000,2.1056,2.12365,2.378575,2.30825,Bearish,-22
2021-12-17,2.168800,2.168800,2.099900,2.121700,2.1201,2.12365,2.38015,2.30825,Bearish,-21
2021-12-16,2.140900,2.186700,2.136900,2.177800,2.07585,2.12365,2.387075,2.30825,Bearish,-20
2021-12-15,2.105400,2.146800,2.080300,2.127500,2.0548,2.1388,2.387875,2.30825,Bearish,-19
2021-12-14,2.122600,2.141200,2.073100,2.110800,2.02755,2.1388,2.3894,2.30825,Bearish,-18
2021-12-13,2.145500,2.175200,2.114400,2.116500,2.02755,2.1388,2.385775,2.30825,Bearish,-17
2021-12-10,2.116300,2.157300,2.106200,2.137200,2.0232,2.1388,2.385775,2.30825,Bearish,-16
2021-12-09,2.151600,2.166500,2.107600,2.128400,2.0232,2.1473,2.392875,2.27405,Bearish,-15
2021-12-08,2.114500,2.158200,2.094600,2.148500,2.1008,2.15505,2.398275,2.27405,Bearish,-14
2021-12-07,2.058400,2.123400,2.053500,2.100000,2.1008,2.1661,2.398275,2.27405,Bearish,-13
2021-12-06,1.965000,2.064600,1.965000,2.043300,2.1114,2.1661,2.405825,2.27405,Bearish,-12
2021-12-03,1.983500,2.023500,1.934400,1.952900,2.11245,2.1788,2.3924,2.27405,Bearish,-11
2021-12-02,1.952500,2.005000,1.879900,1.967700,2.11245,2.1788,2.39935,2.27405,Bearish,-10
2021-12-01,1.959600,2.036900,1.930300,1.951100,2.13765,2.219,2.387075,2.27405,Bearish,-9
2021-11-30,2.103600,2.103600,1.948700,1.980100,2.14685,2.24585,2.375675,2.2733,Bearish,-8
2021-11-29,2.078500,2.163100,2.054500,2.077100,2.18725,2.2815,2.362575,2.2602,Bearish,-7
2021-11-26,2.314000,2.321700,2.020000,2.029400,2.1937,2.2815,2.362575,2.2602,Bearish,-6
2021-11-25,2.314000,2.321700,2.301300,2.314200,2.27545,2.36325,2.359225,2.2593,Neutral,-5
2021-11-24,2.326300,2.342900,2.304700,2.319700,2.27545,2.36325,2.338125,2.2593,Neutral,-4
2021-11-23,2.249000,2.345000,2.219600,2.337200,2.27545,2.36325,2.338125,2.2593,Neutral,-3
2021-11-22,2.216100,2.270500,2.183500,2.260200,2.2906,2.36325,2.325775,2.24695,Neutral,-2
2021-11-19,2.296900,2.325800,2.192800,2.211900,2.29525,2.3679,2.29595,2.2231,Bearish,-1
2021-11-18,2.289500,2.301300,2.257400,2.294300,2.32755,2.4002,2.27225,2.21185,Bullish,-0
2021-11-17,2.352000,2.354500,2.260700,2.280300,2.3286,2.40125,2.2687,2.2083,Bullish,+35
2021-11-16,2.337600,2.367400,2.326900,2.349700,2.3371,2.40125,2.264875,2.2083,Bullish,+34
2021-11-15,2.311000,2.344500,2.267100,2.328800,2.34485,2.40125,2.248975,2.1924,Bullish,+33
2021-11-12,2.312400,2.324500,2.259500,2.311400,2.3559,2.40125,2.245475,2.1889,Bullish,+32
2021-11-11,2.296100,2.337500,2.273300,2.317800,2.3628,2.3975,2.240925,2.1889,Bullish,+31
2021-11-10,2.384000,2.397700,2.275600,2.297200,2.37665,2.3975,2.2269,2.1883,Bullish,+30
2021-11-09,2.329500,2.389500,2.321400,2.375200,2.37825,2.3975,2.21265,2.1873,Bullish,+29
2021-11-08,2.309000,2.351500,2.308500,2.322200,2.39325,2.38555,2.19935,2.1873,Bullish,+28
2021-11-05,2.308000,2.345700,2.280300,2.320900,2.4109,2.36065,2.19935,2.1873,Bullish,+27
2021-11-04,2.332000,2.414700,2.278800,2.292600,2.4109,2.36065,2.190475,2.1873,Bullish,+26
