Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-02-11,113368.000000,114899.000000,113128.000000,113495.000000,112610,107968.5,104135.75,105421,Bullish,+42
2022-02-10,112462.000000,113812.000000,112163.000000,113359.000000,112066.5,107406,104135.75,106049,Bullish,+41
2022-02-09,112233.000000,113163.000000,111710.000000,112461.000000,111993.5,107258,104697.25,107248.5,Bullish,+40
2022-02-08,111995.000000,112251.000000,110943.000000,112234.000000,111993.5,107258,105038,107501,Bullish,+39
2022-02-07,112247.000000,112517.000000,111490.000000,111996.000000,111935,107258,105435.75,107501,Bullish,+38
2022-02-04,111696.000000,112344.000000,110321.000000,112330.000000,110425.5,107258,105613.25,107501,Bullish,+37
2022-02-03,111897.000000,112502.000000,111225.000000,111696.000000,110145,107258,105740,107501,Bullish,+36
2022-02-02,113228.000000,113666.000000,111645.000000,112161.000000,110145,107258,105768.5,107501,Bullish,+35
2022-02-01,112143.000000,113302.000000,112135.000000,113147.000000,109963,107076,105854.75,107501,Bullish,+34
2022-01-31,111910.000000,112495.000000,111195.000000,112388.000000,109840.5,106953.5,105854.75,107501,Bullish,+33
2022-01-28,112611.000000,112969.000000,111407.000000,111478.000000,109421.5,106953.5,105854.75,107501,Bullish,+32
2022-01-27,111303.000000,113057.000000,111303.000000,112315.000000,109421.5,106953.5,105854.75,107501,Bullish,+31
2022-01-26,110207.000000,112695.000000,110204.000000,111573.000000,108861.5,106772.5,106189.5,107501,Bullish,+30
2022-01-25,107935.000000,110115.000000,107185.000000,109845.000000,107544.5,105482.5,106032.75,107501,Bullish,+29
2022-01-24,108941.000000,108948.000000,106624.000000,107752.000000,106822,105361.5,105881.75,107501,Bullish,+28
2022-01-21,109097.000000,109786.000000,108368.000000,108942.000000,105895.5,105361.5,104961.5,107501,Bullish,+27
2022-01-20,108015.000000,109873.000000,108015.000000,109102.000000,105455.5,105361.5,104947,107501,Bullish,+26
2022-01-19,106670.000000,108602.000000,106669.000000,108013.000000,104820,105171.5,104368.5,107501,Bullish,+25
2022-01-18,106369.000000,107013.000000,105786.000000,106522.000000,104026.5,105171.5,104368.5,107501,Neutral,+24
