Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-02-04,27095.900391,27455.980469,27075.990234,27439.990234,27716.3398435,28420.149414,28685.087402,26654.654297,Neutral,-2
2022-02-01,27167.140625,27564.619141,27016.710938,27241.310547,27716.3398435,28420.149414,28685.087402,26605.794922,Neutral,-1
2022-01-25,27466.820313,27493.750000,26044.519531,27001.980469,27716.3398435,28420.149414,28685.087402,26459.564453,Neutral,-0
2022-01-18,28451.339844,28690.339844,27129.609375,27588.369141,28443.830078,28875.294922,28713.9174805,26212.2597655,Neutral,+18
2022-01-11,28380.900391,28814.310547,27889.210938,28333.519531,28774.7695315,28875.294922,28749.949707,26212.2597655,Neutral,+17
2022-01-04,29098.410156,29388.160156,28293.699219,28478.560547,28774.7695315,28875.294922,28741.3569335,26212.2597655,Neutral,+16
2021-12-28,28953.320313,29121.009766,28579.490234,28791.710938,28774.7695315,28875.294922,28696.784668,26212.2597655,Bullish,+15
2021-12-21,28309.599609,28870.130859,28226.429688,28676.460938,28774.7695315,28875.294922,28676.52490225,26212.2597655,Neutral,+14
2021-12-14,28554.859375,29070.080078,27893.179688,27937.810547,28774.7695315,28875.294922,28536.654785,26212.2597655,Neutral,+13
2021-12-07,28138.820313,28908.289063,27961.660156,28640.490234,28774.7695315,28875.294922,28589.57958975,26212.2597655,Bullish,+12
2021-11-30,28611.730469,28718.699219,27588.609375,27927.369141,28627.2744145,28875.294922,28658.87988275,26122.1748045,Neutral,+11
2021-11-23,29663.449219,29758.050781,28187.119141,28283.919922,28750.625,28875.294922,28658.87988275,26122.1748045,Neutral,+10
2021-11-16,29749.710938,29960.929688,29402.570313,29774.109375,28854.114258,28875.294922,28552.472168,25816.314453,Bullish,+9
2021-11-09,29557.550781,29861.880859,29040.080078,29776.800781,29044.699219,28875.294922,28502.534668,25524.7548825,Bullish,+8
2021-11-02,29462.400391,29880.810547,29457.179688,29507.050781,29044.699219,28875.294922,28602.9399415,25273.700195,Bullish,+7
