Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-02-04,16677.400391,16817.265625,16552.367188,16701.582031,16629.3144535,16629.3144535,16123.68505875,14558.1098635,Bullish,-3
2022-02-01,16659.769531,16926.189453,16606.160156,16677.390625,16629.3144535,16629.3144535,16068.01025425,14502.435059,Bullish,-2
2022-01-25,16413.970703,16663.849609,15998.690430,16659.769531,16629.3144535,16629.3144535,16018.3376465,14495.1049805,Bullish,-1
2022-01-18,17219.060547,17219.060547,15816.089844,16413.970703,16629.3144535,16629.3144535,15934.26220725,14477.959473,Bullish,-0
2022-01-11,17119.560547,17442.539063,17053.039063,17219.060547,16787.874512,16715.284668,15934.26220725,14477.959473,Bullish,+71
2022-01-04,17226.099609,17415.609375,16894.910156,17119.560547,16774.409668,16685.1499025,15953.164551,14345.2246095,Bullish,+70
2021-12-28,17141.089844,17238.650391,17107.750000,17226.099609,16748.760254,16659.5004885,15953.164551,14278.994629,Bullish,+69
2021-12-21,16442.310547,17141.830078,16442.310547,17141.089844,16748.760254,16659.5004885,15935.61206075,14225.759766,Bullish,+68
2021-12-14,16719.570313,16985.080078,16310.570313,16442.310547,16748.760254,16659.5004885,15899.8845215,14152.8793945,Bullish,+67
2021-12-07,16591.970703,16923.740234,16591.970703,16719.570313,16748.760254,16659.5004885,15878.26440425,14152.8793945,Bullish,+66
2021-11-30,16683.980469,16683.980469,16133.209961,16591.970703,16730.580078,16659.5004885,15856.830322,14125.4555665,Bullish,+65
2021-11-23,16945.779297,17046.089844,16546.560547,16683.980469,16729.4052735,16659.5004885,15750.005371,14105.6254885,Bullish,+64
2021-11-16,17285.550781,17364.310547,16945.669922,16945.779297,16729.4052735,16659.5004885,15621.88037125,14105.6254885,Bullish,+63
2021-11-09,17310.509766,17336.839844,17145.000000,17285.550781,16664.904785,16648.2348635,15556.18530275,13966.590332,Bullish,+62
