Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,159.660004,161.580002,158.410004,161.419998,163.5550005,172.5299985,234.834999,228.1650045,Bearish,-18
2021-11-01,162.539993,170.529999,157.759995,158.229996,163.5550005,172.5299985,234.834999,222.8800045,Bearish,-17
2021-10-25,176.179993,176.570007,160.449997,162.240005,163.5550005,174.300003,242.76250075,222.8800045,Bearish,-16
2021-10-18,168.160004,182.600006,167.360001,177.639999,159.885002,178.815002,252.92750525,222.8800045,Bearish,-15
2021-10-11,164.899994,166.919998,158.850006,163.630005,152.845001,179.284996,252.92750525,222.8800045,Bearish,-14
2021-10-04,149.020004,162.300003,144.509995,162.089996,152.845001,179.419998,252.5175035,222.8800045,Bearish,-13
2021-09-27,156.250000,157.380005,150.660004,151.580002,152.845001,182.209999,251.94750375,222.8800045,Bearish,-12
2021-09-20,158.119995,162.279999,152.520004,156.570007,152.9449995,182.209999,251.5400045,222.8800045,Bearish,-11
2021-09-13,163.389999,165.160004,157.690002,162.210007,158.6500015,201.5199965,264.16500275,220.525005,Bearish,-10
2021-09-06,167.570007,169.800003,158.669998,164.100006,161.6849975,207.049995,262.072504,218.4100035,Bearish,-9
2021-08-30,154.199997,166.490005,150.160004,162.979996,163.794998,207.049995,257.41750325,218.4100035,Bearish,-8
2021-08-23,139.699997,158.369995,137.169998,153.259995,172.5299985,223.534996,253.8475035,218.4100035,Bearish,-7
2021-08-16,149.500000,149.979996,135.889999,137.649994,172.5299985,245.355003,248.392502,214,Bearish,-6
2021-08-09,164.750000,169.000000,152.100006,152.449997,180.635002,253.4600065,231.25251025,202.4450075,Bearish,-5
2021-08-02,166.000000,167.990005,161.509995,164.259995,181.1549985,253.980003,200.29749675,176.7649995,Bearish,-4
2021-07-26,165.169998,170.000000,153.139999,164.009995,181.1549985,253.980003,195.11999875,173.470001,Bearish,-3
2021-07-19,175.309998,181.410004,167.839996,172.660004,188.504997,261.3300015,194.22249975,173.470001,Bearish,-2
2021-07-12,180.300003,187.479996,177.990005,179.580002,190.970001,263.7950055,191.11750425,170.3650055,Neutral,-1
2021-07-05,191.550003,191.699997,172.770004,181.360001,190.970001,263.7950055,182.25249875,161.5,Neutral,-0
2021-06-28,205.089996,209.169998,196.250000,196.699997,194.8050005,264.435005,174.112503,153.675003,Bullish,+41
2021-06-21,185.039993,203.029999,182.699997,202.639999,199.3199995,264.435005,162.0874975,142.3949965,Bullish,+40
2021-06-14,188.070007,190.770004,182.600006,186.339996,199.7899935,264.435005,161.2475015,141.5550005,Bullish,+39
2021-06-07,191.979996,192.500000,185.740005,187.690002,199.9249955,258.820007,141.55999575,122.699997,Bullish,+38
2021-05-31,200.710007,204.250000,188.300003,192.990005,202.7149965,248.68,134.364996,116.5899965,Bullish,+37
2021-05-24,189.009995,197.220001,187.600006,196.270004,202.7149965,244.915001,132.53499625,116.5899965,Bullish,+36
2021-05-17,188.490005,197.750000,184.149994,189.529999,220.5999985,243.540001,131.2999955,116.5899965,Bullish,+35
2021-05-10,190.039993,190.619995,176.899994,186.210007,226.129997,243.540001,129.6275025,115.1900025,Bullish,+34
2021-05-03,210.550003,212.710007,189.509995,191.550003,226.129997,243.540001,124.517502,114.6900025,Bullish,+33
2021-04-26,218.100006,221.740005,209.660004,210.330002,242.614998,242.9100035,121.3274995,114.6900025,Bullish,+32
2021-04-19,216.210007,222.679993,204.880005,220.940002,264.435005,241.4200055,121.3274995,114.6900025,Bullish,+31
2021-04-12,217.490005,222.949997,207.690002,213.559998,264.435005,241.4200055,121.3274995,114.6900025,Bullish,+30
2021-04-05,222.000000,228.529999,216.080002,219.669998,264.435005,240.600002,117.74999975,114.6900025,Bullish,+29
2021-03-29,212.490005,227.389999,195.949997,219.699997,264.435005,239.4600025,117.74999975,114.6900025,Bullish,+28
2021-03-22,262.359985,267.149994,174.050003,208.610001,264.435005,238.645004,117.54000075,114.6900025,Bullish,+27
2021-03-15,262.970001,278.209991,255.029999,257.470001,290.800003,237.5300025,116.362501,114.6900025,Bullish,+26
2021-03-08,254.000000,272.790009,226.779999,264.250000,286.6150055,237.5300025,116.51250075,114.6900025,Bullish,+25
2021-03-01,303.339996,311.179993,233.899994,261.720001,279.220001,235.6150055,116.907501,114.6900025,Bullish,+24
2021-02-22,322.450012,354.820007,274.179993,283.459991,272.0800015,235.6150055,116.907501,114.6900025,Bullish,+23
2021-02-15,317.140015,346.000000,288.149994,339.910004,265.580002,231.205002,116.907501,114.6900025,Bullish,+22
2021-02-08,275.000000,322.890015,272.880005,313.000000,242.855011,219.6500095,116.70500175,114.6900025,Bullish,+21
2021-02-01,239.350006,271.529999,235.880005,270.130005,207.034996,193.5599975,116.7350005,114.6900025,Bullish,+20
2021-01-25,261.119995,261.899994,230.080002,235.020004,199.9749985,190.264999,115.3125,114.6900025,Bullish,+19
2021-01-18,250.000000,264.940002,247.880005,252.750000,198.5999985,189.845001,114.635,114.6900025,Bullish,+18
2021-01-11,244.509995,258.730011,218.410004,238.869995,195.495003,186.7400055,114.487501,114.6900025,Bullish,+17
2021-01-04,219.509995,241.000000,203.619995,240.250000,186.6299975,177.875,113.94000225,114.6900025,Bullish,+16
2020-12-28,189.630005,225.350006,189.339996,216.240005,178.175003,170.050003,112.1500015,114.6900025,Bullish,+15
2020-12-21,188.949997,202.789993,185.160004,191.020004,165.4049985,158.7699965,112.1500015,114.6900025,Bullish,+14
2020-12-14,164.800003,201.110001,162.820007,192.690002,164.5650025,157.9300005,112.1500015,114.6900025,Bullish,+13
2020-12-07,143.729996,163.399994,142.539993,161.240005,144.8899955,138.229996,110.29250125,114.6900025,Bullish,+12
2020-11-30,137.270004,146.199997,135.009995,144.070007,137.6399955,131.0899965,110.29250125,114.6900025,Bullish,+11
2020-11-23,136.210007,139.990005,132.259995,139.419998,136.824997,128.2449955,110.29250125,114.6900025,Bullish,+10
2020-11-16,146.710007,151.179993,135.259995,136.110001,135.7099955,126.8899955,109.1150015,114.6900025,Bullish,+9
2020-11-09,148.380005,148.380005,140.679993,145.080002,134.3100015,124.9450035,104.76250075,114.6900025,Bullish,+8
2020-11-02,134.309998,145.360001,131.000000,144.000000,130.8850025,118.1500015,105.82500075,118.7249985,Bullish,+7
2020-10-26,132.850006,135.309998,128.020004,133.050003,127.695,114.959999,108.5875015,123.385002,Bullish,+6
2020-10-19,131.500000,136.169998,128.490005,133.929993,127.695,114.959999,109.95500175,125.3150025,Bullish,+5
2020-10-12,129.029999,138.979996,126.379997,130.369995,127.695,114.959999,111.925003,128.1299975,Bullish,+4
2020-10-05,124.830002,128.699997,124.099998,126.489998,122.3099975,113.190002,112.47000125,128.1299975,Neutral,+3
2020-09-28,124.489998,129.000000,122.470001,124.620003,122.3099975,113.190002,112.47000125,134.1100005,Neutral,+2
2020-09-21,121.360001,126.389999,120.239998,123.790001,121.8899995,113.190002,112.47000125,134.1100005,Neutral,+1
2020-09-14,121.349998,127.250000,120.870003,124.660004,121.8899995,110.8350025,112.59500125,134.1100005,Neutral,+0
2020-09-07,117.589996,122.139999,116.410004,120.620003,124.3050005,108.720001,121.0200045,139.805,Bearish,-26
2020-08-31,125.809998,129.029999,119.629997,122.870003,125.095001,108.720001,126.05750275,139.805,Bearish,-25
2020-08-24,123.870003,129.029999,121.940002,129.000000,125.095001,108.720001,126.705002,139.805,Neutral,-24
2020-08-17,117.989998,126.589996,117.669998,122.449997,125.095001,108.720001,128.2525025,139.805,Bearish,-23
2020-08-10,124.550003,128.250000,115.589996,116.739998,124.25,109.1600035,127.9175035,139.805,Bearish,-22
2020-08-03,120.290001,127.379997,119.050003,125.000000,123.220001,110.25,125.70250325,139.805,Bearish,-21
2020-07-27,117.739998,120.449997,114.750000,119.400002,120.375,110.25,125.362503,139.805,Bearish,-20
2020-07-20,122.769997,126.269997,116.389999,119.019997,119.02,110.25,125.362503,139.805,Bearish,-19
2020-07-13,133.699997,133.860001,120.940002,122.769997,118.475002,110.5,125.362503,139.805,Bearish,-18
2020-07-06,129.009995,135.440002,127.820000,132.330002,113.190002,114.6900025,124.052498,139.805,Neutral,-17
2020-06-29,121.010002,124.820000,118.519997,123.300003,109.6100005,114.6900025,119.29499975,139.805,Neutral,-16
2020-06-22,122.370003,124.970001,119.400002,121.800003,109.6100005,114.6900025,113.24250225,139.805,Neutral,-15
2020-06-15,113.389999,128.279999,113.059998,123.080002,109.6100005,114.6900025,113.13250175,139.805,Neutral,-14
2020-06-08,116.000000,118.629997,111.000000,116.269997,105.895,114.6900025,112.18250075,139.805,Neutral,-13
2020-06-01,106.019997,115.199997,105.309998,114.400002,105.895,114.6900025,111.5275,139.805,Neutral,-12
2020-05-25,106.000000,109.230003,102.599998,106.550003,105.895,114.6900025,111.5275,144.6949995,Bearish,-11
2020-05-18,101.830002,120.849998,101.510002,103.320000,103.5400005,114.6900025,111.29000075,144.6949995,Bearish,-10
2020-05-11,99.760002,100.169998,90.940002,99.860001,94.834999,114.6900025,111.29000075,144.6949995,Bearish,-9
2020-05-04,95.430000,100.669998,93.540001,99.769997,96.959999,114.6900025,118.3374995,144.6949995,Bearish,-8
2020-04-27,101.199997,102.980003,94.309998,96.019997,102.4850005,114.6900025,117.16750125,145.2799985,Bearish,-7
2020-04-20,103.599998,107.669998,98.830002,100.949997,105.220001,114.6900025,118.1325015,149.8199995,Bearish,-6
2020-04-13,98.709999,105.190002,97.370003,105.000000,109.1600035,114.6900025,119.574999,149.8199995,Bearish,-5
2020-04-06,100.879997,107.389999,94.900002,99.000000,110.25,114.6900025,118.60999875,149.8199995,Bearish,-4
2020-03-30,98.519997,105.250000,96.099998,97.199997,110.25,114.6900025,121.60000025,150.0199965,Bearish,-3
2020-03-23,89.029999,102.459999,86.230003,97.629997,110.25,114.6900025,121.77499925,150.0199965,Bearish,-2
2020-03-16,90.919998,96.730003,82.000000,88.660004,110.5,114.6900025,122.44000025,150.0199965,Bearish,-1
2020-03-09,106.940002,111.919998,94.660004,100.290001,121.0200045,121.0200045,122.44000025,150.0199965,Bearish,-0
2020-03-02,122.800003,122.970001,112.220001,113.739998,129.800003,122.3150025,122.44000025,150.0199965,Bearish,+11
2020-02-24,122.699997,128.440002,114.809998,119.980003,131.0950015,122.3150025,123.7000005,150.0199965,Bearish,+10
2020-02-17,134.020004,136.320007,128.080002,129.800003,134.1900025,122.3150025,123.7000005,150.0199965,Neutral,+9
2020-02-10,129.259995,138.500000,129.199997,134.570007,133.5200045,122.3150025,123.7000005,150.0199965,Neutral,+8
2020-02-03,127.150002,134.949997,126.900002,130.910004,131.0200045,120.385002,125.3100015,151.6299975,Neutral,+7
2020-01-27,122.000000,128.300003,121.000000,123.559998,130.340004,120.385002,130.4050025,156.7249985,Bearish,+6
2020-01-20,136.490005,139.000000,128.309998,130.000000,130.340004,120.385002,130.4050025,156.7249985,Bearish,+5
2020-01-13,147.000000,147.380005,138.009995,139.610001,130.340004,120.385002,130.772501,156.7249985,Neutral,+4
2020-01-06,132.779999,144.759995,132.509995,144.509995,129.029999,119.074997,138.817501,156.7249985,Neutral,+3
2019-12-30,125.930000,138.639999,124.669998,133.800003,122.5750005,116.014999,141.14750275,156.7249985,Bearish,+2
2019-12-23,127.849998,129.380005,125.930000,126.449997,115.1000025,111.385002,142.112503,156.7249985,Bearish,+1
2019-12-16,120.400002,129.160004,119.660004,127.489998,114.990002,111.2750015,143.5200005,156.7249985,Bearish,+0
2019-12-09,114.849998,122.730003,114.660004,119.139999,114.040001,110.3250005,143.5200005,156.7249985,Bearish,-32
2019-12-02,118.389999,119.769997,113.300003,115.849998,112.7299995,110.3250005,146.510002,156.7249985,Bearish,-31
2019-11-25,119.349998,121.300003,117.599998,118.529999,112.7299995,110.3250005,149.93000025,157.699997,Bearish,-30
2019-11-18,117.309998,118.660004,113.400002,117.989998,112.255001,110.3250005,152.20500175,159.9749985,Bearish,-29
2019-11-11,122.690002,123.480003,116.330002,117.050003,112.255001,110.3250005,159.01000225,166.779999,Bearish,-28
2019-11-04,106.980003,127.260002,106.510002,124.559998,112.255001,124.419998,172.46749875,180.2149965,Bearish,-27
2019-10-28,104.309998,105.980003,100.820000,104.639999,105.255001,129.0800015,173.9025,180.2149965,Bearish,-26
2019-10-21,104.570000,106.099998,102.510002,103.870003,105.255001,131.010002,176.1725005,180.2149965,Bearish,-25
2019-10-14,104.510002,109.330002,103.529999,103.739998,105.325001,133.824997,176.1725005,180.2149965,Bearish,-24
2019-10-07,103.790001,107.300003,98.199997,104.660004,103.3950005,133.824997,176.1725005,180.2149965,Bearish,-23
2019-09-30,102.250000,105.099998,99.500000,104.470001,103.3950005,139.805,,180.2149965,,-22
