Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,274.290009,284.415009,272.170013,282.929993,266.5149995,241.199997,193.86374675,161.3950005,Bullish,+81
2021-11-01,275.540985,283.690002,263.230011,273.429993,266.5149995,237.3434985,191.33499725,161.3950005,Bullish,+80
2021-10-25,284.000000,297.399994,273.040009,281.799988,266.5149995,237.3434985,192.30249975,159.5449985,Bullish,+79
2021-10-18,273.000000,290.730011,270.100006,283.390015,263.180008,234.008507,193.9624995,158.540001,Bullish,+78
2021-10-11,243.210007,276.890015,241.649994,273.109985,258.244995,233.2634965,197.3324985,157.0249995,Bullish,+77
2021-10-04,245.570007,253.779999,235.630005,245.000000,258.244995,233.2634965,197.3324985,154.32,Bullish,+76
2021-09-27,259.299988,260.890015,238.570007,249.270004,258.244995,233.2634965,197.3324985,154.32,Bullish,+75
2021-09-20,254.350006,264.290009,250.550003,261.750000,258.244995,228.9999925,197.3324985,152.404999,Bullish,+74
2021-09-13,258.720001,266.720001,248.380005,263.089996,258.244995,228.9999925,197.3324985,148.6449985,Bullish,+73
2021-09-06,279.369995,279.799988,260.570007,262.000000,258.244995,228.9999925,197.3324985,141.615,Bullish,+72
2021-08-30,285.309998,289.239990,269.283997,278.230011,258.244995,228.9999925,197.307499,141.615,Bullish,+71
2021-08-23,242.100006,285.760010,239.311005,282.309998,256.505005,227.215004,202.91749975,141.615,Bullish,+70
2021-08-16,243.330002,243.459000,227.250000,237.880005,249.9400025,220.6500015,201.17000025,141.615,Bullish,+69
2021-08-09,258.950012,266.684998,233.860001,243.820007,249.959999,220.6500015,191.2474975,138.6849995,Bullish,+68
2021-08-02,254.259995,268.329987,246.199997,260.739990,238.580002,220.6500015,183.334997,135.244997,Bullish,+67
2021-07-26,267.559998,268.309998,252.570999,253.610001,238.580002,220.6500015,177.1724985,135.244997,Bullish,+66
2021-07-19,245.050003,272.630005,239.710007,268.959991,238.580002,220.6500015,177.1724985,135.244997,Bullish,+65
2021-07-12,267.696991,269.890015,247.050003,249.960007,227.4450075,219.2800065,174.66624625,135.244997,Bullish,+64
2021-07-05,257.839996,269.679993,254.279999,264.440002,223.483498,219.1749955,167.27750375,130.385004,Bullish,+63
2021-06-28,255.000000,260.820007,245.539993,252.589996,219.053505,214.7450025,166.54750075,129.655001,Bullish,+62
2021-06-21,238.039993,258.390015,231.000000,253.240005,217.838509,213.5300065,166.54750075,129.655001,Bullish,+61
2021-06-14,231.500000,247.940002,227.289993,244.910004,212.6135025,209.9749985,155.82250225,118.9300025,Bullish,+60
2021-06-07,206.440002,232.000000,204.529999,231.270004,204.6435015,209.9749985,143.300001,106.875002,Bullish,+59
2021-05-31,223.229996,226.949997,205.330002,206.940002,202.2435,207.084999,136.77250075,100.460001,Bullish,+58
2021-05-24,212.440002,225.925003,209.360001,222.149994,197.979996,194.760002,128.69249725,92.9249975,Bullish,+57
2021-05-17,189.759995,210.990005,185.000000,210.600006,197.979996,194.760002,124.352497,92.9249975,Bullish,+56
2021-05-10,189.179993,195.500000,177.287003,190.639999,197.979996,189.7474975,124.352497,92.9249975,Bullish,+55
2021-05-03,209.000000,209.589996,180.669998,189.179993,197.979996,184.6899985,124.3274975,92.9249975,Bullish,+54
