Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,109.269997,110.940002,108.300003,110.660004,100.375,100.375,109.4525015,98.625,Bullish,-11
2021-11-01,108.160004,116.489998,103.449997,110.000000,100.375,100.880001,109.120001,96.245003,Bullish,-10
2021-10-25,103.330002,108.410004,102.760002,107.760002,96.335003,100.880001,106.597502,96.245003,Bullish,-9
2021-10-18,98.779999,103.279999,98.430000,103.150002,95.4500005,100.880001,106.4350015,96.245003,Neutral,-8
2021-10-11,98.849998,99.820000,96.699997,99.269997,95.4500005,101.1550025,106.4350015,96.245003,Neutral,-7
2021-10-04,97.949997,100.250000,96.070000,98.849998,95.4500005,101.415001,106.4350015,96.245003,Neutral,-6
2021-09-27,84.510002,101.430000,84.410004,97.980003,95.4500005,102.3150025,104.625002,94.285,Neutral,-5
2021-09-20,88.510002,89.860001,84.260002,84.540001,95.4500005,102.3150025,103.46500025,91.9399985,Bearish,-4
2021-09-13,90.629997,90.669998,87.120003,89.309998,96.880001,103.745003,101.915001,91.9399985,Bearish,-3
2021-09-06,92.809998,93.470001,90.129997,90.209999,98.139999,105.005001,102.535,87.824999,Neutral,-2
2021-08-30,91.000000,93.330002,89.639999,92.809998,98.139999,105.005001,102.79249975,87.824999,Neutral,-1
2021-08-23,102.669998,106.639999,90.839996,90.889999,98.7399975,105.6049995,103.25,87.824999,Neutral,-0
2021-08-16,101.269997,102.769997,100.059998,102.669998,100.3250005,108.115002,103.73250025,87.824999,Neutral,+52
2021-08-09,97.550003,103.389999,97.260002,101.769997,100.3250005,108.115002,103.73250025,87.824999,Neutral,+51
2021-08-02,100.300003,101.949997,97.519997,98.769997,99.775002,108.115002,103.73250025,87.824999,Neutral,+50
2021-07-26,100.089996,100.820000,98.800003,99.790001,99.995003,108.115002,103.73250025,87.824999,Neutral,+49
2021-07-19,97.839996,100.620003,97.400002,100.150002,103.244999,108.115002,102.63500025,87.824999,Neutral,+48
2021-07-12,99.050003,99.370003,97.839996,98.190002,104.5100025,108.115002,101.9524995,87.824999,Neutral,+47
2021-07-05,99.279999,99.949997,98.050003,99.510002,107.325001,108.115002,101.9524995,87.824999,Neutral,+46
2021-06-28,98.830002,100.379997,98.449997,99.449997,107.325001,108.115002,100.71000125,87.2600005,Neutral,+45
2021-06-21,100.699997,102.150002,97.660004,98.349998,107.325001,108.115002,100.54750075,87.2600005,Neutral,+44
2021-06-14,101.150002,102.129997,99.129997,100.320000,107.6000025,108.115002,100.54750075,87.2600005,Neutral,+43
2021-06-07,101.650002,101.940002,98.690002,101.180000,107.860001,108.115002,100.54750075,87.2600005,Bullish,+42
2021-05-31,97.989998,102.620003,97.370003,101.800003,108.7600025,108.115002,100.29250175,87.2600005,Bullish,+41
2021-05-24,109.050003,109.339996,97.150002,97.500000,108.7600025,108.115002,99.59750175,86.5650005,Neutral,+40
2021-05-17,111.330002,111.870003,107.599998,108.580002,113.91,107.800003,93.47000125,86.7749995,Bullish,+39
2021-05-10,116.709999,117.500000,109.209999,111.230003,112.4700015,106.4350015,91.795,86.7749995,Bullish,+38
2021-05-03,115.610001,116.940002,113.800003,116.250000,111.8050005,106.4350015,89.7125015,86.7749995,Bullish,+37
2021-04-26,115.300003,115.889999,113.379997,114.900002,108.115002,105.080002,89.7125015,87.5150015,Bullish,+36
2021-04-19,117.790001,118.050003,114.080002,115.559998,108.115002,104.755001,91.45250125,87.8000015,Bullish,+35
2021-04-12,117.169998,118.570000,114.779999,117.360001,108.115002,104.755001,91.45250125,89.955,Bullish,+34
2021-04-05,116.440002,120.370003,116.029999,117.550003,108.115002,104.755001,91.45250125,89.955,Bullish,+33
2021-03-29,115.059998,117.260002,113.389999,115.930000,106.5600015,102.6900025,91.25,89.955,Bullish,+32
2021-03-22,108.199997,114.430000,107.449997,114.389999,105.1450005,101.785,90.5300005,89.955,Bullish,+31
2021-03-15,108.559998,110.290001,104.570000,108.120003,103.9000015,99.9300005,91.299999,89.955,Bullish,+30
2021-03-08,104.489998,109.870003,103.239998,108.610001,105.1399995,99.9300005,89.51749875,89.955,Bullish,+29
2021-03-01,98.800003,104.690002,95.860001,104.080002,105.654999,99.9300005,89.6099995,89.955,Bullish,+28
2021-02-22,107.419998,107.500000,97.690002,98.199997,106.5699995,99.9300005,89.6099995,89.955,Bullish,+27
2021-02-15,108.430000,108.629997,105.040001,107.900002,107.535,99.9300005,87.88499925,89.955,Bullish,+26
2021-02-08,106.070000,111.940002,105.660004,108.379997,107.535,99.9300005,86.2925005,89.955,Bullish,+25
2021-02-01,102.080002,107.519997,100.230003,105.650002,107.535,99.9300005,86.13250075,89.955,Bullish,+24
2021-01-25,107.639999,108.180000,99.620003,101.660004,107.535,99.9300005,86.285001,89.955,Bullish,+23
2021-01-18,108.589996,109.599998,106.129997,107.879997,105.34,99.9300005,85.85500075,89.955,Bullish,+22
2021-01-11,112.500000,114.419998,107.790001,108.339996,103.9749985,99.9300005,84.1799995,89.955,Bullish,+21
2021-01-04,107.629997,115.449997,105.309998,112.970001,103.9749985,99.9300005,82.990001,89.955,Bullish,+20
2020-12-28,109.510002,109.809998,106.900002,108.040001,102.0550005,99.365002,82.990001,89.955,Bullish,+19
2020-12-21,111.279999,112.529999,107.489998,109.029999,101.7299995,99.365002,82.990001,89.955,Bullish,+18
2020-12-14,107.879997,114.169998,106.269997,111.879997,101.7299995,99.365002,82.990001,89.955,Bullish,+17
2020-12-07,112.330002,112.650002,106.029999,106.550003,101.7299995,99.365002,82.990001,89.955,Bullish,+16
2020-11-30,109.349998,114.320000,107.889999,112.510002,101.2200015,99.365002,82.78749975,89.955,Bullish,+15
2020-11-23,95.720001,112.930000,95.230003,109.900002,100.5250015,98.670002,82.06750025,89.955,Bullish,+14
2020-11-16,95.809998,96.919998,92.500000,94.970001,92.830002,94.1100005,81.43500025,89.955,Bullish,+13
2020-11-09,97.959999,101.250000,92.589996,94.949997,92.830002,90.759998,79.3775005,89.955,Bullish,+12
2020-11-02,91.529999,96.790001,89.790001,95.529999,91.045002,88.380001,80.67499925,89.955,Bullish,+11
2020-10-26,94.900002,94.910004,89.139999,90.320000,91.045002,88.380001,81.04500025,89.955,Bullish,+10
2020-10-19,96.059998,96.889999,93.580002,95.470001,94.5250015,88.380001,82.13000125,89.955,Bullish,+9
2020-10-12,94.279999,97.680000,93.769997,95.559998,94.5250015,88.380001,83.54750075,89.955,Bullish,+8
2020-10-05,91.220001,94.730003,88.120003,93.639999,94.5250015,88.380001,83.54750075,89.955,Bullish,+7
2020-09-28,90.250000,93.379997,89.750000,90.760002,94.5250015,87.9749985,83.54750075,89.955,Bullish,+6
2020-09-21,87.449997,89.910004,84.410004,89.419998,94.5250015,86.5349995,83.54750075,89.955,Neutral,+5
2020-09-14,90.830002,90.860001,87.489998,88.019997,96.0649985,86.5349995,83.54750075,89.955,Neutral,+4
2020-09-07,90.580002,92.519997,88.589996,90.050003,96.6149975,82.42,88.19249925,94.5999985,Neutral,+3
2020-08-31,94.500000,96.610001,90.050003,91.230003,96.799999,82.42,91.22749925,97.6349985,Neutral,+2
2020-08-24,101.010002,104.639999,93.650002,94.730003,96.799999,82.42,93.94500125,100.2000005,Neutral,+1
2020-08-17,99.660004,101.879997,97.809998,100.300003,94.7299995,81.039999,96.28500175,102.540001,Neutral,+0
2020-08-10,96.489998,99.639999,95.870003,98.839996,92.5750005,80.0100005,96.34750175,102.540001,Neutral,-36
2020-08-03,94.010002,97.110001,92.739998,96.489998,92.255001,80.0100005,96.34750175,102.540001,Neutral,-35
2020-07-27,95.980003,96.589996,92.230003,93.349998,92.5600015,80.0100005,96.34750175,102.540001,Bearish,-34
2020-07-20,97.180000,98.879997,95.050003,95.599998,91.700001,80.0100005,101.93499725,103.5249975,Bearish,-33
2020-07-13,92.239998,99.000000,91.010002,95.459999,88.3499985,80.0100005,102.39500025,103.9850005,Bearish,-32
2020-07-06,94.980003,95.239998,88.959999,91.870003,85.9700015,80.0100005,102.39500025,103.9850005,Bearish,-31
2020-06-29,92.930000,94.809998,90.650002,93.610001,85.9700015,80.0100005,102.76500125,103.9850005,Bearish,-30
2020-06-22,88.089996,96.199997,87.580002,92.620003,85.9700015,80.0100005,102.90750125,103.790001,Bearish,-29
2020-06-15,86.010002,91.940002,85.510002,88.800003,85.9700015,80.0100005,103.9850005,100.959999,Bearish,-28
2020-06-08,92.730003,94.050003,86.129997,87.769997,85.9700015,80.0100005,103.9850005,100.959999,Bearish,-27
2020-06-01,97.410004,99.610001,92.239998,92.900002,85.564999,80.0100005,103.9850005,100.709999,Bearish,-26
2020-05-25,84.150002,99.820000,83.580002,97.870003,84.125,80.0100005,105.00749975,100.709999,Bearish,-25
2020-05-18,77.410004,82.410004,76.879997,81.699997,76.095001,86.7749995,108.76250075,100.364998,Bearish,-24
2020-05-11,78.000000,78.860001,72.120003,75.070000,71.9800015,86.7749995,108.76250075,100.364998,Bearish,-23
2020-05-04,76.940002,79.169998,75.309998,78.050003,74.574999,86.7749995,108.91,100.364998,Bearish,-22
2020-04-27,75.290001,82.889999,75.110001,77.389999,74.574999,87.5150015,107.17749975,100.364998,Bearish,-21
2020-04-20,80.239998,80.849998,74.059998,74.540001,76.460001,87.8000015,105.83749975,100.364998,Bearish,-20
2020-04-13,77.220001,82.190002,75.010002,81.730003,77.1400015,89.955,104.745001,99.529999,Bearish,-19
2020-04-06,72.400002,80.720001,71.309998,77.559998,77.1400015,89.955,103,98.264999,Bearish,-18
2020-03-30,77.000000,80.559998,68.430000,70.239998,77.1400015,89.955,103,97.6849975,Bearish,-17
2020-03-23,76.709999,83.760002,73.190002,77.050003,77.1400015,89.955,101.960003,96.6450005,Bearish,-16
2020-03-16,68.570000,78.769997,60.200001,75.970001,77.1400015,89.955,101.540001,96.2249985,Bearish,-15
2020-03-09,75.440002,88.949997,69.489998,74.699997,81.785,94.5999985,101.330002,96.079998,Bearish,-14
2020-03-02,83.230003,84.750000,75.559998,80.239998,84.82,97.6349985,101.267502,96.079998,Bearish,-13
2020-02-24,92.339996,92.720001,80.690002,83.029999,87.690002,100.2000005,101.267502,96.079998,Bearish,-12
2020-02-17,88.900002,94.080002,88.900002,93.889999,90.0300025,102.540001,101.3950005,96.079998,Bearish,-11
2020-02-10,87.180000,89.629997,86.769997,88.680000,90.1550025,102.540001,101.3950005,96.079998,Bearish,-10
2020-02-03,87.559998,89.540001,86.660004,87.139999,90.1550025,102.540001,101.6399995,96.079998,Bearish,-9
2020-01-27,86.730003,88.910004,85.370003,87.070000,90.1550025,102.540001,104.039997,96.079998,Bearish,-8
2020-01-20,91.239998,91.550003,87.339996,87.709999,100.344997,103.5249975,104.15499875,96.079998,Bearish,-7
2020-01-13,90.760002,91.919998,88.620003,91.550003,100.805,103.9850005,103.92749775,96.079998,Bearish,-6
2020-01-06,91.589996,93.389999,89.120003,91.349998,100.805,103.9850005,103.69749825,96.079998,Bearish,-5
2019-12-30,92.809998,94.690002,92.339996,93.029999,101.545002,103.9850005,103.69749825,96.079998,Bearish,-4
2019-12-23,94.110001,94.500000,91.839996,92.839996,101.830002,103.9850005,102.4349995,96.079998,Bearish,-3
2019-12-16,94.000000,94.940002,91.139999,94.059998,103.9850005,103.9850005,100.58,95.6399995,Bearish,-2
2019-12-09,92.099998,94.260002,89.879997,93.589996,103.9850005,103.9850005,100.1350005,95.195,Bearish,-1
2019-12-02,91.500000,92.589996,88.260002,92.239998,103.9850005,103.9850005,100.0100005,95.195,Bearish,-0
2019-11-25,109.830002,113.349998,91.199997,91.459999,105.454998,104.5600015,100.0100005,95.195,Bearish,+10
