Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-08,119.949997,120.110001,117.449997,118.620003,115.579998,112.759998,114.6100005,117.9049985,Bullish,+3
2021-11-05,118.379997,120.599998,118.379997,119.650002,115.579998,112.759998,114.987499,117.9049985,Bullish,+2
2021-11-04,117.489998,118.320000,116.900002,117.589996,114.439999,111.619999,116.82999975,119.389999,Neutral,+1
2021-11-03,114.459999,117.449997,114.459999,117.330002,113.6449965,111.1849975,116.85250075,119.389999,Neutral,+0
2021-11-02,114.949997,115.989998,113.089996,114.540001,112.7700005,110.7199975,116.8075005,119.389999,Bearish,-47
2021-11-01,113.050003,115.139999,112.610001,114.010002,111.9099995,111.7749975,116.8025015,119.389999,Bearish,-46
2021-10-29,112.970001,113.489998,112.320000,113.199997,111.299999,111.7749975,116.8025015,119.389999,Bearish,-45
2021-10-28,111.470001,113.709999,110.830002,112.970001,110.785,111.7749975,116.3825015,119.389999,Bearish,-44
2021-10-27,113.860001,114.080002,110.559998,110.660004,110.785,111.7749975,116.46000075,119.389999,Bearish,-43
2021-10-26,113.379997,114.510002,112.709999,113.860001,110.0699995,111.7749975,116.46000075,119.389999,Bearish,-42
2021-10-25,111.000000,113.250000,110.830002,113.120003,109.4399985,111.7749975,116.5799995,119.510002,Bearish,-41
2021-10-22,110.980003,111.010002,109.839996,110.389999,108.3199995,111.7749975,116.6949995,119.510002,Bearish,-40
2021-10-21,109.550003,110.809998,109.550003,110.709999,108.154999,111.7749975,116.98500025,119.510002,Bearish,-39
2021-10-20,108.820000,110.739998,108.680000,109.190002,108.119999,111.7749975,117.5774995,119.8450015,Bearish,-38
2021-10-19,109.930000,109.930000,108.089996,108.660004,107.715,111.7749975,117.8875005,120.1550025,Bearish,-37
2021-10-18,108.070000,109.730003,107.059998,109.500000,107.3250005,111.7749975,118.1175,120.1550025,Bearish,-36
2021-10-15,109.150002,109.730003,108.250000,108.709999,107.715,111.7749975,118.4800015,120.370003,Bearish,-35
2021-10-14,105.720001,108.839996,105.629997,108.139999,108.68,111.7749975,119.13250175,120.370003,Bearish,-34
2021-10-13,107.180000,107.620003,106.120003,106.639999,108.68,111.7749975,119.78999875,120.6500015,Bearish,-33
2021-10-12,106.080002,107.160004,105.779999,106.199997,109.5299985,111.7749975,120.84249675,120.9850005,Bearish,-32
2021-10-11,107.680000,108.410004,105.500000,105.540001,110.7199975,111.7749975,121.59500125,120.9850005,Bearish,-31
2021-10-08,108.349998,108.930000,107.239998,107.870003,110.7199975,111.7749975,121.59500125,120.9850005,Bearish,-30
2021-10-07,107.360001,109.519997,107.040001,107.910004,111.7749975,111.834999,122.31499875,120.9850005,Bearish,-29
2021-10-06,107.669998,107.940002,104.919998,105.879997,111.7749975,111.834999,122.45999925,120.9850005,Bearish,-28
2021-10-05,109.910004,110.510002,108.120003,108.320000,113.375,113.8950005,122.64999775,120.9850005,Bearish,-27
2021-10-04,110.989998,112.440002,109.849998,110.209999,113.549999,114.3650015,122.75500125,120.9850005,Bearish,-26
2021-10-01,109.570000,112.180000,108.980003,111.089996,113.549999,115.670002,122.9349995,120.9850005,Bearish,-25
2021-09-30,113.400002,114.139999,108.470001,108.849998,113.549999,116.424999,122.022497,120.9850005,Bearish,-24
2021-09-29,115.370003,116.519997,114.480003,114.970001,115.125,118.5349995,121.99749725,120.9850005,Bearish,-23
2021-09-28,115.709999,116.230003,113.379997,114.550003,115.125,118.5800015,121.99749725,120.9850005,Bearish,-22
2021-09-27,115.750000,118.629997,115.750000,116.599998,115.0349995,118.5800015,122.232498,120.9850005,Bearish,-21
2021-09-24,114.779999,116.209999,114.620003,115.989998,114.4550015,119.1500015,122.232498,120.9850005,Bearish,-20
2021-09-23,114.230003,117.470001,114.230003,115.559998,114.4550015,119.1500015,122.05999725,120.9850005,Bearish,-19
2021-09-22,115.120003,115.790001,114.070000,114.190002,113.6150015,119.1500015,121.9224985,120.9850005,Bearish,-18
2021-09-21,114.040001,115.419998,113.419998,113.830002,113.77,119.1500015,121.9224985,120.9850005,Bearish,-17
2021-09-20,113.339996,114.459999,111.620003,113.129997,113.77,119.1500015,121.9224985,120.9850005,Bearish,-16
2021-09-17,114.199997,115.779999,113.809998,114.620003,113.77,119.389999,121.9800015,120.9850005,Bearish,-15
2021-09-16,113.230003,114.239998,112.949997,113.650002,114,119.389999,121.7475015,120.9850005,Bearish,-14
2021-09-15,111.919998,113.040001,111.440002,112.910004,114.5800015,119.389999,121.4800015,120.9850005,Bearish,-13
2021-09-14,114.489998,114.540001,112.110001,112.419998,115.4300005,119.7249985,121.4800015,120.9850005,Bearish,-12
2021-09-13,113.889999,114.570000,112.989998,113.550003,115.7400015,120.0349995,121.4800015,120.9850005,Bearish,-11
2021-09-10,114.750000,115.029999,112.730003,112.809998,116.2000005,120.0349995,121.4800015,120.9850005,Bearish,-10
2021-09-09,114.370003,116.099998,114.150002,114.269997,116.710003,120.25,121.602501,120.9850005,Bearish,-9
2021-09-08,114.739998,114.889999,113.160004,114.250000,118.0150035,120.25,121.5650005,120.9850005,Bearish,-8
2021-09-07,114.839996,115.129997,113.720001,114.519997,119.049999,120.5299985,120.44750025,121.764999,Bearish,-7
2021-09-03,115.910004,116.559998,115.199997,115.379997,120.414997,121.2699965,120.07999975,122.0699995,Bearish,-6
2021-09-02,117.349998,117.720001,116.699997,116.959999,121.1900025,122,120.22249975,122.8099975,Bearish,-5
2021-09-01,118.629997,118.750000,116.660004,117.529999,121.1900025,122,120.22249975,122.8099975,Bearish,-4
2021-08-31,118.300003,118.680000,117.529999,118.400002,122.195,122.4349975,120.4675005,122.8099975,Bearish,-3
2021-08-30,119.220001,119.669998,117.820000,118.480003,122.3400005,122.579998,120.4675005,122.8099975,Bearish,-2
2021-08-27,119.199997,120.260002,118.199997,118.889999,122.529999,122.7699965,120.4675005,124.305,Bearish,-1
2021-08-26,122.760002,122.870003,118.410004,119.250000,122.6350025,122.875,120.4675005,124.305,Bearish,-0
2021-08-25,123.449997,124.379997,122.099998,123.980003,122.8899995,122.9799995,120.4675005,124.305,Neutral,+1
2021-08-24,124.949997,125.629997,123.470001,123.790001,123.129997,120.914997,120.9850005,124.305,Neutral,+0
2021-08-23,123.769997,125.720001,123.389999,124.449997,123.129997,120.8649975,122.25500125,124.3899995,Bullish,-25
2021-08-20,121.879997,123.570000,118.919998,123.120003,123.129997,120.8649975,122.4700015,124.3899995,Neutral,-24
2021-08-19,123.040001,126.860001,122.489998,126.580002,123.5999985,120.8649975,122.4700015,124.3899995,Bullish,-23
2021-08-18,120.839996,125.690002,119.860001,124.050003,123.5999985,120.8649975,122.4700015,124.3899995,Neutral,-22
2021-08-17,123.629997,124.050003,120.110001,120.760002,123.254997,120.8649975,122.4700015,124.3899995,Bearish,-21
2021-08-16,124.639999,124.910004,122.709999,124.800003,122.9799995,120.8649975,122.4700015,124.3899995,Bullish,-20
2021-08-13,125.449997,125.709999,124.230003,124.660004,122.9799995,120.8649975,122.4700015,124.3899995,Bullish,-19
2021-08-12,127.019997,127.339996,124.510002,125.430000,122.9799995,120.8649975,122.7024995,124.3899995,Bullish,-18
2021-08-11,126.180000,127.330002,125.400002,127.250000,122.9750025,120.9850005,122.040001,124.3899995,Bullish,-17
2021-08-10,121.800003,126.400002,121.379997,125.739998,122.5100025,120.9850005,121.7024995,124.3899995,Bullish,-16
2021-08-09,122.529999,122.800003,120.720001,121.459999,121.9750025,120.9850005,120.772501,124.3899995,Neutral,-15
2021-08-06,121.010002,123.169998,120.860001,123.089996,121.9750025,120.9850005,120.34000025,124.3899995,Neutral,-14
2021-08-05,119.589996,121.330002,119.169998,120.669998,121.9750025,120.9850005,120.34000025,124.3899995,Neutral,-13
2021-08-04,121.660004,121.779999,118.620003,118.699997,121.9750025,120.9850005,120.34000025,124.3899995,Bearish,-12
2021-08-03,121.620003,122.070000,119.110001,122.000000,122.2200015,120.9850005,120.34000025,124.3899995,Neutral,-11
