Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,160.419998,160.800003,158.350006,160.220001,163.154999,163.154999,162.4399985,162.730003,Bearish,+16
2021-11-11,159.289993,161.539993,157.929993,160.419998,163.154999,163.154999,162.232498,162.730003,Bearish,+15
2021-11-10,160.429993,161.610001,158.279999,159.669998,163.330002,162.870003,162.232498,162.730003,Bearish,+14
2021-11-09,160.880005,160.910004,158.729996,160.429993,163.5550005,162.5550005,162.28749825,161.989998,Bearish,+13
2021-11-08,163.190002,163.830002,160.919998,161.259995,164.435005,162.5550005,162.28749825,161.989998,Bearish,+12
2021-11-05,165.330002,167.139999,160.820007,162.539993,164.435005,162.5550005,162.12249725,161.699997,Bullish,+11
2021-11-04,164.869995,165.240005,162.630005,164.229996,164.435005,162.5550005,162.209995,161.055,Bullish,+10
2021-11-03,161.369995,168.380005,161.119995,165.490005,164.435005,162.5550005,162.254997,161.055,Bullish,+9
2021-11-02,161.639999,162.309998,160.490005,161.699997,163.584999,161.7049945,162.74749725,161.055,Neutral,+8
2021-11-01,161.910004,162.470001,160.779999,161.449997,163.729996,161.7049945,163.21499625,161.055,Neutral,+7
2021-10-29,163.869995,164.179993,161.210007,161.309998,163.824997,161.7049945,163.40249625,161.055,Neutral,+6
2021-10-28,161.630005,163.619995,161.630005,163.539993,163.824997,161.7049945,163.83999625,161.055,Neutral,+5
2021-10-27,162.850006,164.570007,160.970001,161.000000,163.824997,161.7049945,164.254997,161.055,Bearish,+4
2021-10-26,164.729996,164.940002,162.089996,162.259995,163.854996,161.7049945,164.254997,161.055,Neutral,+3
2021-10-25,165.679993,166.070007,163.809998,164.580002,162.404999,161.484993,166.459999,161.055,Neutral,+2
2021-10-22,165.520004,166.679993,164.539993,165.589996,162.404999,161.484993,166.8600005,161.055,Neutral,+1
2021-10-21,164.610001,166.460007,164.160004,165.029999,162.295006,161.375,167.07249825,161.055,Neutral,+0
2021-10-20,163.619995,165.720001,163.410004,164.889999,161.925003,161.2399975,167.005001,161.055,Neutral,-23
2021-10-19,163.300003,164.330002,163.139999,163.410004,161.755005,162.1749955,167.447502,161.055,Neutral,-22
2021-10-18,161.830002,162.750000,161.830002,162.449997,161.370003,162.5499955,167.1674995,161.055,Neutral,-21
2021-10-15,164.440002,165.380005,162.380005,162.479996,161.0550005,163.4249955,166.0525015,161.055,Neutral,-20
2021-10-14,161.949997,163.750000,161.029999,163.279999,160.625,164.254997,165.647503,160.6500015,Neutral,-19
2021-10-13,161.259995,161.389999,158.130005,160.179993,160.625,164.254997,165.4624975,160.464996,Bearish,-18
2021-10-12,160.880005,162.509995,160.570007,161.330002,160.625,164.254997,165.4274975,160.464996,Neutral,-17
2021-10-11,162.550003,163.789993,161.169998,161.250000,160.625,164.254997,165.112499,160.464996,Neutral,-16
2021-10-08,162.520004,163.660004,161.850006,162.210007,160.625,164.254997,164.494999,160.459999,Neutral,-15
2021-10-07,161.979996,164.520004,161.979996,162.690002,160.625,164.254997,164.34,160.305,Neutral,-14
2021-10-06,158.869995,161.259995,157.360001,161.100006,160.209999,164.254997,163.914997,159.879997,Neutral,-13
2021-10-05,158.500000,160.779999,156.729996,159.949997,160.209999,164.254997,163.914997,159.879997,Neutral,-12
2021-10-04,158.649994,160.559998,156.970001,157.300003,160.3199995,164.254997,163.5449945,159.879997,Bearish,-11
