Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,638.869995,644.289978,627.330017,631.090027,597.165009,578.654999,475.80001075,427.5600125,Bullish,+32
2022-03-28,625.880005,645.309998,615.780029,641.469971,597.165009,575.2700045,475.80001075,427.5600125,Bullish,+31
2022-03-21,605.599976,630.409973,588.859985,628.869995,571.9049985,575.2700045,475.80001075,427.5600125,Bullish,+30
2022-03-14,576.960022,613.210022,564.750000,610.409973,564.0200195,575.2700045,474.53250875,427.0900115,Bullish,+29
2022-03-07,597.080017,601.640015,563.609985,577.849976,572.195007,575.2700045,473.10750575,425.6650085,Bullish,+28
2022-02-28,581.000000,605.909973,565.299988,595.989990,592.795013,575.2700045,473.10750575,425.6650085,Bullish,+27
2022-02-21,579.989990,590.210022,549.020020,588.010010,595.580017,575.2700045,466.9325025,419.9600065,Bullish,+26
2022-02-14,575.000000,606.039978,570.070007,579.989990,595.580017,575.2700045,466.0125045,413.140015,Bullish,+25
2022-02-07,590.159973,614.640015,569.080017,573.419983,595.580017,570.210007,466.14750675,410.0700075,Bullish,+24
2022-01-31,559.400024,604.799988,556.000000,590.159973,595.580017,570.210007,466.14750675,408.9500125,Bullish,+23
2022-01-24,530.890015,574.169983,513.400024,560.099976,595.580017,570.210007,466.0025025,406.210007,Bullish,+22
2022-01-17,588.320007,591.039978,531.340027,533.229980,604.5500185,570.210007,465.9575045,400.5700075,Bullish,+21
2022-01-10,608.859985,630.989990,592.000000,596.369995,610.5400085,567.675003,458.50000775,399.660004,Bullish,+20
2022-01-03,666.320007,672.190002,618.460022,619.150024,610.5400085,567.675003,453.5750125,399.660004,Bullish,+19
2021-12-27,664.799988,677.760010,663.270020,665.409973,601.3450015,567.675003,453.00251025,399.660004,Bullish,+18
2021-12-20,626.299988,670.729980,625.090027,664.799988,592.9549865,563.2199855,452.95500975,399.660004,Bullish,+17
2021-12-13,634.000000,640.859985,605.640015,634.960022,571.705002,550.2299955,452.95500975,399.0700075,Bullish,+16
2021-12-06,564.650024,644.750000,555.950012,631.679993,562.149994,550.2299955,452.367508,393.7750095,Bullish,+15
2021-11-29,556.200012,569.000000,544.000000,558.119995,524.9950105,516.4600065,450.550011,393.7750095,Bullish,+14
2021-11-22,571.679993,572.039978,543.320007,546.590027,524.9950105,516.4600065,449.16500875,391.255005,Bullish,+13
2021-11-15,567.690002,577.210022,559.830017,568.719971,524.9950105,516.3700105,446.73001125,387.5700075,Bullish,+12
2021-11-08,561.969971,565.840027,548.049988,563.219971,519.310013,495.7700195,444.48001125,381.5700075,Bullish,+11
2021-11-01,530.340027,559.669983,524.929993,558.919983,516.224991,489.404999,441.10000625,374.9450075,Bullish,+10
2021-10-25,517.489990,536.070007,515.179993,531.669983,504.425003,477.605011,437.9800035,374.9450075,Bullish,+9
2021-10-18,500.390015,521.380005,498.660004,515.409973,497.080002,470.26001,437.42000575,374.9450075,Bullish,+8
2021-10-11,491.239990,505.859985,479.549988,503.250000,486.680008,464.9200135,438.49001325,370.970009,Bullish,+7
2021-10-04,484.929993,499.899994,472.779999,492.850006,486.680008,464.9200135,438.49001325,370.970009,Bullish,+6
2021-09-27,499.779999,505.820007,477.500000,487.350006,486.680008,464.9200135,438.49001325,369.3500065,Bullish,+5
2021-09-20,499.000000,507.290009,487.000000,504.920013,486.680008,464.9200135,438.49001325,357.410004,Bullish,+4
2021-09-13,502.000000,510.700012,493.260010,506.000000,484.145004,464.9200135,438.25501275,336.4450075,Bullish,+3
2021-09-06,497.600006,505.989990,488.109985,498.149994,482.720001,463.4950105,438.25501275,325.4050065,Bullish,+2
2021-08-30,500.000000,507.850006,490.160004,497.679993,482.720001,463.4950105,438.5750125,325.4050065,Bullish,+1
2021-08-23,476.329987,496.440002,475.700012,495.940002,476.0749965,457.7900085,438.5750125,325.4050065,Bullish,+0
2021-08-16,484.829987,488.910004,462.660004,475.170013,475.1549985,456.8700105,435.4900135,325.4050065,Bullish,-0
2021-08-09,486.489990,488.970001,476.730011,486.160004,475.1549985,457.140015,426.2599945,321.3449935,Bullish,+53
2021-08-02,489.049988,494.600006,479.959991,485.429993,475.1549985,457.140015,419.51999675,317.0949935,Bullish,+52
2021-07-26,482.160004,486.339996,467.799988,485.399994,474.86499,457.140015,412.50499725,312.834999,Bullish,+51
2021-07-19,463.480011,483.579987,457.589996,483.149994,474.774994,457.140015,406.9850005,312.5699995,Bullish,+50
2021-07-12,481.320007,494.019989,467.260010,468.070007,459.8600005,457.140015,398.79499825,307.084999,Bullish,+49
2021-07-05,470.399994,480.880005,461.559998,480.179993,450.01001,457.140015,391.1299895,302.829994,Bullish,+48
2021-06-28,466.000000,478.589996,455.709991,468.170013,448.8650055,457.140015,381.95999925,297.084999,Bullish,+47
2021-06-21,461.170013,473.649994,458.440002,462.200012,448.7700045,457.140015,380.1500015,295.834999,Bullish,+46
2021-06-14,470.489990,476.570007,460.510010,463.500000,448.7700045,457.140015,379.68000025,295.659996,Bullish,+45
2021-06-07,473.000000,474.480011,460.209991,470.700012,454.1650085,450.5700075,372.55751025,291.185005,Bullish,+44
2021-05-31,475.440002,478.399994,463.260010,475.000000,454.390015,446.710007,365.40750125,284.034996,Bullish,+43
2021-05-24,456.920013,474.619995,455.529999,472.329987,454.390015,443.9400025,357.5325085,277.4200055,Bullish,+42
2021-05-17,442.140015,459.299988,425.700012,451.239990,454.390015,439.0700075,352.81501025,274.7800065,Bullish,+41
2021-05-10,448.380005,448.529999,419.140015,441.619995,454.390015,434.5700075,349.81501025,274.7800065,Bullish,+40
2021-05-03,459.750000,459.839996,437.309998,452.579987,454.4500125,427.75,343.45749675,271.734993,Bullish,+39
2021-04-26,467.019989,474.260010,453.839996,456.200012,455.0599975,420.9000095,343.45749675,271.734993,Bullish,+38
2021-04-19,476.529999,476.799988,449.000000,466.130005,455.0599975,419.780014,340.37249775,271.734993,Bullish,+37
2021-04-12,481.929993,489.190002,475.190002,478.790009,457.2000125,419.780014,336.84999475,271.734993,Bullish,+36
2021-04-05,480.299988,489.640015,476.540009,485.089996,457.2000125,419.780014,332.39000325,267.834999,Bullish,+35
2021-03-29,480.399994,481.160004,451.619995,475.950012,457.2000125,419.780014,329.68999475,267.3149945,Bullish,+34
2021-03-22,472.910004,483.000000,449.309998,482.040009,457.2000125,419.780014,320.89999375,267.3149945,Bullish,+33
2021-03-15,455.179993,487.269989,453.190002,474.459991,457.2000125,419.310013,309.96249375,267.3149945,Bullish,+32
2021-03-08,446.829987,457.450012,419.260010,451.170013,457.2000125,419.310013,304.44249325,267.3149945,Bullish,+31
2021-03-01,479.700012,490.859985,433.000000,450.140015,457.840012,419.310013,304.44249325,267.3149945,Bullish,+30
2021-02-22,484.000000,486.609985,455.209991,469.869995,457.840012,419.310013,287.37250125,250.2450025,Bullish,+29
2021-02-15,490.880005,495.140015,475.059998,489.959991,457.840012,413.140015,282.607502,245.7750015,Bullish,+28
2021-02-08,468.750000,487.019989,465.489990,486.320007,446.5099945,406.0099945,279.960003,245.7750015,Bullish,+27
2021-02-01,455.850006,478.519989,453.589996,466.010010,438.399994,400.6399995,277.809994,243.6249925,Bullish,+26
2021-01-25,469.559998,470.000000,441.510010,450.500000,431.369995,393.6399995,274.81499075,243.6249925,Bullish,+25
2021-01-18,448.279999,469.470001,448.279999,465.019989,426.2350005,387.7350005,272.972492,243.6249925,Bullish,+24
2021-01-11,440.609985,458.500000,440.420013,445.850006,416.25,381.3399965,270.8399925,243.6249925,Bullish,+23
2021-01-04,439.329987,449.989990,420.540009,445.640015,405.1749875,377.0849915,267.5274925,243.6249925,Bullish,+22
2020-12-28,434.339996,438.500000,426.790009,437.850006,392.580002,371.3399965,267.5274925,243.6249925,Bullish,+21
2020-12-21,428.149994,436.000000,423.700012,431.459991,390.2100065,370.0899965,267.5274925,243.6249925,Bullish,+20
2020-12-14,406.529999,435.649994,406.000000,434.559998,390.0350035,369.324997,265.53999325,243.6249925,Bullish,+19
2020-12-07,416.410004,426.700012,398.279999,405.820007,385.5600125,359.555008,265.53999325,243.6249925,Bullish,+18
2020-11-30,394.019989,412.399994,392.739990,411.679993,378.4100035,352.404999,264.729992,243.6249925,Bullish,+17
2020-11-23,385.369995,399.170013,383.000000,394.950012,371.795013,343.270004,249.7324945,243.6249925,Bullish,+16
2020-11-16,374.809998,388.850006,374.000000,383.329987,368.685013,336.9450075,236.57749575,243.6249925,Bullish,+15
2020-11-09,389.100006,393.890015,360.359985,373.500000,368.685013,330.9450075,230.159996,243.6249925,Bullish,+14
2020-11-02,355.040009,383.670013,346.660004,380.619995,365.6399995,321.274994,229.97749325,243.6249925,Bullish,+13
2020-10-26,369.600006,369.959991,344.420013,349.630005,365.6399995,321.274994,232.8499985,243.6249925,Bullish,+12
2020-10-19,381.239990,383.609985,367.109985,372.720001,359.4700015,321.274994,235.42999275,243.6249925,Bullish,+11
2020-10-12,381.790009,387.799988,375.019989,378.649994,356.399994,317.2999955,239.9374925,243.6249925,Bullish,+10
2020-10-05,360.839996,380.000000,359.899994,376.700012,351.380005,313.4000015,242.15499875,243.6249925,Bullish,+9
2020-09-28,361.679993,371.000000,356.149994,356.829987,348.119995,311.2599945,242.15499875,243.6249925,Bullish,+8
2020-09-21,350.010010,361.799988,343.480011,356.799988,342.4799955,299.319992,242.15499875,243.6249925,Bullish,+7
2020-09-14,364.410004,372.000000,355.000000,359.730011,341.569992,278.3549955,243.6249925,243.6249925,Bullish,+6
2020-09-07,352.660004,367.829987,350.000000,359.700012,341.569992,267.3149945,266.3699955,266.3699955,Bullish,+5
