Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,245.190002,245.789993,242.770004,244.000000,245.8499985,243.709999,249.25000025,250.7699965,Bearish,-30
2021-11-11,245.630005,246.729996,241.910004,245.000000,245.789993,243.709999,249.70750075,250.7699965,Bearish,-29
2021-11-10,244.000000,246.679993,241.380005,245.880005,244.669998,243.709999,250.64499675,250.7699965,Bearish,-28
2021-11-09,244.279999,245.419998,242.809998,243.660004,244.669998,243.709999,251.14749925,250.7699965,Bearish,-27
2021-11-08,242.479996,245.610001,241.339996,245.270004,244.669998,243.709999,252.01499925,250.7699965,Bearish,-26
2021-11-05,240.910004,245.339996,239.410004,243.710007,244.669998,243.709999,254.14500025,250.7699965,Bearish,-25
2021-11-04,250.000000,252.289993,242.389999,244.080002,244.669998,243.955002,254.81000125,250.7699965,Bearish,-24
2021-11-03,242.559998,247.350006,242.300003,247.029999,242.3250045,243.955002,254.94750575,250.7699965,Bearish,-23
2021-11-02,243.039993,243.500000,241.220001,242.899994,242.7649995,243.955002,255.46749875,250.7699965,Bearish,-22
2021-11-01,239.929993,243.559998,239.289993,243.050003,242.7649995,243.955002,256.18749975,250.7699965,Bearish,-21
2021-10-29,238.169998,240.330002,237.050003,239.589996,242.7649995,244.870003,256.442501,250.7699965,Bearish,-20
2021-10-28,245.000000,246.940002,238.100006,238.660004,243.290001,246.744995,257.08999625,250.7699965,Bearish,-19
2021-10-27,247.410004,247.600006,244.949997,245.000000,243.3299945,247.75,257.3075025,250.7699965,Bearish,-18
2021-10-26,246.800003,247.300003,245.860001,246.350006,243.3299945,248.675003,257.372505,250.7699965,Bearish,-17
2021-10-25,247.119995,247.360001,245.190002,246.410004,243.154999,248.675003,256.00749975,250.7699965,Bearish,-16
2021-10-22,246.600006,247.360001,245.649994,247.089996,241.8050005,249.029999,255.32249825,250.7699965,Bearish,-15
2021-10-21,247.949997,248.479996,245.410004,246.470001,241.8050005,249.305008,254.55250175,250.7699965,Bearish,-14
2021-10-20,244.470001,248.070007,243.309998,246.899994,241.600006,249.4349975,253.73499675,250.7699965,Bearish,-13
2021-10-19,239.500000,242.960007,239.160004,242.729996,241.670006,249.4349975,253.727497,250.7699965,Bearish,-12
2021-10-18,240.839996,240.929993,238.179993,238.449997,241.670006,249.4349975,253.45249925,250.7699965,Bearish,-11
2021-10-15,242.910004,243.979996,240.190002,241.160004,241.670006,249.4349975,253.2474975,250.7699965,Bearish,-10
2021-10-14,240.759995,243.399994,240.759995,242.679993,241.670006,249.4349975,252.9174995,250.7699965,Bearish,-9
2021-10-13,238.550003,241.669998,237.830002,239.839996,241.670006,249.5650025,249.947498,248.1899945,Bearish,-8
2021-10-12,235.830002,238.589996,235.130005,238.389999,243.955002,249.5650025,249.9225045,248.165001,Bearish,-7
2021-10-11,238.399994,238.589996,235.669998,235.830002,244.2249985,249.834999,248.857498,247.734993,Bearish,-6
2021-10-08,241.979996,242.589996,238.509995,238.580002,245.644997,251.2549975,248.28249725,247.734993,Bearish,-5
2021-10-07,246.160004,248.210007,241.110001,241.750000,246.445,252.0550005,248.0625,247.734993,Bearish,-4
2021-10-06,242.029999,245.339996,241.460007,245.250000,247.360001,252.0550005,248.61999875,247.734993,Bearish,-3
2021-10-05,240.550003,245.130005,240.550003,243.059998,249.234993,252.0550005,248.61999875,247.734993,Bearish,-2
2021-10-04,243.610001,247.289993,240.110001,240.550003,250.239998,252.0550005,248.61999875,247.734993,Bearish,-1
2021-10-01,246.429993,246.429993,240.919998,244.679993,251.5699995,252.459999,248.61999875,247.734993,Bearish,-0
2021-09-30,251.860001,252.779999,245.789993,245.820007,254.004997,254.2850035,247.75749575,247.734993,Bearish,+18
2021-09-29,249.919998,252.429993,249.919998,251.789993,255.334999,254.2850035,247.17499525,247.734993,Bullish,+17
2021-09-28,250.690002,251.059998,247.740005,249.729996,255.610008,254.2850035,246.8724975,247.734993,Bullish,+16
2021-09-27,252.169998,252.580002,249.559998,251.429993,256.649994,254.2850035,246.86249525,247.6349945,Bullish,+15
2021-09-24,253.220001,254.610001,252.440002,253.179993,258.089996,254.2850035,246.86249525,247.6349945,Bullish,+14
2021-09-23,257.380005,258.359985,253.460007,253.820007,258.5999985,254.2850035,246.7874945,247.6349945,Bullish,+13
2021-09-22,259.679993,260.369995,256.049988,256.799988,259.894989,254.2850035,247.37499225,247.6349945,Bullish,+12
2021-09-21,260.000000,262.220001,258.989990,259.000000,260.3300015,254.2850035,247.6974945,247.6349945,Bullish,+11
2021-09-20,259.399994,261.910004,257.679993,259.269989,260.4600065,254.2850035,247.734993,247.6349945,Bullish,+10
2021-09-17,262.000000,262.929993,260.410004,261.950012,259.455002,252.5599975,247.734993,247.6349945,Bullish,+9
2021-09-16,263.170013,263.480011,260.119995,262.670013,259.25,251.3949965,247.734993,247.6349945,Bullish,+8
2021-09-15,261.190002,263.739990,259.739990,261.679993,258.3150025,250.790001,247.734993,247.6349945,Bullish,+7
2021-09-14,258.690002,261.269989,258.480011,260.450012,256.699997,250.7699965,248.894997,247.6349945,Bullish,+6
2021-09-13,259.470001,260.549988,258.239990,258.600006,256.6849975,250.7699965,248.959999,247.6349945,Bullish,+5
2021-09-10,260.640015,261.350006,256.920013,258.329987,256.135002,250.7699965,251.4824945,247.6349945,Bullish,+4
2021-09-09,261.480011,263.269989,259.869995,260.149994,255.7249985,250.7699965,250.73999425,247.6349945,Bullish,+3
2021-09-08,257.739990,264.000000,257.390015,262.880005,255.0650025,250.7699965,249.917496,247.6349945,Bullish,+2
2021-09-07,257.829987,258.839996,254.910004,257.829987,251.7050015,248.1899945,249.33750525,247.0800015,Bullish,+1
2021-09-03,255.500000,258.790009,254.500000,257.829987,251.680008,248.165001,248.942497,246.8999935,Bullish,+0
2021-09-02,253.580002,255.389999,252.630005,255.130005,249.980003,247.734993,248.942497,246.8999935,Bullish,-20
2021-09-01,251.979996,253.089996,249.399994,252.470001,248.8300015,247.734993,248.692497,246.8999935,Bullish,-19
2021-08-31,250.369995,252.210007,249.369995,251.699997,248.390007,247.734993,246.3549995,244.6949995,Bullish,-18
2021-08-30,248.949997,252.029999,248.270004,250.470001,249.5050045,247.734993,246.3549995,244.6949995,Bullish,-17
2021-08-27,248.190002,250.020004,247.449997,248.500000,249.5050045,247.734993,246.23749925,244.6949995,Bullish,-16
2021-08-26,246.449997,248.429993,246.130005,247.529999,249.5050045,247.734993,246.46999725,244.6949995,Bullish,-15
2021-08-25,246.770004,247.919998,244.570007,247.000000,249.5050045,247.734993,246.46999725,244.6949995,Bullish,-14
