Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,354.660004,357.970001,351.839996,357.609985,330.805008,318.4450075,281.07749175,246.4449925,Bullish,+83
2022-03-28,360.589996,362.100006,352.549988,355.119995,330.805008,317.574997,279.56499475,246.4449925,Bullish,+82
2022-03-21,344.989990,359.010010,344.299988,358.760010,326.910004,315.6150055,277.8899955,246.4449925,Bullish,+81
2022-03-14,328.649994,346.869995,327.649994,342.410004,320.8399965,309.11499,276.1049995,246.4449925,Bullish,+80
2022-03-07,325.679993,331.489990,318.029999,326.600006,313.149994,301.4249875,276.1049995,246.4449925,Bullish,+79
2022-02-28,317.350006,329.470001,313.589996,325.339996,312.1399995,300.414993,276.1049995,246.4449925,Bullish,+78
2022-02-21,313.440002,321.429993,299.510010,319.239990,310.044998,298.494995,275.21500025,246.4449925,Bullish,+77
2022-02-14,319.609985,320.429993,312.170013,314.799988,306.6100005,298.494995,274.47000125,246.4449925,Bullish,+76
2022-02-07,314.910004,325.630005,312.059998,319.140015,305.7350005,298.494995,274.47000125,246.4449925,Bullish,+75
2022-01-31,312.000000,320.160004,307.839996,314.989990,301.5650025,297.8799895,273.43499775,246.4449925,Bullish,+74
2022-01-24,299.700012,315.920013,294.809998,312.899994,299.5950015,297.8799895,271.779995,245.5399935,Bullish,+73
2022-01-17,322.220001,323.290009,304.140015,305.220001,299.5950015,297.8799895,271.29499825,242.844994,Bullish,+72
2022-01-10,321.399994,324.399994,315.040009,324.130005,299.5950015,297.5650025,271.72749325,242.2799915,Bullish,+71
2022-01-03,300.100006,320.200012,299.200012,319.779999,297.4950105,295.4650115,272.17999275,238.7499925,Bullish,+70
2021-12-27,295.250000,301.649994,294.459991,299.000000,288.2200015,286.1900025,272.17999275,236.4249955,Bullish,+69
2021-12-20,290.769989,296.779999,287.589996,294.489990,288.184998,286.154999,271.577492,235.2049945,Bullish,+68
2021-12-13,288.500000,301.579987,285.839996,293.660004,288.184998,286.154999,269.55498925,234.854996,Bullish,+67
2021-12-06,278.730011,288.500000,278.730011,288.230011,285.2200015,283.1900025,269.36748925,234.854996,Bullish,+66
2021-11-29,284.000000,284.980011,274.790009,277.429993,284.349991,283.1900025,267.85499225,234.854996,Bullish,+65
2021-11-22,280.730011,288.730011,279.760010,283.089996,283.9349975,283.1900025,266.179993,234.854996,Bullish,+64
2021-11-15,286.600006,286.989990,278.010010,279.989990,283.5049895,283.1900025,264.5524905,234.854996,Bullish,+63
2021-11-08,290.000000,295.649994,283.799988,285.989990,283.5049895,283.1900025,264.5524905,233.6949925,Bullish,+62
2021-11-01,288.049988,290.700012,285.220001,287.880005,281.789993,282.904999,261.7350005,229.055,Bullish,+61
2021-10-25,289.700012,292.220001,286.739990,287.010010,281.789993,282.904999,250.467503,222.415001,Bullish,+60
2021-10-18,282.829987,289.799988,281.570007,289.239990,280.5799865,282.5649875,246,220.004997,Bullish,+59
2021-10-11,284.429993,285.609985,275.549988,284.209991,281.064987,280.9399875,246,220.004997,Bullish,+58
2021-10-04,274.679993,284.989990,273.049988,284.140015,281.589996,280.5649875,242.040001,217.2699965,Bullish,+57
2021-09-27,279.769989,281.380005,272.220001,275.709991,281.589996,277.5399935,240.21249775,217.2699965,Bullish,+56
2021-09-20,273.049988,279.700012,271.359985,277.869995,281.589996,274.189995,239.727501,217.2699965,Bullish,+55
2021-09-13,278.359985,281.000000,275.420013,276.760010,281.275009,270.93499,239.727501,213.5,Bullish,+54
2021-09-06,281.910004,281.910004,277.489990,277.600006,281.275009,270.93499,239.727501,213.5,Bullish,+53
2021-08-30,286.299988,287.140015,281.709991,281.890015,281.275009,270.93499,233.3825,207.154999,Bullish,+52
2021-08-23,287.380005,288.559998,284.179993,286.600006,281.275009,269.1549915,231.2575,205.029999,Bullish,+51
