Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,410.839996,418.839996,408.679993,417.720001,422.235001,413.9450075,427.90499875,432.419998,Bearish,+4
2021-11-11,429.250000,429.250000,409.089996,410.839996,422.4400025,413.9450075,428.77750375,432.419998,Bearish,+3
2021-11-10,433.100006,435.790009,431.079987,434.119995,424.505005,413.9450075,429.37750225,432.419998,Bullish,+2
2021-11-09,431.890015,434.899994,429.799988,433.630005,423.369995,413.5,429.37750225,432,Bullish,+1
2021-11-08,427.269989,432.160004,424.109985,431.609985,420.8150025,412.130005,431.29249575,430.3349915,Bullish,+0
2021-11-05,419.489990,426.000000,419.489990,424.220001,417.7350005,409.050003,433.54249575,430.3349915,Bearish,-32
2021-11-04,421.649994,423.600006,418.489990,420.660004,416.9850005,410.125,436.49249275,428.319992,Bearish,-31
2021-11-03,420.790009,423.589996,416.260010,422.519989,416.9850005,410.125,436.82249475,428.319992,Bearish,-30
2021-11-02,421.989990,423.350006,418.779999,420.640015,416.9850005,411.680008,440.05500025,428.319992,Bearish,-29
2021-11-01,417.190002,424.500000,416.209991,421.940002,413.6600035,415.2149965,440.05500025,428.319992,Bearish,-28
2021-10-29,416.429993,419.869995,413.220001,416.920013,409.4349975,416.9600065,441.84500125,428.319992,Bearish,-27
2021-10-28,413.540009,418.839996,411.839996,416.739990,405.845001,418.1600035,441.84500125,428.319992,Bearish,-26
2021-10-27,415.940002,415.940002,409.470001,411.950012,405.845001,418.1600035,443.00750725,428.319992,Bearish,-25
2021-10-26,419.589996,419.589996,410.929993,416.540009,405.845001,418.1600035,443.027504,428.319992,Bearish,-24
2021-10-25,418.519989,418.519989,412.540009,414.950012,405.3099975,418.1600035,441.72000125,428.319992,Bearish,-23
2021-10-22,411.000000,417.429993,410.000000,417.019989,404.7649995,418.1600035,442.2850035,428.319992,Bearish,-22
2021-10-21,411.500000,416.220001,410.119995,411.559998,404.1600035,418.8200075,441.30999725,428.319992,Bearish,-21
2021-10-20,404.269989,412.600006,402.820007,410.600006,404.520004,419.3549955,441.30999725,428.319992,Bearish,-20
2021-10-19,399.070007,407.010010,399.000000,402.200012,408.345001,419.3549955,441.30999725,428.319992,Bearish,-19
2021-10-18,396.399994,397.390015,392.100006,396.700012,408.345001,422.9349975,443.42249275,428.319992,Bearish,-18
2021-10-15,402.950012,404.760010,397.559998,398.309998,411.074997,425.6649935,443.42249275,427.824997,Bearish,-17
2021-10-14,403.250000,406.510010,399.500000,401.299988,411.5249935,427.190002,443.14749875,427.2350005,Bearish,-16
2021-10-13,402.179993,405.589996,398.459991,401.100006,411.5249935,427.2299955,443.14749875,426.395004,Bearish,-15
2021-10-12,406.279999,408.190002,400.850006,401.839996,414.5,428.425003,443.14749875,424.8049925,Bearish,-14
2021-10-11,409.350006,412.309998,403.790009,404.000000,415.9700015,433.6900025,438.989998,420.9149935,Bearish,-13
2021-10-08,414.589996,416.940002,410.000000,410.589996,418.055008,434.220001,437.97999575,419.7949985,Bearish,-12
2021-10-07,419.440002,424.589996,414.369995,414.880005,421.5899965,434.220001,435.4524995,416.8450015,Bearish,-11
2021-10-06,412.299988,414.660004,405.940002,414.640015,423.3350065,434.220001,435.4524995,416.8450015,Bearish,-10
2021-10-05,411.549988,419.989990,411.269989,414.959991,424.5350035,434.220001,432.9375,413.5,Neutral,-9
2021-10-04,414.859985,414.859985,404.850006,408.579987,424.5350035,434.220001,432.727501,413.0350035,Bearish,-8
2021-10-01,413.869995,418.440002,408.679993,416.880005,426.449997,436.1349945,431.89499675,412.3150025,Neutral,-7
2021-09-30,422.700012,428.149994,413.179993,413.309998,428.699997,438.3849945,427.24499525,410.755005,Neutral,-6
2021-09-29,424.940002,425.329987,419.279999,422.299988,431.649994,441.3349915,423.01499975,409.029999,Neutral,-5
2021-09-28,429.850006,431.260010,419.079987,424.000000,432.309998,441.3349915,421.6649935,408.1150055,Bullish,-4
2021-09-27,437.450012,438.329987,428.980011,431.480011,435.8099975,444.300003,421.439987,407.2999875,Bullish,-3
2021-09-24,439.170013,441.820007,436.480011,439.380005,435.8099975,444.300003,420.8899995,406.75,Bullish,-2
2021-09-23,434.779999,444.220001,433.839996,439.339996,439.3899995,444.300003,420.8899995,406.75,Bullish,-1
2021-09-22,428.410004,436.230011,425.010010,433.760010,439.3899995,444.300003,420.095001,405.9550015,Bullish,-0
2021-09-21,433.720001,435.859985,426.709991,426.750000,441.0900115,444.925003,420.095001,405.9550015,Bullish,+56
2021-09-20,432.239990,434.399994,426.260010,429.899994,441.130005,444.925003,418.944992,404.8049925,Bullish,+55
2021-09-17,441.559998,441.720001,435.390015,436.600006,445.6950075,437.744995,411.2849885,397.144989,Bullish,+54
2021-09-16,445.540009,445.540009,439.640015,442.750000,449.8300015,434.7400055,411.2849885,397.144989,Bullish,+53
2021-09-15,440.549988,446.609985,439.309998,445.029999,449.8300015,432.789993,412.3524935,397.144989,Bullish,+52
2021-09-14,443.880005,444.570007,438.250000,441.470001,449.8300015,432.789993,411.099991,397.144989,Bullish,+51
2021-09-13,453.769989,453.769989,436.070007,440.570007,449.8300015,432.789993,411.099991,397.144989,Bullish,+50
2021-09-10,449.630005,451.920013,444.540009,451.359985,454.0549925,432.789993,411.099991,397.144989,Bullish,+49
2021-09-09,454.989990,455.920013,447.989990,448.140015,454.0549925,432.789993,410.6424945,397.144989,Bullish,+48
2021-09-08,447.549988,456.000000,444.519989,454.019989,453.5050045,432.789993,409.514992,397.144989,Bullish,+47
2021-09-07,454.679993,455.760010,447.200012,447.829987,453.5050045,432.789993,408.83499925,396.8849945,Bullish,+46
2021-09-03,455.200012,463.589996,451.000000,455.920013,453.5050045,432.789993,404.19249725,394.044998,Bullish,+45
2021-09-02,452.859985,455.809998,447.720001,450.369995,449.080002,428.899994,402.65248875,392.5049895,Bullish,+44
2021-09-01,448.559998,451.859985,446.170013,450.970001,447.449997,428.5099945,400.739998,392.119995,Bullish,+43
2021-08-31,448.459991,451.510010,444.609985,450.709991,442.7649995,428.1399995,399.2649995,392.119995,Bullish,+42
2021-08-30,448.070007,455.029999,447.109985,449.380005,442.7649995,428.1399995,399.36999525,392.119995,Bullish,+41
2021-08-27,447.980011,449.769989,444.920013,446.579987,440.25,425.625,399.65499875,392.119995,Bullish,+40
2021-08-26,445.399994,446.700012,443.420013,446.070007,440.25,425.205002,399.4225005,392.119995,Bullish,+39
2021-08-25,446.510010,449.989990,443.809998,446.739990,440.25,423.5399935,399.0625,392.119995,Bullish,+38
2021-08-24,444.200012,450.000000,444.200012,447.790009,430.949997,423.5399935,398.6399995,392.119995,Bullish,+37
2021-08-23,446.000000,446.559998,442.350006,444.839996,426.2250065,419.804993,400.3499985,392.119995,Bullish,+36
2021-08-20,440.890015,445.809998,439.869995,444.179993,423.899994,419.429993,400.08000175,392.5999905,Bullish,+35
2021-08-19,430.500000,445.359985,430.500000,442.040009,423.6749875,419.2049865,398.98999775,392.5999905,Bullish,+34
2021-08-18,439.179993,442.619995,432.279999,432.609985,423.125,418.654999,398.2249985,392.5999905,Bullish,+33
2021-08-17,439.359985,444.260010,437.010010,438.589996,423.125,418.654999,398.2249985,392.5999905,Bullish,+32
2021-08-16,437.200012,439.570007,432.579987,439.540009,422.3300015,417.8600005,397.824997,392.5999905,Bullish,+31
2021-08-13,439.010010,442.670013,434.950012,436.989990,422.3300015,417.8600005,397.52999875,392.5999905,Bullish,+30
2021-08-12,411.899994,440.369995,411.899994,440.119995,421.1799925,416.7099915,397.1100005,392.5999905,Bullish,+29
2021-08-11,407.609985,410.619995,405.890015,408.200012,413.519989,409.049988,393.78499575,392.5999905,Bullish,+28
