Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,391.750000,393.510010,382.329987,385.910004,401.430008,405.145004,427.45249925,424.669998,Bearish,-33
2021-11-11,390.239990,392.709991,386.600006,390.059998,404.575012,405.145004,428.6049955,424.669998,Bearish,-32
2021-11-10,381.570007,389.140015,378.290009,387.600006,405.145004,405.145004,428.6049955,424.669998,Bearish,-31
2021-11-09,375.989990,384.329987,371.309998,383.450012,405.145004,405.145004,428.6049955,423.625,Bearish,-30
2021-11-08,376.519989,378.540009,367.369995,373.859985,405.145004,405.145004,430.6100005,417.784988,Bearish,-29
2021-11-05,375.929993,377.859985,360.950012,375.230011,405.145004,405.145004,436.2350005,417.784988,Bearish,-28
2021-11-04,386.010010,387.839996,373.790009,379.239990,411.5650025,411.5650025,436.4349975,417.784988,Bearish,-27
2021-11-03,409.790009,409.790009,376.260010,387.809998,412.800003,412.800003,436.4349975,417.784988,Bearish,-26
2021-11-02,440.279999,441.910004,430.559998,431.950012,432.1849975,423.169998,441.88748925,417.784988,Neutral,-25
2021-11-01,447.630005,448.200012,440.160004,440.269989,431.6300045,426.300003,439.952499,417.784988,Bullish,-24
2021-10-29,437.730011,449.339996,435.980011,448.679993,430.4400025,428.6049955,437.67499525,416.814987,Bullish,-23
2021-10-28,433.160004,439.369995,430.890015,438.779999,420.149994,428.6049955,433.47750075,413.0999905,Bullish,-22
2021-10-27,429.839996,435.000000,426.399994,430.070007,417.9649965,428.6049955,432.66249825,413.0999905,Neutral,-21
2021-10-26,426.970001,431.450012,423.089996,429.829987,416.1900025,428.6049955,433.1324995,412.789993,Neutral,-20
2021-10-25,421.000000,424.690002,417.880005,423.820007,412.8099975,428.6049955,431.2050015,412.6349945,Neutral,-19
2021-10-22,415.519989,421.779999,415.029999,420.609985,412.2599945,428.6049955,430.65999575,411.6799925,Neutral,-18
2021-10-21,421.429993,421.549988,415.559998,417.209991,412.2599945,428.6049955,430.65999575,410.819992,Neutral,-17
2021-10-20,416.250000,423.589996,413.920013,421.429993,412.2599945,428.6049955,430.65999575,409.6349945,Neutral,-16
2021-10-19,414.899994,420.029999,411.540009,412.519989,412.269989,428.6049955,430.65999575,409.3549955,Neutral,-15
2021-10-18,402.640015,414.559998,400.929993,414.010010,410.3299865,428.6049955,433.8549955,407.8549955,Neutral,-14
2021-10-15,407.179993,409.529999,403.529999,403.540009,410.324997,428.6049955,433.6799925,407.8300015,Bearish,-13
2021-10-14,405.250000,410.309998,405.160004,405.839996,410.3049925,428.6049955,432.4674985,407.8300015,Bearish,-12
2021-10-13,411.769989,412.089996,401.820007,402.829987,410.3049925,428.6049955,430.74000525,407.74501,Bearish,-11
2021-10-12,410.500000,413.720001,405.380005,408.029999,413.7649995,428.6049955,430.417503,406.975006,Neutral,-10
2021-10-11,406.239990,411.079987,404.970001,407.760010,413.7649995,428.6049955,430.277504,404.3700105,Neutral,-9
2021-10-08,417.480011,417.489990,407.760010,409.160004,413.7649995,428.6049955,426.6774905,400.344986,Neutral,-8
2021-10-07,411.619995,423.609985,411.619995,416.570007,426.300003,428.6049955,423.36999525,400.110001,Neutral,-7
2021-10-06,398.730011,408.869995,397.049988,407.820007,428.6049955,428.6049955,422.43000775,397.7950135,Neutral,-6
2021-10-05,402.149994,405.880005,397.040009,401.359985,428.6049955,428.6049955,421.61000075,396.8849945,Neutral,-5
2021-10-04,412.980011,412.989990,397.000000,398.459991,428.6049955,428.6049955,418.5650025,394.794998,Neutral,-4
2021-10-01,412.609985,418.910004,401.010010,416.690002,430.6100005,430.6100005,412.25,391.794998,Bullish,-3
2021-09-30,423.079987,430.529999,412.260010,412.670013,436.2350005,436.2350005,409.277504,390.730011,Bullish,-2
2021-09-29,422.369995,425.420013,418.640015,423.089996,436.4349975,436.4349975,408.73249825,389.215012,Bullish,-1
2021-09-28,426.279999,427.480011,412.660004,417.709991,436.4349975,436.4349975,405.84249875,384.0950015,Bullish,-0
2021-09-27,455.200012,455.600006,426.579987,432.470001,443.394989,440.3799895,405.20748875,382.074997,Bullish,+89
2021-09-24,453.230011,460.209991,453.040009,458.299988,444.7050015,435.1999965,404.90249625,380.380005,Bullish,+88
2021-09-23,448.899994,458.269989,448.209991,455.040009,441.119995,434.2299955,402.81499475,377.100006,Bullish,+87
2021-09-22,440.000000,448.910004,436.839996,446.339996,436.4400025,430.514999,403.21249375,372.595001,Bullish,+86
2021-09-21,436.119995,442.500000,434.000000,439.950012,435.675003,429.6499935,403.21249375,372.595001,Bullish,+85
2021-09-20,432.130005,440.779999,429.200012,433.049988,437.4049985,428.8600005,403.057495,372.595001,Bullish,+84
2021-09-17,435.589996,441.829987,432.559998,440.450012,437.4049985,425.0050045,402.97999575,372.595001,Bullish,+83
2021-09-16,439.820007,441.519989,435.489990,437.190002,437.4049985,423.914993,403.29249575,372.595001,Bullish,+82
2021-09-15,435.420013,440.670013,432.320007,439.790009,437.4049985,423.914993,400.824997,371.6600035,Bullish,+81
2021-09-14,433.850006,441.429993,433.850006,436.239990,437.4049985,423.914993,399.5149995,371.6600035,Bullish,+80
2021-09-13,442.730011,443.869995,423.970001,431.220001,437.4049985,423.914993,399.375,371.6600035,Bullish,+79
2021-09-10,444.660004,446.940002,440.859985,441.000000,443.794998,423.914993,398.625,371.6600035,Bullish,+78
2021-09-09,446.239990,447.380005,441.290009,443.000000,443.444992,423.914993,393.989998,365.894989,Bullish,+77
2021-09-08,448.549988,450.839996,444.209991,445.500000,441.020004,423.914993,390.3049925,361.8099975,Bullish,+76
2021-09-07,447.519989,450.040009,441.910004,449.170013,437.650009,423.8300015,390.119995,361.625,Bullish,+75
2021-09-03,449.010010,450.670013,444.790009,449.549988,437.0050045,423.8300015,388.489998,360.380005,Bullish,+74
2021-09-02,445.339996,450.390015,444.739990,449.040009,436.8650055,423.6900025,384.37749475,357.5,Bullish,+73
2021-09-01,442.980011,445.299988,440.890015,443.790009,433.8149875,419.5399935,381.047485,355.3549955,Bullish,+72
2021-08-31,445.869995,447.079987,441.230011,443.859985,428.6349945,418.104996,380.9299925,355.3549955,Bullish,+71
2021-08-30,436.750000,445.200012,436.750000,444.679993,427.695007,417.1650085,380.2424925,355.3549955,Bullish,+70
2021-08-27,440.220001,443.559998,436.049988,436.750000,426.875,416.3450015,378.2824935,353.4400025,Bullish,+69
2021-08-26,432.890015,439.380005,431.200012,437.649994,423.919998,413.210007,374.6774975,349.8350065,Bullish,+68
2021-08-25,427.679993,433.380005,424.630005,432.890015,420.130005,404.369995,374.52249875,349.8350065,Bullish,+67
2021-08-24,426.000000,429.390015,423.339996,427.510010,415.230011,403.324997,374.435005,349.8350065,Bullish,+66
2021-08-23,427.190002,431.290009,425.190002,425.809998,414.1399995,403.324997,373.2000045,349.8350065,Bullish,+65
2021-08-20,421.269989,425.510010,420.549988,424.750000,411.25,400.4349975,371.65499875,349.8350065,Bullish,+64
2021-08-19,412.980011,424.239990,410.190002,420.329987,410.61499,399.7999875,370.37000275,349.8350065,Bullish,+63
2021-08-18,416.820007,423.630005,415.799988,416.079987,410.3099975,399.494995,369.5350035,349.8350065,Bullish,+62
2021-08-17,416.119995,417.959991,411.279999,417.450012,407.824997,397.8049925,367.99000525,349.8350065,Bullish,+61
2021-08-16,411.230011,416.739990,408.459991,416.029999,408.619995,397.8049925,364.90000875,349.0100095,Bullish,+60
2021-08-13,407.549988,411.529999,406.880005,411.220001,408.619995,397.8049925,364.58999625,348.699997,Bullish,+59
2021-08-12,399.170013,408.279999,399.170013,407.779999,408.619995,397.494995,364.58999625,348.699997,Bullish,+58
2021-08-11,411.929993,411.929993,396.989990,399.260010,408.619995,397.3399965,361.54999525,346.044998,Bullish,+57
2021-08-10,409.190002,411.029999,405.529999,407.290009,410.199997,396.3849945,358.2175065,343.9450075,Bullish,+56
2021-08-09,408.790009,411.600006,405.040009,409.410004,406.125,395.524994,355.8099975,343.1900025,Bullish,+55
2021-08-06,409.220001,411.089996,400.149994,408.410004,404.6900025,394.3399965,355.3075105,342.805008,Bullish,+54
2021-08-05,418.660004,418.660004,405.209991,409.970001,404.6900025,394.0599975,354.2700045,342.455002,Bullish,+53
2021-08-04,410.239990,420.250000,406.089996,416.309998,404.6900025,392.5599975,353.609993,341.625,Bullish,+52
2021-08-03,406.399994,412.049988,404.309998,411.239990,399.5449985,388.4349975,352.77748875,338.7449955,Bullish,+51
