Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,31.650000,32.270000,31.480000,31.879999,29.535,35.4050005,42.7174995,35.7799995,Bearish,-22
2022-03-28,30.809999,31.889999,30.430000,31.690001,29.535,36.0750005,42.58499975,35.7799995,Bearish,-21
2022-03-21,31.770000,32.110001,30.549999,30.910000,29.535,36.0750005,42.2174995,35.7799995,Bearish,-20
2022-03-14,30.219999,31.719999,29.080000,31.650000,31.0599995,36.0750005,41.70249925,35.7799995,Bearish,-19
2022-03-07,30.030001,32.029999,29.389999,30.049999,31.5599995,36.0750005,41.70249925,35.7799995,Bearish,-18
2022-02-28,31.620001,33.230000,29.850000,30.160000,31.5599995,36.0750005,41.3549995,35.7799995,Bearish,-17
2022-02-21,28.940001,32.919998,25.840000,32.799999,31.5599995,36.0750005,40.32499925,35.7799995,Bearish,-16
2022-02-14,31.360001,32.150002,28.840000,28.959999,33.0599995,37.5750005,39.839999,35.7799995,Bearish,-15
2022-02-07,31.040001,32.910000,30.090000,31.280001,33.1299995,37.6450005,39.8324995,35.7799995,Bearish,-14
2022-01-31,30.830000,31.950001,30.320000,30.650000,33.1299995,37.6450005,40.3599995,35.7799995,Bearish,-13
2022-01-24,31.490000,31.900000,28.980000,30.990000,33.1299995,37.6450005,40.21749975,35.7799995,Bearish,-12
2022-01-17,35.950001,36.279999,31.719999,31.760000,33.6399995,38.1550005,40.145,35.7799995,Bearish,-11
2022-01-10,34.480000,37.279999,33.310001,36.189999,33.6399995,38.1550005,40.2875,35.7799995,Neutral,-10
2022-01-03,32.549999,34.410000,32.529999,34.380001,34.1450005,38.1550005,40.5475,35.7799995,Bearish,-9
2021-12-27,32.790001,33.419998,32.349998,32.439999,36.6550005,38.1550005,40.5475,35.7799995,Bearish,-8
2021-12-20,32.950001,33.110001,31.209999,32.869999,36.950001,38.1550005,40.5475,35.7799995,Bearish,-7
2021-12-13,32.090000,33.599998,31.719999,33.250000,37.4850005,38.1550005,39.71999975,35.7799995,Bearish,-6
2021-12-06,31.790001,32.919998,31.639999,32.130001,37.4850005,38.1550005,39.71999975,35.7799995,Bearish,-5
2021-11-29,33.540001,33.820000,30.000000,31.230000,38.1550005,38.1550005,39.71999975,35.7799995,Bearish,-4
2021-11-22,33.730000,34.389999,32.560001,33.340000,39.435001,39.435001,39.3524995,35.7799995,Bearish,-3
2021-11-15,37.139999,37.209999,33.340000,33.580002,39.8250005,39.8250005,39.3524995,35.7799995,Bearish,-2
2021-11-08,37.930000,38.290001,35.660000,36.540001,40.9850005,40.9850005,39.3524995,35.7799995,Neutral,-1
2021-11-01,41.320000,43.310001,36.320000,37.860001,41.3150005,41.6849995,38.9049995,34.74,Neutral,-0
2021-10-25,43.490002,43.900002,40.549999,41.070000,43.43,42.879999,37.11000025,34.200001,Bullish,+33
2021-10-18,42.970001,44.970001,42.790001,43.320000,43.885,42.879999,35.01499875,32.7299995,Bullish,+32
2021-10-11,44.430000,44.799999,42.209999,43.279999,43.885,41.6499995,33.17500075,30.325001,Bullish,+31
2021-10-04,45.130001,46.310001,44.049999,44.509998,43.7849995,41.6499995,33.17500075,29.825001,Bullish,+30
2021-09-27,43.570000,45.529999,43.410000,45.160000,43.52,41.6499995,32.952501,29.6000005,Bullish,+29
2021-09-20,41.709999,43.480000,41.459999,43.310001,43.52,40.914999,32.88000125,28.655001,Bullish,+28
2021-09-13,43.299999,44.500000,41.810001,42.480000,42.4899995,40.914999,32.88000125,28.195001,Bullish,+27
2021-09-06,45.490002,46.270000,42.689999,42.750000,42.4899995,40.914999,32.01499925,27.4899995,Bullish,+26
2021-08-30,43.230000,45.750000,42.639999,45.430000,42.2299995,40.4799995,31.29000075,27.4899995,Bullish,+25
2021-08-23,43.250000,44.070000,42.750000,43.150002,41.3899995,39.259999,31.29000075,27.4899995,Bullish,+24
2021-08-16,42.340000,43.889999,41.520000,42.880001,41.299999,38.379999,31.29000075,28.535,Bullish,+23
2021-08-09,41.799999,43.860001,41.259998,42.740002,41.285,38.379999,31.6925,29.8549995,Bullish,+22
2021-08-02,41.990002,42.639999,40.770000,41.970001,42.34,38.379999,31.8325005,29.8549995,Bullish,+21
2021-07-26,41.939999,43.410000,41.790001,41.889999,42.5,37.9349995,31.91500075,29.8549995,Bullish,+20
2021-07-19,38.990002,42.180000,38.709999,41.680000,42.5,37.79,31.9700005,29.8549995,Bullish,+19
2021-07-12,41.389999,41.560001,39.279999,39.450001,42.785,37.79,31.9700005,29.8549995,Bullish,+18
2021-07-05,42.470001,42.470001,39.950001,41.500000,43.305,37.79,31.7400005,29.8549995,Bullish,+17
2021-06-28,42.380001,42.810001,41.230000,42.580002,43.305,37.79,31.0950005,29.8549995,Bullish,+16
2021-06-21,40.419998,42.919998,40.259998,42.410000,43.305,37.79,30.9100005,29.8549995,Bullish,+15
2021-06-14,40.049999,42.139999,39.560001,40.040001,41.6499995,37.79,30.9100005,29.8549995,Bullish,+14
2021-06-07,45.310001,45.970001,39.840000,40.070000,41.6499995,37.79,31.055,29.8549995,Bullish,+13
2021-05-31,43.759998,46.290001,43.650002,45.110001,41.6499995,37.79,31.055,29.8549995,Bullish,+12
2021-05-24,44.150002,44.980000,43.250000,43.520000,40.914999,37.79,30.89249975,29.8549995,Bullish,+11
2021-05-17,46.020000,46.090000,42.700001,44.049999,40.914999,37.79,30.34,29.8549995,Bullish,+10
2021-05-10,46.790001,47.049999,44.310001,45.820000,40.914999,37.79,30.18,29.8549995,Bullish,+9
2021-05-03,45.369999,46.939999,43.869999,46.529999,40.4249995,37.3849995,29.68750025,29.8549995,Bullish,+8
2021-04-26,42.500000,45.860001,41.480000,44.790001,38.665,35.5550005,30.46999975,29.8549995,Bullish,+7
2021-04-19,37.820000,42.919998,36.250000,42.480000,36.3149985,33.714999,30.90999975,29.8549995,Bullish,+6
2021-04-12,37.779999,38.709999,37.250000,38.009998,34.4750005,31.875001,30.7074995,29.8549995,Bullish,+5
2021-04-05,37.080002,38.130001,36.860001,37.560001,34.4750005,31.875001,30.59499925,29.8549995,Bullish,+4
2021-03-29,35.490002,36.799999,34.779999,36.799999,34.030001,31.875001,30.7099995,29.8549995,Bullish,+3
2021-03-22,37.250000,37.849998,34.799999,36.119999,33.8850015,31.875001,30.23749975,29.8549995,Bullish,+2
2021-03-15,37.330002,39.240002,37.070000,37.279999,33.8850015,31.875001,30.7099995,29.8549995,Bullish,+1
2021-03-08,34.259998,37.509998,33.910000,37.270000,33.0199995,31.009999,30.8199995,29.8549995,Bullish,+0
2021-03-01,31.980000,34.490002,31.469999,33.810001,31.670001,30.9100005,30.59999975,29.8549995,Bullish,-11
