Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,154.020004,156.529999,153.350006,156.320007,155.7649995,150.6500015,150.737503,154.590004,Bullish,+12
2021-11-11,154.039993,154.639999,151.860001,153.669998,155.7649995,150.6500015,151.267502,154.590004,Neutral,+11
2021-11-10,156.600006,157.990005,154.029999,154.110001,157.1949995,150.6500015,152.57500075,154.6500015,Neutral,+10
2021-11-09,156.550003,159.509995,156.410004,157.149994,157.1949995,150.6500015,153.60249725,155.654999,Bullish,+9
2021-11-08,155.750000,156.419998,153.889999,156.059998,157.940002,150.6500015,153.60249725,155.654999,Bullish,+8
2021-11-05,156.809998,157.250000,154.399994,155.470001,158.1949995,150.6500015,153.60249725,155.654999,Neutral,+7
2021-11-04,158.720001,159.270004,155.970001,156.160004,158.530006,150.6500015,153.60249725,155.654999,Bullish,+6
2021-11-03,158.360001,159.669998,157.330002,158.500000,157.9850005,150.6500015,153.60249725,155.654999,Bullish,+5
2021-11-02,158.789993,159.169998,157.119995,157.970001,157.1600035,150.6500015,155.89750275,157.9500045,Bullish,+4
2021-11-01,157.490005,158.149994,155.070007,158.070007,156.185005,150.6500015,158.15250025,159.050003,Bearish,+3
2021-10-29,159.039993,160.500000,157.009995,157.809998,154.375,150.6500015,158.71750225,159.050003,Bearish,+2
2021-10-28,157.330002,160.229996,157.059998,160.089996,154.050003,150.6500015,158.71750225,159.050003,Bullish,+1
2021-10-27,161.990005,161.990005,156.619995,156.889999,154.050003,150.6500015,158.8075025,159.050003,Bearish,+0
2021-10-26,157.320007,158.279999,156.570007,157.250000,151.8600005,149.699997,160.770004,159.050003,Bearish,-31
2021-10-25,156.910004,157.350006,155.130005,156.720001,149.415001,149.699997,160.770004,159.050003,Bearish,-30
2021-10-22,155.000000,157.100006,153.979996,156.889999,148.205002,149.699997,160.770004,159.050003,Bearish,-29
2021-10-21,153.020004,154.869995,152.330002,154.779999,147.0899965,149.699997,160.770004,158.9800035,Bearish,-28
2021-10-20,150.750000,154.270004,150.380005,153.160004,146.790001,149.699997,160.770004,158.9800035,Bearish,-27
2021-10-19,147.570007,150.110001,146.759995,149.910004,144.7099995,149.699997,160.9500045,158.9800035,Bearish,-26
2021-10-18,146.869995,148.050003,146.110001,147.539993,144.6500015,149.699997,161.470001,158.9800035,Bearish,-25
2021-10-15,149.570007,149.990005,146.800003,147.539993,144.6500015,149.699997,162.11249925,158.9800035,Bearish,-24
2021-10-14,145.630005,149.429993,145.440002,148.949997,144.3699955,149.8799975,162.0275,158.9800035,Bearish,-23
2021-10-13,142.130005,144.410004,141.479996,144.330002,143.040001,153.8050005,161.670002,158.9800035,Bearish,-22
2021-10-12,139.979996,142.240005,139.309998,141.869995,143.4749985,153.8050005,161.670002,158.9800035,Bearish,-21
2021-10-11,140.270004,140.750000,139.449997,139.729996,143.824997,153.875,160.75500475,158.8650055,Bearish,-20
2021-10-08,143.380005,143.380005,140.259995,140.660004,144.229996,154.279999,160.13500225,158.245003,Bearish,-19
2021-10-07,145.779999,146.770004,143.429993,143.690002,146.885002,154.590004,158.84500125,156.955002,Bearish,-18
2021-10-06,142.460007,145.119995,140.880005,145.100006,147.945,154.590004,158.84500125,156.955002,Bearish,-17
2021-10-05,143.000000,144.149994,141.000000,142.699997,150.5,154.6500015,158.84500125,156.955002,Bearish,-16
2021-10-04,144.520004,146.039993,143.830002,145.449997,151.5499955,155.654999,158.84500125,156.955002,Bearish,-15
2021-10-01,145.419998,146.419998,144.050003,145.059998,151.5499955,155.654999,158.84500125,156.955002,Bearish,-14
2021-09-30,147.270004,147.639999,144.369995,144.449997,151.5499955,155.654999,158.36750025,156.955002,Bearish,-13
2021-09-29,146.220001,148.199997,146.220001,146.759995,151.5499955,155.654999,158.15750125,156.955002,Bearish,-12
2021-09-28,146.770004,147.009995,143.009995,146.089996,151.5499955,155.654999,158.135002,156.955002,Bearish,-11
