Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,59.790001,60.549999,59.459999,60.060001,58.6724985,58.414999,58.87874975,60.532501,Neutral,-10
2021-11-11,59.080002,59.980000,59.020000,59.680000,57.994999,58.414999,59.00874975,60.532501,Neutral,-9
2021-11-10,58.840000,59.290001,58.490002,58.759998,57.67,58.414999,59.44575,60.532501,Bearish,-8
2021-11-09,58.540001,59.119999,58.395000,58.790001,57.67,58.414999,59.49125075,60.532501,Bearish,-7
2021-11-08,58.930000,59.680000,58.294998,58.570000,57.67,58.414999,59.23000025,60.532501,Bearish,-6
2021-11-05,57.240002,58.744999,57.240002,58.310001,57.709999,58.414999,59.23000025,60.532501,Bearish,-5
2021-11-04,59.000000,59.014999,56.794998,57.169998,57.709999,58.414999,59.23000025,60.532501,Bearish,-4
2021-11-03,58.490002,59.584999,58.090000,59.049999,57.9249995,58.414999,59.23000025,60.532501,Bearish,-3
2021-11-02,57.639999,58.740002,57.240002,58.470001,58.414999,58.414999,59.23624975,60.532501,Bearish,-2
2021-11-01,56.009998,57.980000,56.009998,57.439999,58.414999,58.414999,59.39375,60.532501,Bearish,-1
2021-10-29,56.130001,56.650002,55.660000,55.970001,58.414999,58.414999,59.46625025,60.532501,Bearish,-0
2021-10-28,56.250000,56.860001,56.209999,56.570000,58.535,58.535,59.46625025,60.532501,Bearish,+5
2021-10-27,58.580002,58.580002,55.900002,56.000000,58.535,58.535,59.46625025,60.532501,Bearish,+4
2021-10-26,58.709999,59.759998,58.180000,58.709999,59.1549985,58.1899985,59.6462515,60.582502,Bearish,+3
2021-10-25,59.240002,59.535000,58.610001,58.709999,58.91,58.1899985,60.773751,61.4550015,Bearish,+2
2021-10-22,59.639999,60.189999,58.380001,58.400002,58.91,58.1899985,61.705001,61.4550015,Bearish,+1
2021-10-21,60.070000,61.169998,57.959999,59.259998,58.91,58.1899985,62.0647505,61.4550015,Bearish,+0
2021-10-20,59.160000,60.608002,58.941002,59.889999,58.629002,57.9399985,62.0647505,61.4550015,Bearish,-29
2021-10-19,59.090000,59.270000,58.540001,59.189999,58.2150005,58.254999,62.468751,61.4550015,Bearish,-28
2021-10-18,57.700001,59.389999,57.599998,58.950001,58.039999,58.3999995,62.8307515,61.4550015,Bearish,-27
2021-10-15,59.470001,59.730000,58.840000,58.959999,58.039999,58.3999995,62.9625015,61.4550015,Bearish,-26
2021-10-14,57.430000,58.779999,57.139999,58.740002,58.039999,58.3999995,63.0925015,61.4550015,Bearish,-25
