Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,19.379999,19.620001,19.209999,19.500000,19.12,17.68,14.1,13.665,Bullish,+36
2021-11-11,19.639999,19.840000,19.260000,19.549999,18.79,17.41,13.96,13.585,Bullish,+35
2021-11-10,19.879999,20.469999,19.059999,19.360001,18.5299995,17.2,13.88,13.585,Bullish,+34
2021-11-09,20.510000,20.510000,19.410000,20.120001,18.5299995,17.2,13.7775,13.585,Bullish,+33
2021-11-08,19.400000,20.420000,19.240000,20.150000,17.96,17.155,13.685,13.585,Bullish,+32
2021-11-05,19.709999,19.719999,18.990000,19.290001,17.6099995,16.8049995,13.6775,13.585,Bullish,+31
2021-11-04,18.920000,19.500000,18.719999,19.420000,17.5,16.695,13.6775,13.585,Bullish,+30
2021-11-03,17.920000,18.830000,17.879999,18.629999,17.165,16.36,13.64,13.585,Bullish,+29
2021-11-02,18.150000,18.190001,17.730000,18.010000,16.8450005,16.0400005,13.3975,13.585,Bullish,+28
2021-11-01,17.500000,17.969999,17.070000,17.950001,16.6699995,15.9249995,13.2225,13.585,Bullish,+27
2021-10-29,16.860001,17.360001,16.549999,17.080000,16.475,15.61,13.12,13.585,Bullish,+26
2021-10-28,16.860001,17.580000,16.709999,16.860001,16.475,15.45,13.1,13.585,Bullish,+25
2021-10-27,15.790000,15.920000,15.500000,15.510000,16.0350005,14.8050005,13.1,13.585,Bullish,+24
2021-10-26,16.090000,16.219999,15.700000,15.940000,16.0350005,14.6800005,13.1625,13.585,Bullish,+23
2021-10-25,16.400000,16.500000,15.810000,16.000000,15.9850005,14.6650005,13.1875,13.585,Bullish,+22
2021-10-22,16.420000,16.540001,16.230000,16.280001,15.8550005,14.6650005,13.145,13.63,Bullish,+21
2021-10-21,16.160000,16.700001,16.129999,16.549999,15.8350005,14.6650005,13.075,13.71,Bullish,+20
2021-10-20,15.430000,16.160000,15.370000,16.040001,15.505,14.395,13.0675,13.71,Bullish,+19
2021-10-19,15.600000,15.690000,15.370000,15.420000,15.1700005,14.3300005,13.0675,13.745,Bullish,+18
2021-10-18,15.570000,15.650000,15.490000,15.560000,14.9600005,14.3250005,13.115,13.79,Bullish,+17
2021-10-15,15.540000,16.030001,15.540000,15.700000,14.9600005,14.3250005,13.13,13.795,Bullish,+16
2021-10-14,15.620000,15.620000,15.370000,15.450000,14.79,14.155,13.16,13.95,Bullish,+15
2021-10-13,15.590000,15.690000,15.270000,15.510000,14.79,14.155,13.2225,13.965,Bullish,+14
2021-10-12,15.110000,15.680000,15.010000,15.640000,14.785,14.15,13.21,13.965,Bullish,+13
2021-10-11,15.200000,15.360000,14.970000,15.090000,14.69,14.055,13.2525,13.965,Bullish,+12
2021-10-08,14.920000,15.490000,14.850000,15.120000,14.69,14.055,13.23,13.965,Bullish,+11
2021-10-07,14.340000,14.950000,14.310000,14.890000,14.415,13.785,13.23,13.965,Bullish,+10
2021-10-06,14.140000,14.340000,13.890000,14.120000,14.215,13.705,13.23,13.965,Bullish,+9
2021-10-05,14.440000,14.440000,14.110000,14.290000,14.055,13.705,13.23,13.965,Bullish,+8
2021-10-04,14.270000,14.790000,14.220000,14.350000,13.85,13.705,13.2775,13.965,Bullish,+7
2021-10-01,14.260000,14.370000,14.010000,14.160000,13.695,13.675,13.375,13.965,Bullish,+6
2021-09-30,14.260000,14.320000,14.090000,14.160000,13.68,13.675,13.4,13.965,Bullish,+5
2021-09-29,14.460000,14.500000,14.170000,14.300000,13.68,13.675,13.4,14.08,Bullish,+4
2021-09-28,14.630000,14.730000,14.230000,14.310000,13.68,13.6,13.4,14.08,Bullish,+3
2021-09-27,13.890000,14.290000,13.880000,14.160000,13.46,13.335,13.495,14.185,Neutral,+2
2021-09-24,13.660000,13.940000,13.640000,13.780000,13.285,13.16,13.61,14.4950005,Neutral,+1
2021-09-23,13.350000,13.740000,13.320000,13.710000,13.18,13.06,13.61,14.6200005,Neutral,+0
2021-09-22,12.920000,13.390000,12.910000,13.230000,13.16,13.04,13.7325,14.6200005,Bearish,-54
2021-09-21,12.890000,12.970000,12.660000,12.770000,13.16,13.04,13.74,14.6200005,Bearish,-53
2021-09-20,13.070000,13.190000,12.630000,12.820000,13.16,13.165,13.8025,14.6200005,Bearish,-52
2021-09-17,13.410000,13.700000,13.390000,13.550000,13.16,13.215,13.8025,14.6200005,Bearish,-51
2021-09-16,13.180000,13.530000,13.100000,13.400000,13.075,13.215,13.94,14.6200005,Bearish,-50
2021-09-15,12.890000,13.250000,12.810000,13.220000,12.935,13.215,13.98,14.6200005,Bearish,-49
2021-09-14,12.930000,13.060000,12.790000,12.860000,12.92,13.215,13.98,14.6200005,Bearish,-48
2021-09-13,12.760000,12.990000,12.620000,12.990000,12.92,13.215,13.9975,14.6200005,Bearish,-47
2021-09-10,12.840000,12.930000,12.660000,12.680000,13.015,13.215,14.02,14.5100005,Bearish,-46
2021-09-09,12.950000,12.950000,12.720000,12.760000,13.045,13.215,14.09,14.3750005,Bearish,-45
2021-09-08,12.970000,13.220000,12.910000,13.030000,13.09,13.23,14.1675,14.1500005,Bearish,-44
2021-09-07,12.830000,13.040000,12.810000,12.950000,13.09,13.355,14.1025,14.1500005,Bearish,-43
2021-09-03,12.990000,13.050000,12.870000,12.890000,13.065,13.355,13.98,14.1200005,Bearish,-42
2021-09-02,13.090000,13.210000,12.970000,13.010000,12.92,13.585,13.8675,14.0350005,Bearish,-41
2021-09-01,13.030000,13.220000,12.900000,13.110000,12.875,13.585,13.8675,13.9000005,Bearish,-40
2021-08-31,13.020000,13.140000,12.930000,13.030000,12.875,13.585,13.94,13.8650005,Bearish,-39
2021-08-30,13.350000,13.370000,13.030000,13.050000,12.875,13.585,13.94,13.8650005,Bearish,-38
2021-08-27,12.890000,13.370000,12.870000,13.310000,12.875,13.585,13.9675,13.8650005,Bearish,-37
2021-08-26,13.110000,13.130000,12.810000,12.900000,12.97,13.585,13.9675,13.8650005,Bearish,-36
2021-08-25,13.120000,13.280000,13.020000,13.170000,13.165,13.585,13.9675,13.8650005,Bearish,-35
2021-08-24,12.810000,13.140000,12.760000,13.080000,13.215,13.585,13.9675,13.8650005,Bearish,-34
2021-08-23,12.710000,12.850000,12.470000,12.730000,13.215,13.585,14.455,13.8400005,Bearish,-33
2021-08-20,12.610000,12.670000,12.380000,12.570000,13.215,13.585,14.575,13.8400005,Bearish,-32
2021-08-19,12.800000,12.920000,12.570000,12.670000,13.31,13.68,14.58,13.8400005,Bearish,-31
2021-08-18,12.950000,13.210000,12.900000,13.000000,13.43,13.79,14.69750025,13.7950005,Bearish,-30
2021-08-17,13.320000,13.330000,12.810000,12.990000,13.43,13.79,14.78250025,13.7950005,Bearish,-29
2021-08-16,13.500000,13.560000,13.320000,13.460000,13.675,13.79,14.78500025,13.7950005,Bearish,-28
2021-08-13,13.880000,13.950000,13.540000,13.590000,13.69,13.79,14.86250025,13.7950005,Bearish,-27
2021-08-12,13.920000,14.050000,13.790000,13.900000,13.815,13.79,15.01000025,13.7950005,Neutral,-26
2021-08-11,13.860000,13.950000,13.670000,13.930000,13.815,13.79,15.19500025,13.7950005,Neutral,-25
2021-08-10,13.770000,13.910000,13.660000,13.820000,14.045,13.835,15.23250025,13.7950005,Neutral,-24
2021-08-09,13.720000,13.820000,13.550000,13.750000,14.045,13.915,14.91250025,13.7950005,Bearish,-23
2021-08-06,13.820000,13.910000,13.730000,13.800000,14.045,13.915,14.81000025,13.7950005,Neutral,-22
2021-08-05,13.540000,13.820000,13.450000,13.710000,14.045,13.95,14.81000025,13.7950005,Bearish,-21
2021-08-04,13.850000,13.930000,13.300000,13.320000,14.045,13.995,14.75250025,13.7950005,Bearish,-20
2021-08-03,13.970000,14.080000,13.640000,14.020000,14.18,14,14.68500025,13.7950005,Neutral,-19
2021-08-02,14.020000,14.330000,13.880000,13.910000,14.18,14.155,14.57250025,13.7950005,Neutral,-18
2021-07-30,14.230000,14.300000,13.870000,13.950000,14.035,14.17,14.56750025,13.7950005,Neutral,-17
2021-07-29,14.510000,14.790000,14.300000,14.390000,13.79,14.17,14.61500025,13.7950005,Neutral,-16
2021-07-28,13.860000,13.990000,13.570000,13.860000,13.565,14.17,14.57250025,13.7950005,Neutral,-15
2021-07-27,13.930000,13.960000,13.650000,13.790000,13.565,14.17,14.51000025,13.7950005,Bearish,-14
2021-07-26,13.900000,14.080000,13.870000,14.030000,13.71,14.17,14.6275005,13.7950005,Neutral,-13
2021-07-23,13.970000,14.040000,13.730000,13.820000,13.71,14.17,14.7350005,13.7950005,Neutral,-12
2021-07-22,14.080000,14.140000,13.780000,13.910000,13.765,14.17,14.7350005,13.7950005,Neutral,-11
2021-07-21,14.050000,14.340000,14.030000,14.190000,13.765,14.17,14.7150005,13.7950005,Neutral,-10
2021-07-20,13.370000,13.960000,13.280000,13.910000,13.765,14.17,14.6600005,13.7950005,Neutral,-9
2021-07-19,13.250000,13.320000,12.790000,13.280000,13.765,14.17,14.6475005,13.7950005,Bearish,-8
2021-07-16,14.120000,14.140000,13.580000,13.610000,14.23,14.68,14.5625005,13.7950005,Bearish,-7
2021-07-15,14.150000,14.300000,13.940000,14.010000,14.39,14.76,14.3075005,13.7950005,Neutral,-6
2021-07-14,14.430000,14.630000,14.200000,14.250000,14.39,14.77,14.2325005,13.7950005,Bullish,-5
2021-07-13,14.500000,14.630000,14.300000,14.420000,14.425,14.9700005,14.2100005,13.7950005,Bullish,-4
