Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,143.699997,145.460007,142.800003,143.470001,147.1349945,146.9449995,134.8049985,130.4199985,Bullish,+45
2021-11-11,145.809998,147.149994,143.399994,143.580002,147.1349945,146.9449995,133.8700005,129.4850005,Bullish,+44
2021-11-10,147.429993,149.190002,145.229996,146.529999,147.1349945,145.0499955,133.3475015,129.4850005,Bullish,+43
2021-11-09,150.869995,151.979996,146.630005,148.460007,147.1349945,145.0499955,132.99250175,129.4850005,Bullish,+42
2021-11-08,152.259995,154.399994,150.479996,151.169998,147.1349945,145.0499955,132.2400035,128.870003,Bullish,+41
2021-11-05,152.190002,153.839996,148.690002,151.839996,146.8549955,143.9850005,132.06250375,128.455002,Bullish,+40
2021-11-04,145.990005,148.089996,145.839996,147.440002,144.4449995,140.3949965,132.06250375,127.455002,Bullish,+39
2021-11-03,140.490005,146.809998,139.869995,145.240005,144.4449995,140.3949965,132.06250375,127.455002,Bullish,+38
2021-11-02,144.509995,144.960007,140.619995,141.339996,144.399994,140.3949965,131.01499725,127.034996,Bullish,+37
2021-11-01,144.300003,145.509995,143.199997,144.779999,144.264999,140.3949965,129.2824995,125.794998,Bullish,+36
2021-10-29,145.580002,146.500000,142.839996,143.949997,144.264999,140.3949965,128.6150035,125.794998,Bullish,+35
2021-10-28,148.350006,148.729996,145.589996,146.039993,144.264999,139.3499985,127.44000025,125.794998,Bullish,+34
2021-10-27,141.080002,149.039993,140.410004,147.220001,144.264999,138.639999,126.7325,125.794998,Bullish,+33
2021-10-26,143.460007,145.250000,143.020004,144.449997,142.470001,136.5699995,126.45750025,125.794998,Bullish,+32
2021-10-25,141.770004,143.029999,139.850006,142.169998,142.470001,136.215,126.45750025,125.794998,Bullish,+31
2021-10-22,140.570007,142.759995,140.470001,141.660004,142.470001,136.215,125.87499825,125.794998,Bullish,+30
2021-10-21,140.089996,141.630005,139.759995,141.500000,142.470001,136.215,125.64999975,125.794998,Bullish,+29
2021-10-20,140.529999,141.910004,139.490005,140.240005,142.470001,136.215,125.64999975,125.794998,Bullish,+28
2021-10-19,144.979996,144.979996,140.789993,140.949997,142.790001,136.215,124.71999925,125.794998,Bullish,+27
2021-10-18,143.369995,144.750000,142.720001,144.059998,140.574997,136.09,124.02499975,125.794998,Bullish,+26
2021-10-15,143.210007,145.449997,143.119995,144.520004,140.574997,135.3999975,123.57999975,125.794998,Bullish,+25
2021-10-14,142.289993,142.559998,141.240005,141.580002,140.4749985,133.8849985,123.624998,125.794998,Bullish,+24
2021-10-13,145.000000,145.250000,140.710007,140.830002,139.6900025,133.334999,124.80999925,125.794998,Bullish,+23
2021-10-12,143.220001,145.110001,142.949997,144.699997,138.4300005,133.2649995,125.039999,125.794998,Bullish,+22
