Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,19.980000,20.219999,19.799999,19.930000,18.339999,17.6649995,16.3425,14.4,Bullish,+22
2022-03-28,19.040001,19.879999,18.959999,19.820000,18.169999,17.4949995,16.3425,14.4,Bullish,+21
2022-03-21,19.030001,19.170000,18.260000,19.090000,17.8900005,17.43,16.24999975,14.4,Bullish,+20
2022-03-14,18.209999,19.100000,17.850000,19.030001,17.8900005,17.43,16.16000025,14.28,Bullish,+19
2022-03-07,17.200001,18.770000,16.459999,18.020000,17.8900005,17.43,16.275,14.28,Bullish,+18
2022-02-28,18.410000,18.680000,17.030001,17.260000,17.8900005,17.43,16.275,14.28,Bullish,+17
2022-02-21,18.900000,19.139999,17.540001,18.750000,17.8900005,17.43,16.3575,14.28,Bullish,+16
2022-02-14,18.139999,19.750000,17.809999,19.110001,17.43,17.43,16.43499975,14.28,Bullish,+15
2022-02-07,17.450001,18.860001,17.450001,18.059999,16.9850005,16.845,16.6575,14.28,Bullish,+14
2022-01-31,16.650000,17.650000,16.510000,17.459999,16.805,16.845,16.3675,14.28,Bullish,+13
2022-01-24,16.580000,17.629999,16.030001,16.780001,16.805,16.845,16.3025,14.28,Bullish,+12
2022-01-17,17.639999,17.910000,16.889999,17.040001,16.805,16.845,16.235,14.28,Bullish,+11
2022-01-10,18.180000,18.360001,17.580000,17.940001,16.805,16.845,16.42,14.28,Bullish,+10
2022-01-03,17.490000,18.500000,17.260000,18.209999,16.885,16.845,16.42,14.28,Bullish,+9
2021-12-27,17.240000,17.770000,17.110001,17.389999,17.065,16.845,16.66000025,14.28,Bullish,+8
2021-12-20,15.400000,17.520000,15.110000,17.350000,17.065,16.845,16.66000025,14.28,Bullish,+7
2021-12-13,16.520000,16.629999,15.230000,15.710000,17.125,16.845,16.66000025,14.28,Neutral,+6
2021-12-06,15.700000,17.190001,15.510000,16.629999,17.14,16.845,16.66000025,14.28,Neutral,+5
2021-11-29,16.709999,16.780001,15.260000,15.450000,17.14,16.845,16.66000025,14.28,Neutral,+4
2021-11-22,17.200001,17.540001,15.580000,16.430000,17.3,16.845,16.66000025,14.28,Neutral,+3
2021-11-15,17.920000,18.010000,16.730000,17.049999,17.385,16.845,16.66000025,14.28,Bullish,+2
2021-11-08,18.389999,18.660000,17.650000,17.870001,17.385,16.845,16.65750025,14.28,Bullish,+1
2021-11-01,16.809999,19.020000,16.700001,18.370001,17.385,16.845,16.245,13.79,Bullish,+0
2021-10-25,16.870001,17.110001,16.549999,16.830000,16.63,16.595,15.6725,13.785,Bullish,-10
2021-10-18,16.559999,17.000000,16.440001,16.889999,16.38,16.595,15.6150005,13.7550005,Bullish,-9
2021-10-11,16.510000,16.879999,15.990000,16.780001,16.09,16.595,15.5325005,13.7550005,Bullish,-8
2021-10-04,16.840000,17.049999,15.760000,16.459999,16.09,16.595,15.2425005,13.7550005,Bullish,-7
2021-09-27,17.150000,17.510000,16.290001,16.770000,16.09,16.595,15.1525005,13.7550005,Bullish,-6
2021-09-20,15.980000,17.139999,15.750000,16.959999,15.9049995,16.595,15.0850005,13.6400005,Bullish,-5
2021-09-13,16.180000,16.780001,16.040001,16.260000,15.7250005,16.595,15.0250005,13.6400005,Bullish,-4
2021-09-06,16.090000,16.430000,15.880000,15.990000,15.955,16.595,14.515,12.645,Bullish,-3
2021-08-30,16.480000,16.730000,15.980000,16.170000,15.955,16.595,14.515,12.645,Bullish,-2
2021-08-23,15.270000,16.469999,15.250000,16.420000,16.12,16.595,14.515,12.645,Bullish,-1
2021-08-16,15.770000,15.800000,14.670000,15.160000,16.2749995,16.595,14.2350005,12.4099995,Bullish,-0
2021-08-09,16.020000,16.530001,15.680000,15.910000,16.58,16.735,13.5525,12.63,Bullish,+47
2021-08-02,16.080000,16.540001,15.000000,16.139999,16.58,16.155,13.63,12.63,Bullish,+46
2021-07-26,15.780000,16.530001,15.710000,15.930000,16.63,15.975,13.67,12.63,Bullish,+45
2021-07-19,15.590000,16.660000,15.100000,15.780000,16.63,15.84,13.7575,12.63,Bullish,+44
2021-07-12,17.240000,17.240000,15.940000,15.980000,17,15.84,13.6675,12.845,Bullish,+43
2021-07-05,17.209999,17.219999,15.840000,17.110001,17,15.84,13.3925,12.94,Bullish,+42
2021-06-28,17.570000,17.570000,16.590000,17.250000,17.4800005,15.84,12.9775,12.94,Bullish,+41
2021-06-21,17.320000,17.879999,17.180000,17.570000,17.4800005,15.84,12.95,13.2849995,Bullish,+40
2021-06-14,18.030001,18.160000,17.090000,17.139999,17.4800005,15.84,12.95,13.38,Bullish,+39
2021-06-07,17.480000,18.160000,17.480000,17.910000,17.4800005,15.84,12.95,13.38,Bullish,+38
2021-05-31,17.420000,17.870001,17.270000,17.480000,17.4800005,15.84,12.95,13.38,Bullish,+37
2021-05-24,17.010000,17.370001,16.690001,17.170000,17.4800005,15.84,12.665,13.38,Bullish,+36
