Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,16.719999,16.790001,16.620001,16.680000,16.8199995,17.6599995,16.6225,16.73,Neutral,+34
2021-11-11,16.740000,16.809999,16.650000,16.790001,16.8299995,17.6599995,16.60500025,16.73,Bullish,+33
2021-11-10,16.840000,16.980000,16.610001,16.700001,16.849999,17.64,16.53,16.73,Neutral,+32
2021-11-09,16.850000,16.889999,16.620001,16.820000,16.974999,17.64,16.4825,16.73,Bullish,+31
2021-11-08,17.049999,17.070000,16.780001,16.840000,17.09,17.64,16.3849995,16.745,Bullish,+30
2021-11-05,16.959999,17.000000,16.790001,16.950001,17.2699995,17.64,16.3399995,16.745,Bullish,+29
2021-11-04,17.000000,17.010000,16.559999,16.750000,17.2699995,17.64,16.3399995,16.745,Bullish,+28
2021-11-03,16.809999,16.969999,16.780001,16.850000,17.3449995,17.64,16.3399995,16.745,Bullish,+27
2021-11-02,17.000000,17.080000,16.799999,16.959999,17.5299995,17.64,16.2999995,16.7550005,Bullish,+26
2021-11-01,16.850000,17.100000,16.709999,17.049999,17.6949995,17.64,16.0749995,16.9299995,Bullish,+25
2021-10-29,17.049999,17.139999,16.730000,16.750000,17.705,17.6050005,16.065,16.99,Neutral,+24
2021-10-28,17.250000,17.389999,17.200001,17.350000,17.9800005,17.455,16.125,17.0450005,Bullish,+23
2021-10-27,17.549999,17.620001,17.230000,17.299999,17.995,17.36,16.15500025,17.075,Bullish,+22
2021-10-26,17.950001,17.980000,17.600000,17.620001,18.0349995,17.205,16.1925,17.075,Bullish,+21
2021-10-25,17.809999,17.879999,17.700001,17.850000,18.0349995,17.115,16.37999975,17.225,Bullish,+20
2021-10-22,17.590000,17.700001,17.389999,17.670000,18.0349995,17.115,16.37999975,17.225,Bullish,+19
2021-10-21,18.270000,18.350000,17.309999,17.530001,18.0349995,17.115,16.37999975,17.225,Bullish,+18
2021-10-20,18.360001,18.680000,18.270000,18.650000,17.92,17.115,16.3774995,17.225,Bullish,+17
2021-10-19,18.559999,18.610001,18.340000,18.450001,17.765,17.115,16.3774995,17.225,Bullish,+16
2021-10-18,18.559999,18.760000,18.350000,18.469999,17.64,17.115,16.4125,17.225,Bullish,+15
2021-10-15,18.440001,18.610001,18.389999,18.459999,17.5650005,17.0400005,16.46,17.225,Bullish,+14
2021-10-14,18.370001,18.410000,18.160000,18.379999,17.465,16.94,16.51499975,17.225,Bullish,+13
2021-10-13,17.780001,18.059999,17.570000,17.969999,17.2899995,16.7649995,16.58499925,17.225,Bullish,+12
2021-10-12,17.700001,18.059999,17.650000,17.940001,17.2899995,16.7649995,16.5899995,17.225,Bullish,+11
2021-10-11,17.760000,18.000000,17.629999,17.740000,17.26,16.735,16.6524995,17.225,Bullish,+10
2021-10-08,17.080000,17.530001,17.080000,17.469999,17.0250005,16.5000005,16.56249975,17.225,Bullish,+9
2021-10-07,16.799999,17.049999,16.770000,16.940001,16.885,16.36,16.56249975,17.225,Neutral,+8
2021-10-06,16.780001,16.910000,16.520000,16.740000,16.8500005,16.36,16.565,17.3699995,Neutral,+7
2021-10-05,17.120001,17.139999,16.770000,16.920000,16.7,16.36,16.6525,17.435,Neutral,+6
2021-10-04,17.040001,17.250000,16.860001,16.940001,16.605,16.36,16.68250025,17.435,Neutral,+5
2021-10-01,16.770000,16.969999,16.680000,16.910000,16.4299995,16.3399995,16.7275,17.47,Neutral,+4
2021-09-30,16.990000,17.000000,16.719999,16.730000,16.3399995,16.3399995,16.73499975,17.5300005,Bearish,+3
2021-09-29,16.980000,17.070000,16.830000,16.920000,16.3399995,16.3399995,16.73499975,17.5300005,Neutral,+2
2021-09-28,17.120001,17.209999,16.820000,16.889999,16.3399995,16.3399995,16.73499975,17.5300005,Neutral,+1
2021-09-27,16.799999,17.129999,16.750000,16.980000,16.2999995,16.2999995,16.74,17.5300005,Neutral,+0
2021-09-24,16.469999,16.639999,16.450001,16.530001,16.0549995,16.0949995,17.0674995,17.7700005,Bearish,-68
2021-09-23,16.200001,16.590000,16.150000,16.490000,16.03,16.1,17.29249925,17.965,Bearish,-67
2021-09-22,15.960000,16.290001,15.960000,16.129999,15.975,16.275,17.4725005,18.1000005,Bearish,-66
2021-09-21,15.850000,15.950000,15.650000,15.780000,15.975,16.3350005,17.5,18.1000005,Bearish,-65
2021-09-20,15.660000,15.820000,15.470000,15.680000,15.975,16.41,17.55749975,18.1000005,Bearish,-64
2021-09-17,16.129999,16.309999,15.910000,15.960000,16.185,16.5749995,17.56,18.1000005,Bearish,-63
2021-09-16,16.389999,16.440001,16.110001,16.160000,16.185,16.5749995,17.625,18.1000005,Bearish,-62
2021-09-15,16.110001,16.480000,16.090000,16.379999,16.185,16.5749995,17.625,18.1000005,Bearish,-61
