Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,81.839996,82.699997,81.665001,82.400002,77.789997,81.450001,77.3808385,76.497555,Bullish,+33
2022-03-28,81.370003,81.760002,80.730003,81.570000,77.59,81.450001,77.2708375,76.387554,Bullish,+32
2022-03-21,79.669998,81.379997,78.769997,81.339996,77.59,81.450001,74.715841,75.057251,Bullish,+31
2022-03-14,77.900002,79.739998,77.309998,79.110001,77.59,81.2600025,74.715841,75.057251,Bullish,+30
2022-03-07,77.010002,79.629997,76.080002,78.260002,77.7199975,81.1450005,75.273342,75.39122,Bullish,+29
2022-02-28,75.830002,77.860001,74.779999,77.830002,77.7199975,81.1450005,75.69834125,75.39122,Bullish,+28
2022-02-21,76.459999,77.290001,72.879997,76.320000,77.7199975,81.1450005,75.4287795,76.1068685,Bullish,+27
2022-02-14,76.629997,78.190002,75.110001,76.370003,78.7249985,81.1450005,75.4137765,76.1068685,Bullish,+26
2022-02-07,78.790001,78.919998,75.820000,76.639999,77.2649995,81.1450005,75.17377675,76.1068685,Bullish,+25
2022-01-31,81.019997,82.300003,78.199997,78.559998,77.029999,81.1450005,74.513777,76.1068685,Bullish,+24
2022-01-24,79.769997,81.599998,76.650002,80.900002,77.029999,81.1450005,74.39215475,76.1068685,Bullish,+23
2022-01-17,81.099998,82.160004,79.239998,79.980003,77.544998,81.1450005,74.39215475,76.1068685,Bullish,+22
2022-01-10,80.540001,82.559998,79.669998,81.379997,78.095001,81.1450005,74.71396825,76.1068685,Bullish,+21
2022-01-03,76.580002,80.529999,75.349998,80.300003,78.095001,81.1450005,75.119503,76.1068685,Bullish,+20
2021-12-27,76.000000,77.610001,75.769997,76.639999,81.450001,81.1450005,74.92627725,76.1068685,Bullish,+19
2021-12-20,75.699997,76.559998,74.889999,75.730003,81.450001,81.1450005,74.3994655,76.1068685,Neutral,+18
2021-12-13,72.370003,77.739998,71.970001,75.690002,81.450001,81.1450005,74.294466,76.1068685,Neutral,+17
2021-12-06,73.300003,73.849998,71.500000,72.620003,81.450001,81.1450005,74.1219655,76.1068685,Bearish,+16
2021-11-29,76.419998,77.500000,72.660004,73.339996,82.030003,81.1450005,74.0720405,76.1068685,Bearish,+15
2021-11-22,81.000000,83.589996,77.110001,79.160004,82.030003,81.1450005,74.0720405,76.1068685,Bullish,+14
2021-11-15,84.150002,84.690002,80.620003,80.699997,81.2600025,81.1450005,74.0720405,76.1068685,Bullish,+13
2021-11-08,80.410004,84.260002,79.879997,84.000000,81.1450005,81.1450005,73.86927425,76.1068685,Bullish,+12
2021-11-01,88.050003,91.400002,81.349998,81.610001,81.1450005,81.1450005,73.86927425,76.1068685,Bullish,+11
2021-10-25,81.029999,88.459999,79.949997,88.050003,79.674999,79.6403045,73.5997125,76.1068685,Bullish,+10
2021-10-18,78.739998,81.480003,77.110001,81.150002,77.7249985,77.0366785,73.5997125,76.1068685,Bullish,+9
2021-10-11,81.639999,81.639999,77.980003,78.330002,77.7249985,77.0366785,73.37547675,76.1068685,Bullish,+8
2021-10-04,84.169998,84.559998,80.150002,80.629997,77.7249985,77.0366785,73.37547675,76.1068685,Bullish,+7
2021-09-27,73.510002,84.339996,72.660004,81.400002,77.6149975,76.9266775,73.4637395,76.1068685,Bullish,+6
2021-09-20,71.160004,74.629997,71.120003,73.610001,75.060001,74.371681,74.00524725,76.1068685,Bearish,+5
2021-09-13,73.769997,73.830002,70.889999,71.680000,75.060001,74.371681,74.65171625,73.0200385,Bearish,+4
2021-09-06,76.589996,76.870003,73.120003,73.449997,76.175003,74.371681,75.2242355,73.0200385,Neutral,+3
2021-08-30,76.300003,77.379997,75.830002,77.260002,77.0250015,74.371681,75.2242355,73.0200385,Bullish,+2
2021-08-23,79.110001,79.230003,76.169998,76.300003,77.0250015,73.8325575,75.97328375,73.0200385,Bullish,+1
2021-08-16,76.730003,79.199997,76.639999,78.680000,77.0099985,73.8175545,76.66746125,73.0200385,Bullish,+0
2021-08-09,75.849998,76.769997,74.820000,76.720001,76.744999,73.6025545,76.71040125,73.0200385,Bullish,-24
2021-08-02,76.930000,77.260002,74.930000,75.440002,75.4249995,73.6025545,76.99188975,73.0200385,Neutral,-23
2021-07-26,77.459999,78.669998,76.739998,76.870003,75.181755,73.6025545,77.22566775,73.687977,Neutral,-22
2021-07-19,77.809998,78.339996,75.639999,77.540001,75.181755,73.6025545,77.54771025,73.687977,Neutral,-21
