Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,159.330002,160.820007,157.850006,159.869995,156.1100005,154.129997,147.47750075,143.3550035,Bullish,+36
2021-11-11,156.190002,159.919998,155.779999,159.220001,154.355003,154.129997,146.56500225,143.1550065,Bullish,+35
2021-11-10,155.649994,157.149994,154.570007,156.389999,153.305,154.129997,145.65750125,142.5300065,Bullish,+34
2021-11-09,155.199997,155.899994,153.419998,154.610001,153.305,154.129997,144.4024965,142.110001,Bullish,+33
2021-11-08,156.020004,157.289993,155.250000,156.589996,153.305,154.129997,143.32250225,141.585007,Bullish,+32
2021-11-05,155.830002,157.289993,154.130005,155.089996,153.305,154.129997,143.0650025,141.585007,Bullish,+31
2021-11-04,158.570007,158.660004,152.679993,154.169998,153.5499955,154.129997,142.7350005,141.255005,Bullish,+30
2021-11-03,153.179993,160.190002,152.839996,159.330002,154.4799955,154.129997,142.129997,140.6500015,Bullish,+29
2021-11-02,152.320007,154.809998,151.399994,153.820007,154.4799955,154.129997,142.129997,140.6500015,Bullish,+28
2021-11-01,149.029999,152.940002,148.520004,152.710007,154.4799955,153.914993,137.8300015,136.350006,Bullish,+27
2021-10-29,148.369995,148.899994,146.419998,147.119995,154.4799955,152.089996,137.379997,135.9000015,Bullish,+26
2021-10-28,149.270004,149.710007,147.440002,148.070007,154.9899975,150.274994,136.1499975,136.3450015,Bullish,+25
2021-10-27,154.330002,154.360001,148.809998,149.110001,155.6749955,148.6049955,136.187496,136.3450015,Bullish,+24
2021-10-26,158.919998,158.919998,155.100006,155.380005,155.789993,147.494995,136.187496,136.3450015,Bullish,+23
2021-10-25,160.679993,160.679993,158.100006,159.000000,154.129997,146.9799955,137.43499775,136.3450015,Bullish,+22
2021-10-22,159.949997,162.539993,158.380005,159.880005,154.129997,146.9799955,137.43499775,136.7200015,Bullish,+21
2021-10-21,160.059998,160.639999,156.259995,159.759995,153.18,146.0299985,137.43499775,138.160004,Bullish,+20
2021-10-20,151.639999,160.619995,151.210007,160.410004,153.169998,146.0199965,137.43499775,138.160004,Bullish,+19
2021-10-19,151.369995,151.639999,149.660004,151.639999,150.489998,144.010002,138.25249875,138.160004,Bullish,+18
2021-10-18,150.449997,152.520004,150.000000,150.839996,150.489998,144.010002,138.517498,138.870003,Bullish,+17
2021-10-15,152.889999,153.250000,150.089996,151.130005,151.1600035,144.010002,138.7775,139.5750045,Bullish,+16
2021-10-14,150.639999,151.110001,149.039993,151.020004,151.1600035,144.010002,138.38499825,140.495003,Bullish,+15
2021-10-13,149.619995,150.309998,145.720001,149.229996,151.1600035,144.010002,138.69999675,140.495003,Bullish,+14
2021-10-12,150.800003,152.000000,149.940002,150.690002,152.6800005,144.010002,138.414997,140.495003,Bullish,+13
2021-10-11,154.649994,155.240005,151.309998,151.479996,152.6800005,144.010002,138.31999575,140.495003,Bullish,+12
2021-10-08,153.000000,155.259995,152.649994,153.740005,152.6800005,144.010002,137.63249575,140.495003,Bullish,+11
2021-10-07,153.740005,155.020004,152.750000,153.690002,150.9449995,144.010002,137.244999,140.495003,Bullish,+10
2021-10-06,152.490005,152.639999,148.759995,152.240005,149.1200025,144.010002,137.1450005,142.82,Bullish,+9
2021-10-05,155.419998,156.600006,153.639999,153.809998,147.3050005,144.010002,136.8325005,142.82,Bullish,+8
2021-10-04,153.429993,155.759995,152.570007,153.649994,145.2149965,143.5899965,136.8325005,142.82,Bullish,+7
2021-10-01,152.320007,154.179993,149.940002,152.800003,143.580002,143.0650025,136.8325005,142.82,Bullish,+6
2021-09-30,154.259995,154.710007,149.220001,149.339996,143.0650025,143.0650025,137.0025025,142.82,Bullish,+5
2021-09-29,151.550003,154.050003,150.130005,152.990005,142.7350005,142.7350005,137.0025025,144.290001,Bullish,+4
2021-09-28,152.500000,152.729996,150.020004,151.130005,142.129997,142.129997,137.0025025,144.290001,Bullish,+3
2021-09-27,146.509995,152.839996,145.289993,151.229996,142.129997,142.129997,137.0025025,144.8100055,Bullish,+2
2021-09-24,142.190002,144.240005,141.639999,143.259995,137.8300015,137.8300015,137.7125015,145.1550065,Neutral,+1
2021-09-23,138.440002,143.339996,138.009995,141.949997,137.379997,137.379997,136.95500175,145.610001,Neutral,+0
2021-09-22,135.320007,137.820007,134.669998,136.500000,135.3199995,136.9799955,137.2075005,146.425003,Bearish,-6
2021-09-21,134.440002,135.220001,132.449997,133.389999,135.3949965,136.9799955,136.79999925,146.425003,Bearish,-5
2021-09-20,134.009995,134.179993,131.419998,133.940002,135.3949965,136.9799955,136.79999925,146.425003,Bearish,-4
2021-09-17,137.009995,138.940002,137.009995,137.550003,136.8799975,137.989998,136.66499725,146.425003,Neutral,-3
2021-09-16,138.070007,139.220001,136.089996,137.509995,136.8799975,137.989998,136.46500025,146.425003,Neutral,-2
2021-09-15,134.059998,138.149994,133.679993,137.259995,136.8799975,137.989998,136.95000075,146.425003,Neutral,-1
