Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,75.019997,78.019997,74.949997,77.300003,74.029999,71.8449975,72.454998,75.949997,Bullish,+5
2021-11-11,74.019997,74.959999,73.620003,74.550003,72.6049995,70.9699975,72.454998,75.949997,Neutral,+4
2021-11-10,74.160004,75.150002,73.199997,73.410004,72.154999,70.9699975,72.744999,75.949997,Neutral,+3
2021-11-09,75.099998,76.269997,74.559998,75.589996,72.154999,70.9699975,72.9899975,75.949997,Neutral,+2
2021-11-08,73.320000,75.029999,73.120003,74.559998,71.239998,70.3499985,72.9899975,75.949997,Neutral,+1
2021-11-05,73.000000,73.739998,72.360001,72.919998,70.5949975,69.704998,73.3374995,75.949997,Bearish,+0
2021-11-04,72.370003,72.480003,71.040001,72.239998,69.965,69.134998,73.3374995,75.949997,Bearish,-24
2021-11-03,70.720001,71.330002,70.260002,71.250000,69.205002,69.494999,73.25,75.949997,Bearish,-23
2021-11-02,70.489998,70.849998,70.040001,70.760002,69.1000025,70.329998,73.25,75.949997,Bearish,-22
2021-11-01,68.970001,70.970001,68.940002,70.699997,69.0650025,70.7749975,73.0200005,75.949997,Bearish,-21
2021-10-29,68.389999,69.550003,68.040001,69.099998,68.880001,70.7749975,73.085001,75.949997,Bearish,-20
2021-10-28,69.290001,70.349998,69.180000,69.580002,68.705002,70.7749975,73.1875,75.949997,Bearish,-19
2021-10-27,68.519997,68.690002,67.449997,68.239998,68.705002,70.7749975,73.1875,75.949997,Bearish,-18
2021-10-26,69.370003,69.820000,68.470001,68.940002,68.705002,70.7749975,73.16749975,75.949997,Bearish,-17
2021-10-25,69.620003,71.120003,68.540001,68.760002,68.675003,70.7749975,73.14499875,75.949997,Bearish,-16
2021-10-22,68.510002,69.089996,67.080002,67.510002,67.549999,70.7749975,73.14499875,75.949997,Bearish,-15
2021-10-21,67.949997,68.699997,67.669998,68.639999,68.0149995,70.7749975,73.842499,75.949997,Bearish,-14
2021-10-20,67.199997,69.199997,67.010002,68.269997,68.305,70.7749975,74.39749925,75.949997,Bearish,-13
2021-10-19,67.370003,67.889999,66.639999,67.570000,68.669998,70.7749975,74.60749825,77.105,Bearish,-12
2021-10-18,67.010002,67.629997,66.290001,67.260002,68.669998,70.7749975,74.654999,77.105,Bearish,-11
2021-10-15,68.089996,68.459999,67.480003,67.680000,68.669998,70.7749975,74.43999875,77.105,Bearish,-10
2021-10-14,67.279999,68.080002,66.809998,67.800003,68.669998,70.7749975,74.43999875,77.105,Bearish,-9
2021-10-13,66.739998,67.419998,66.230003,66.379997,68.669998,70.7749975,75.1574975,77.105,Bearish,-8
2021-10-12,69.389999,69.430000,65.669998,66.720001,69.134998,70.7749975,75.15499875,77.105,Bearish,-7
2021-10-11,69.900002,70.360001,69.180000,69.220001,71.1749995,72.454998,74.45749875,77.105,Bearish,-6
2021-10-08,70.930000,70.940002,69.699997,70.120003,72.0099985,72.454998,74.45749875,77.105,Bearish,-5
2021-10-07,70.400002,71.669998,70.120003,70.540001,72.454998,72.454998,74.45749875,77.105,Bearish,-4
2021-10-06,69.800003,70.379997,69.029999,69.940002,72.454998,72.454998,74.45749875,77.105,Bearish,-3
2021-10-05,71.209999,71.209999,69.610001,70.500000,72.744999,72.744999,74.45749875,77.105,Bearish,-2
