Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,26.730000,27.430000,26.920000,27.190001,28.1549995,27.345,25.4150005,23.45,Bullish,+9
2022-03-28,28.299999,28.830000,26.469999,27.080000,28.125,27.345,25.38500025,23.45,Bullish,+8
2022-03-21,27.330000,28.400000,26.690001,28.290001,27.9800005,27.345,25.38500025,23.45,Bullish,+7
2022-03-14,27.830000,30.299999,25.389999,27.450001,27.9800005,27.345,25.38500025,23.45,Bullish,+6
2022-03-07,29.100000,29.170000,27.219999,27.620001,27.9800005,27.345,25.49000025,23.45,Bullish,+5
2022-02-28,28.209999,30.030001,28.100000,29.190001,27.9800005,27.345,25.3375,23.45,Bullish,+4
2022-02-21,27.920000,28.559999,26.049999,28.450001,27.9800005,27.345,25.1725,23.45,Bullish,+3
2022-02-14,29.860001,30.059999,27.430000,27.969999,27.9800005,27.345,25.17,23.45,Bullish,+2
2022-02-07,27.590000,30.920000,27.360001,29.860001,27.5,27.345,25.17500025,23.45,Bullish,+1
2022-01-31,25.530001,27.680000,25.330000,27.590000,25.7799995,26.015,25.23,23.45,Bullish,+0
2022-01-24,25.780001,26.190001,25.040001,25.639999,25.725,25.965,25.44750025,23.45,Bullish,-7
2022-01-17,26.540001,26.969999,25.990000,26.059999,25.725,25.965,25.5625,23.45,Bullish,-6
2022-01-10,26.389999,27.010000,26.260000,26.879999,25.725,25.965,25.6625,23.45,Bullish,-5
2022-01-03,25.920000,27.680000,25.620001,26.610001,25.725,26.175,24.565,23.45,Bullish,-4
2021-12-27,25.870001,26.410000,25.770000,25.980000,25.09,26.175,24.4975,23.45,Bullish,-3
2021-12-20,25.580000,25.940001,25.260000,25.870001,25.3150005,26.175,24.4975,23.45,Bullish,-2
2021-12-13,24.410000,25.940001,24.080000,25.719999,25.3150005,26.175,24.4975,23.45,Bullish,-1
2021-12-06,24.200001,24.930000,23.879999,24.320000,25.3150005,26.1850005,24.48500025,23.45,Neutral,-0
2021-11-29,25.299999,25.520000,23.770000,24.129999,25.3150005,26.295,24.24500075,23.2950005,Neutral,+31
2021-11-22,25.000000,25.309999,24.370001,24.990000,25.6050005,26.295,23.75250025,23.07,Bullish,+30
2021-11-15,25.299999,25.400000,24.440001,25.000000,25.6050005,26.295,23.20250025,22.525,Bullish,+29
2021-11-08,24.950001,26.260000,24.830000,25.530001,25.9049995,26.295,22.76250075,22.0850005,Bullish,+28
2021-11-01,25.490000,26.150000,24.350000,24.770000,26.305,24.965,20.9050005,21.19,Bullish,+27
2021-10-25,26.660000,26.860001,25.370001,25.450001,26.505,24.83,20.7400005,21.19,Bullish,+26
2021-10-18,25.160000,26.690001,25.150000,26.670000,26.505,24.83,20.54249975,21.19,Bullish,+25
2021-10-11,25.760000,26.040001,25.059999,25.299999,26.505,24.83,20.5325,21.19,Bullish,+24
2021-10-04,25.459999,25.950001,24.799999,25.670000,26.0250005,24.8050005,20.5075,21.19,Bullish,+23
2021-09-27,25.760000,25.930000,25.219999,25.559999,25.965,24.8050005,20.5075,21.19,Bullish,+22
2021-09-20,25.350000,25.900000,24.750000,25.820000,25.965,24.8050005,20.5075,21.19,Bullish,+21
2021-09-13,27.459999,27.459999,25.639999,25.690001,25.965,24.8050005,20.5075,20.2299995,Bullish,+20
2021-09-06,27.290001,28.260000,26.889999,27.260000,26.175,24.8050005,20.5075,19.76,Bullish,+19
2021-08-30,26.870001,27.459999,26.309999,27.280001,26.175,24.5,20.74,19.76,Bullish,+18
2021-08-23,25.639999,27.000000,25.639999,26.780001,26.175,24.17,20.925,19.76,Bullish,+17
2021-08-16,26.230000,26.340000,25.510000,25.750000,26.175,24.165,21.1775,19.76,Bullish,+16
2021-08-09,23.990000,26.730000,23.790001,26.290001,26.1850005,24.165,21.01750025,19.76,Bullish,+15
2021-08-02,24.820000,24.950001,23.670000,23.990000,26.295,24.165,20.865,19.76,Bullish,+14
2021-07-26,25.799999,25.930000,24.540001,24.820000,26.7300005,24.165,20.465,19.76,Bullish,+13
2021-07-19,25.910000,26.250000,25.000000,25.780001,26.96,24.165,20.45749975,21.86,Bullish,+12
2021-07-12,27.610001,28.680000,25.400000,26.010000,27.16,24.165,20.45749975,21.9100005,Bullish,+11
2021-07-05,27.309999,28.080000,27.129999,27.660000,24.965,24.165,20.45749975,21.9100005,Bullish,+10
2021-06-28,26.910000,27.510000,26.730000,27.200001,24.83,24.165,20.71,21.9100005,Bullish,+9
2021-06-21,27.049999,27.600000,26.780001,26.980000,24.83,24.165,20.71,21.9100005,Bullish,+8
2021-06-14,28.670000,28.700001,26.639999,26.820000,24.83,24.165,20.71,21.9100005,Bullish,+7
2021-06-07,28.450001,28.920000,28.120001,28.590000,24.8050005,24.165,20.71,21.9100005,Bullish,+6
2021-05-31,27.860001,28.610001,27.610001,28.450001,24.650001,23.8400005,20.71,21.9100005,Bullish,+5
2021-05-24,26.719999,28.160000,26.709999,27.660000,24.4250005,23.08,20.71,21.9100005,Bullish,+4
2021-05-17,25.990000,27.070000,25.950001,26.719999,23.8800005,22.525,20.84,21.9100005,Bullish,+3
2021-05-10,21.049999,26.190001,21.010000,26.090000,23.440001,22.0850005,21.2025,21.9100005,Bullish,+2
2021-05-03,21.660000,21.850000,20.740000,21.100000,21.4300005,20.3800005,21.65749975,21.9100005,Bearish,+1
2021-04-26,22.340000,22.780001,21.590000,21.610001,21.1000005,20.3800005,21.84249975,21.9100005,Bearish,+0
2021-04-19,21.540001,22.299999,21.490000,22.250000,20.8549995,20.23,21.93,21.9100005,Bullish,-22
2021-04-12,21.790001,22.260000,20.690001,21.620001,20.835,20.23,21.93,21.9100005,Bearish,-21
2021-04-05,21.570000,22.150000,21.480000,21.930000,20.785,20.23,21.89499975,21.9100005,Bullish,-20
2021-03-29,21.510000,21.870001,20.980000,21.420000,20.785,20.23,21.8575,21.9100005,Bearish,-19
2021-03-22,21.150000,21.830000,20.900000,21.610001,20.785,20.23,21.74750025,21.9100005,Bearish,-18
2021-03-15,21.530001,21.719999,20.969999,21.120001,20.785,20.23,21.1849995,21.9100005,Bearish,-17
2021-03-08,20.200001,21.830000,20.080000,21.480000,20.785,20.23,20.86999975,21.9100005,Neutral,-16
2021-03-01,19.799999,20.389999,19.420000,20.190001,20.785,20.695,20.86999975,21.9100005,Bearish,-15
2021-02-22,20.420000,20.740000,19.410000,19.510000,20.785,21.065,20.6725,21.9100005,Bearish,-14
2021-02-15,21.500000,21.540001,20.400000,20.459999,21.165,21.19,20.3375,21.9100005,Neutral,-13
2021-02-08,21.200001,22.160000,20.480000,21.469999,20.8450005,21.19,20.3025,21.9100005,Neutral,-12
2021-02-01,21.200001,22.010000,20.790001,21.070000,20.54,21.19,20.3025,21.9100005,Neutral,-11
2021-01-25,20.879999,21.480000,20.389999,21.070000,19.74,21.19,19.86499975,21.9100005,Neutral,-10
2021-01-18,20.590000,21.090000,20.430000,20.670000,19.7249995,21.19,21.3775,21.9100005,Bearish,-9
2021-01-11,20.990000,21.469999,20.170000,20.450001,19.7249995,21.19,21.40250025,21.9100005,Bearish,-8
2021-01-04,20.930000,21.309999,20.370001,21.040001,19.7249995,21.19,21.40250025,21.9100005,Bearish,-7
2020-12-28,21.250000,21.270000,20.629999,20.780001,20.23,21.19,21.40250025,21.9100005,Bearish,-6
2020-12-21,20.840000,21.469999,20.600000,21.040001,20.23,21.19,21.43750025,21.9100005,Bearish,-5
2020-12-14,19.559999,21.330000,19.530001,21.240000,20.23,21.19,21.43750025,21.9100005,Bearish,-4
2020-12-07,19.219999,19.850000,19.070000,19.590000,20.23,21.19,21.3675,21.9100005,Bearish,-3
2020-11-30,18.200001,19.290001,18.000000,19.270000,20.23,21.19,21.33000025,21.9100005,Bearish,-2
