Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,151.100006,152.619995,147.630005,149.470001,133.4449995,123.095001,106.637499,87.404999,Bullish,+6
2022-03-28,155.559998,156.289993,144.550003,150.500000,128.380001,123.095001,106.637499,87.404999,Bullish,+5
2022-03-21,137.869995,157.690002,137.869995,157.619995,123.095001,123.095001,106.637499,86.5049995,Bullish,+4
2022-03-14,135.529999,140.779999,128.679993,136.160004,114.6399995,114.6399995,103.06249825,86.4299985,Bullish,+3
2022-03-07,137.660004,138.720001,125.599998,135.250000,114.375,114.375,103.06249825,86.4299985,Bullish,+2
2022-02-28,128.820007,140.250000,128.199997,138.720001,114.375,114.375,102.06249825,86.4299985,Bullish,+1
2022-02-21,122.730003,130.500000,112.180000,130.050003,109.5,109.5,101.1974985,86.4299985,Bullish,+0
2022-02-14,119.000000,124.389999,116.519997,122.930000,107.584999,107.584999,100.83249875,86.4299985,Bullish,-3
2022-02-07,112.820000,123.360001,109.199997,118.410004,107.584999,107.584999,100.35249925,86.4299985,Bullish,-2
2022-01-31,99.379997,114.989998,99.070000,111.260002,107.584999,108.654999,90.567501,77.51,Bullish,-1
2022-01-24,90.239998,100.580002,88.500000,99.790001,107.584999,108.654999,89.4275005,76.42,Bullish,-0
2022-01-17,108.440002,108.919998,92.889999,93.050003,109.7799985,110.8499985,89.3975,76.305,Bullish,+72
2022-01-10,114.000000,116.169998,107.419998,110.820000,115.0200005,108.2599985,90.38,75.6949995,Bullish,+71
2022-01-03,114.889999,126.669998,112.389999,114.440002,115.0200005,108.2599985,90.38,75.2250005,Bullish,+70
2021-12-27,114.720001,116.980003,112.510002,114.150002,112.7150005,108.2599985,88.187501,74.7399995,Bullish,+69
2021-12-20,115.540001,116.730003,110.150002,114.300003,112.1399995,108.2599985,86.9800005,74.7399995,Bullish,+68
2021-12-13,114.000000,121.040001,103.370003,118.000000,110.029999,108.2599985,86.36999975,74.7399995,Bullish,+67
2021-12-06,112.129997,115.570000,109.349998,113.209999,110.029999,108.2599985,86.36999975,74.7399995,Bullish,+66
2021-11-29,115.379997,117.000000,104.620003,110.500000,108.07,108.2599985,86.36999975,74.7399995,Bullish,+65
2021-11-22,113.769997,122.059998,109.250000,113.980003,107.9300005,108.2599985,84.83500025,73.205,Bullish,+64
2021-11-15,111.400002,114.309998,108.519997,112.849998,106.325001,108.2599985,82.66500025,73.205,Bullish,+63
2021-11-08,118.070000,119.320000,109.629997,112.239998,106.325001,108.2599985,80.70500075,71.2450005,Bullish,+62
2021-11-01,112.870003,115.570000,106.220001,112.199997,104.8050005,108.2599985,77.37499925,67.535,Bullish,+61
2021-10-25,103.139999,114.889999,102.220001,111.650002,108.370003,105.8400005,68.38000125,59.665001,Bullish,+60
2021-10-18,99.470001,106.550003,98.000000,102.330002,109.6450005,103.4249995,67.380001,59.255001,Bullish,+59
2021-10-11,99.949997,104.389999,98.349998,101.779999,109.6450005,102.204998,66.9000015,59.040001,Bullish,+58
2021-10-04,98.000000,100.820000,94.080002,97.970001,111.07,102.204998,66.2125015,58.7400015,Bullish,+57
2021-09-27,100.639999,104.620003,93.800003,97.650002,111.07,102.204998,64.89500125,58.7400015,Bullish,+56
2021-09-20,97.820000,102.870003,93.330002,100.919998,111.07,102.204998,62.704998,55.749998,Bullish,+55
2021-09-13,113.330002,113.650002,104.040001,104.889999,108.2599985,97.864998,59.1075,50.305,Bullish,+54
2021-09-06,114.000000,116.279999,111.320000,112.250000,108.2599985,97.864998,58.0375005,48.8050015,Bullish,+53
2021-08-30,121.110001,123.410004,113.349998,114.050003,108.2599985,95.864998,54.7374995,45.5050005,Bullish,+52
2021-08-23,118.089996,125.959999,117.260002,119.849998,108.2599985,94.1349985,54.7374995,45.5050005,Bullish,+51
2021-08-16,124.070000,124.519997,115.699997,116.419998,108.2599985,93.404999,52.262499,43.03,Bullish,+50
2021-08-09,103.669998,128.809998,103.449997,126.169998,108.2599985,92.445,52.2574995,43.0250005,Bullish,+49
2021-08-02,104.699997,106.739998,101.370003,104.309998,98.9850005,82.1500015,52.2574995,43.0250005,Bullish,+48
2021-07-26,94.849998,104.970001,94.699997,104.019997,99.34,79.515001,51.7124995,43.0250005,Bullish,+47
2021-07-19,89.809998,95.190002,87.709999,94.330002,99.34,79.455,52.6149995,43.0250005,Bullish,+46
2021-07-12,96.010002,98.800003,91.639999,92.040001,101.305,79.455,52.30999925,43.0250005,Bullish,+45
2021-07-05,96.209999,97.519997,91.639999,97.169998,101.305,79.455,51.02250025,42.6400005,Bullish,+44
2021-06-28,96.949997,97.349998,94.250000,96.519997,96.920002,79.455,50.1025,42.5150005,Bullish,+43
2021-06-21,94.489998,99.379997,93.940002,96.690002,94.505001,79.455,49.8774995,42.5150005,Bullish,+42
2021-06-14,106.010002,106.339996,92.720001,93.019997,93.2849995,79.455,49.8774995,42.5150005,Bullish,+41
2021-06-07,108.370003,110.260002,105.510002,106.589996,93.2849995,79.455,49.8774995,42.5150005,Bullish,+40
2021-05-31,105.000000,110.970001,102.739998,108.779999,93.2849995,79.455,49.6274995,43.115001,Bullish,+39
2021-05-24,102.010002,104.220001,99.660004,102.540001,91.75,77.9200005,48.92749975,43.115001,Bullish,+38
2021-05-17,102.000000,107.900002,97.349998,102.129997,87.41,77.9200005,48.01000025,43.115001,Bullish,+37
2021-05-10,100.400002,103.980003,94.860001,102.510002,85.4500005,75.960001,47.09000025,43.115001,Bullish,+36
2021-05-03,83.129997,99.320000,82.870003,98.760002,81.119999,73.6299995,45.30000025,43.115001,Bullish,+35
2021-04-26,78.309998,83.580002,78.040001,82.260002,71.5200005,65.240002,45.30000025,43.115001,Bullish,+34
2021-04-19,79.150002,80.480003,75.599998,77.830002,70.380001,64.380001,45.30000025,43.115001,Bullish,+33
