Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,23.770000,24.100000,23.580000,23.780001,23.7650005,23.5550005,23.1575005,23.33,Bullish,+5
2021-11-11,23.770000,23.830000,23.469999,23.570000,23.6949995,23.5550005,23.17000025,23.33,Bullish,+4
2021-11-10,23.639999,23.840000,23.370001,23.490000,23.5550005,23.5550005,23.17000025,23.33,Bullish,+3
2021-11-09,23.889999,24.230000,23.340000,23.700001,23.5550005,23.5550005,22.86000025,23.33,Bullish,+2
2021-11-08,24.530001,24.680000,23.879999,23.950001,23.5550005,23.5550005,22.77,23.33,Bullish,+1
2021-11-05,23.549999,24.750000,23.520000,24.260000,23.5550005,23.5550005,22.6400005,23.33,Bullish,+0
2021-11-04,22.980000,23.400000,22.850000,23.389999,23.495,23.495,22.6400005,23.33,Bullish,-4
2021-11-03,23.070000,23.230000,22.780001,22.920000,23.495,23.495,22.6400005,23.33,Neutral,-3
2021-11-02,23.240000,23.299999,23.010000,23.139999,23.495,23.495,22.625,23.33,Neutral,-2
2021-11-01,22.690001,23.379999,22.639999,23.350000,23.495,23.495,22.625,23.33,Bullish,-1
2021-10-29,22.700001,22.820000,22.360001,22.559999,23.495,23.495,22.42,23.33,Neutral,-0
2021-10-28,22.670000,23.100000,22.520000,22.809999,23.544999,23.544999,21.86749975,23.33,Neutral,+25
2021-10-27,23.969999,23.969999,22.459999,22.459999,23.544999,23.2699995,21.84250025,23.33,Neutral,+24
2021-10-26,24.500000,24.500000,24.000000,24.000000,24.165,23.089999,21.84250025,23.33,Bullish,+23
2021-10-25,24.459999,24.629999,24.290001,24.450001,24.165,22.83,21.95749925,23.33,Bullish,+22
2021-10-22,24.059999,24.440001,24.059999,24.360001,24.070001,22.735001,21.9649995,23.33,Bullish,+21
2021-10-21,24.160000,24.350000,23.920000,24.070000,24.030001,22.695001,22.08499925,23.33,Bullish,+20
2021-10-20,24.030001,24.190001,23.850000,24.190001,24.030001,22.695001,22.1525,23.33,Bullish,+19
2021-10-19,24.000000,24.100000,23.879999,23.969999,23.9700005,22.695001,22.6275,23.33,Bullish,+18
2021-10-18,24.020000,24.040001,23.700001,23.870001,23.7700005,22.695001,22.6275,23.33,Bullish,+17
2021-10-15,24.250000,24.360001,24.059999,24.120001,23.7700005,22.695001,22.6275,23.33,Bullish,+16
2021-10-14,24.059999,24.219999,23.879999,24.160000,23.7,22.6400005,22.6275,23.33,Bullish,+15
2021-10-13,24.080000,24.219999,23.820000,23.850000,23.7,22.6400005,22.70499975,23.33,Bullish,+14
2021-10-12,23.870001,24.240000,23.750000,23.990000,23.7,22.6400005,22.70499975,23.33,Bullish,+13
2021-10-11,23.850000,24.170000,23.809999,23.870001,23.7,22.6400005,22.6875,23.33,Bullish,+12
2021-10-08,23.870001,24.250000,23.830000,23.930000,23.7,22.6400005,22.53749975,23.33,Bullish,+11
2021-10-07,23.580000,23.930000,23.580000,23.790001,23.6750005,22.6400005,22.4775,23.33,Bullish,+10
2021-10-06,23.410000,23.600000,23.180000,23.340000,23.7,22.6400005,22.48749975,23.33,Bullish,+9
2021-10-05,23.450001,23.879999,23.379999,23.590000,23.7,22.6400005,22.59499975,23.33,Bullish,+8
2021-10-04,23.549999,23.680000,23.150000,23.299999,23.08,22.6400005,22.71999975,23.33,Neutral,+7
2021-10-01,23.340000,23.670000,23.209999,23.580000,22.8999995,22.6400005,22.71999975,23.33,Bullish,+6
2021-09-30,23.700001,23.700001,23.150000,23.230000,22.6400005,22.6400005,22.78499975,23.33,Neutral,+5
2021-09-29,23.910000,23.930000,23.510000,23.570000,22.6400005,22.6400005,22.78499975,23.33,Bullish,+4
2021-09-28,23.879999,24.110001,23.670000,23.760000,22.6400005,22.6400005,22.8174995,23.33,Bullish,+3
2021-09-27,24.070000,24.200001,23.820000,24.010000,22.6400005,22.6099995,22.98,23.455,Bullish,+2
2021-09-24,23.580000,24.250000,23.549999,24.139999,22.6400005,22.6099995,23.625,23.625,Bullish,+1
2021-09-23,23.309999,23.840000,23.209999,23.719999,22.4350005,22.4049995,23.9800005,23.9800005,Bearish,+0
2021-09-22,21.910000,22.719999,21.910000,22.530001,21.875,21.8599995,24.030001,23.990001,Bearish,-25
2021-09-21,21.639999,22.059999,21.549999,21.709999,21.575001,22.1099995,24.10500075,23.990001,Bearish,-24
2021-09-20,21.400000,21.410000,21.030001,21.330000,21.575001,22.1099995,24.12750075,23.990001,Bearish,-23
2021-09-17,21.940001,22.010000,21.610001,21.730000,21.674999,22.2399995,24.12750075,24.200001,Bearish,-22
2021-09-16,21.500000,22.120001,21.500000,22.000000,21.6899995,22.2399995,24.12750075,24.25,Bearish,-21
2021-09-15,21.330000,21.639999,21.129999,21.570000,21.8649995,22.304999,24.12750075,24.25,Bearish,-20
2021-09-14,21.500000,21.639999,21.290001,21.410000,21.925,22.38,24.12750075,24.25,Bearish,-19
2021-09-13,21.629999,21.740000,21.260000,21.430000,21.925,23.33,23.5175005,24.25,Bearish,-18
2021-09-10,21.660000,21.809999,21.420000,21.440001,21.925,23.33,23.5175005,24.25,Bearish,-17
