Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,58.419998,59.580002,57.799999,58.250000,65.025002,68.655003,76.6275005,73.710001,Bearish,-10
2021-11-11,56.990002,59.490002,56.669998,58.189999,65.420002,68.655003,76.6275005,73.710001,Bearish,-9
2021-11-10,58.439999,59.369999,55.650002,56.259998,65.420002,68.655003,76.642502,73.710001,Bearish,-8
2021-11-09,59.049999,60.290001,57.880001,59.000000,65.77,69.005001,76.5200025,73.710001,Bearish,-7
2021-11-08,62.080002,62.580002,58.320000,58.990002,65.77,69.005001,76.375002,73.710001,Bearish,-6
2021-11-05,61.029999,63.570000,60.580002,61.759998,66.549999,69.005001,76.29750075,73.710001,Bearish,-5
2021-11-04,69.349998,70.900002,56.349998,57.400002,66.549999,69.005001,76.29750075,73.710001,Bearish,-4
2021-11-03,72.410004,73.410004,70.400002,72.730003,73.674999,76.005001,75.75500125,73.710001,Bearish,-3
2021-11-02,74.239998,74.400002,71.949997,73.000000,74.469997,76.005001,75.00250075,73.710001,Bearish,-2
2021-11-01,72.150002,75.190002,71.440002,74.889999,75.954998,76.005001,74.552502,73.710001,Bullish,-1
2021-10-29,72.830002,74.349998,70.349998,71.599998,76.005001,76.005001,75.347502,73.710001,Bearish,-0
2021-10-28,73.050003,73.489998,71.599998,73.000000,76.630001,76.375,76.3225005,73.710001,Bearish,+7
2021-10-27,74.650002,74.900002,72.669998,72.809998,77.165001,76.160004,76.3850005,73.710001,Bearish,+6
2021-10-26,75.309998,76.750000,73.820000,74.190002,77.740002,75.870003,77.12750075,73.710001,Neutral,+5
2021-10-25,74.730003,75.059998,73.910004,74.300003,77.700001,75.870003,77.60500175,73.710001,Neutral,+4
2021-10-22,77.000000,77.000000,73.860001,74.629997,77.1050035,75.870003,77.60500175,73.710001,Neutral,+3
2021-10-21,77.970001,78.589996,76.839996,77.239998,76.8850025,75.870003,77.60500175,73.710001,Neutral,+2
2021-10-20,81.199997,81.559998,77.980003,78.190002,76.8850025,75.870003,77.860001,73.710001,Bullish,+1
2021-10-19,78.589996,81.660004,78.279999,81.339996,76.780003,75.870003,78.1750015,73.710001,Bullish,+0
