Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,53.200001,53.719898,51.970100,52.439999,50.3500005,51.324999,45.43500075,42.3436625,Bullish,+37
2022-03-28,52.529999,54.080002,52.500000,52.740002,50.3500005,51.324999,45.29500025,42.3436625,Bullish,+36
2022-03-21,54.240002,55.299999,52.160000,52.779999,50.3500005,51.324999,45.21749975,42.3436625,Bullish,+35
2022-03-14,50.720001,55.000000,50.389999,54.509998,50.200001,51.324999,44.6625005,42.3436625,Bullish,+34
2022-03-07,48.250000,50.900002,46.470001,50.270000,51.415001,51.324999,44.5525,42.3436625,Bullish,+33
2022-02-28,46.820000,48.770000,45.439999,48.650002,51.9750005,51.324999,44.245001,42.3436625,Bullish,+32
2022-02-21,47.540001,48.310001,45.400002,47.720001,52.6000005,51.324999,43.99500025,42.3436625,Bullish,+31
2022-02-14,49.820000,50.779999,48.200001,48.529999,54.955,51.324999,43.97500075,42.3436625,Bullish,+30
2022-02-07,53.299999,53.580002,49.689999,50.779999,55.699999,51.324999,42.3000005,40.698662,Bullish,+29
2022-01-31,54.000000,54.139999,52.389999,53.000000,55.7649995,51.324999,40.89000075,39.3436625,Bullish,+28
2022-01-24,51.750000,54.669998,49.820000,54.330002,55.7649995,51.324999,39.83000125,38.283663,Bullish,+27
2022-01-17,54.500000,54.869999,52.459999,52.790001,56.004999,51.324999,38.87500125,37.953663,Bullish,+26
2022-01-10,55.709999,57.430000,54.509998,54.950001,55.299999,50.6949995,38.4125005,37.953663,Bullish,+25
2022-01-03,58.500000,58.549999,53.939999,55.720001,54.4300005,50.619999,38.4125005,37.9157125,Bullish,+24
2021-12-27,58.849998,59.799999,57.070000,59.049999,52.379999,50.3199995,38.375,37.2420885,Bullish,+23
2021-12-20,60.599998,61.709999,57.160000,58.709999,52.1399995,50.2649995,38.375,36.8151435,Bullish,+22
2021-12-13,53.439999,61.430000,53.439999,59.480000,51.2350005,50.125,38.375,36.5352575,Bullish,+21
2021-12-06,53.779999,53.889999,50.400002,52.779999,48.32,47.200001,38.11000075,36.5352575,Bullish,+20
2021-11-29,55.150002,55.700001,51.860001,54.270000,48.32,47.0900005,38.32250025,36.5352575,Bullish,+19
2021-11-22,50.950001,54.939999,50.299999,54.000000,47.939999,46.7099995,38.32250025,36.5352575,Bullish,+18
2021-11-15,49.730000,52.840000,48.889999,50.799999,46.8899995,45.66,38.19500075,36.5352575,Bullish,+17
2021-11-08,48.610001,50.500000,47.150002,49.730000,45.7199995,45.1700005,38.1225005,36.5352575,Bullish,+16
2021-11-01,44.139999,48.810001,43.049999,48.610001,44.875,45.1700005,37.96500125,36.5352575,Bullish,+15
2021-10-25,43.200001,43.830002,42.570000,43.740002,44.2199995,44.91,37.3875,36.5352575,Bullish,+14
2021-10-18,41.450001,43.189999,41.040001,43.160000,46.15,44.91,37.23433125,36.5352575,Bullish,+13
2021-10-11,42.450001,42.619999,40.939999,41.490002,46.4,44.91,36.991832,36.5352575,Bullish,+12
2021-10-04,42.930000,43.349998,41.689999,42.450001,46.775,44.0950015,36.519332,36.5352575,Bullish,+11
2021-09-27,43.919998,44.130001,41.700001,42.930000,46.780001,43.8099995,36.50183225,36.5352575,Bullish,+10
2021-09-20,43.389999,44.730000,43.389999,43.939999,46.625,43.8099995,36.71683125,36.269603,Bullish,+9
2021-09-13,45.740002,45.830002,43.310001,43.889999,45.7700005,43.5550005,36.71683125,34.765807,Bullish,+8
2021-09-06,46.990002,47.500000,45.509998,45.590000,45.695,43.41,36.77433225,34.765807,Bullish,+7
2021-08-30,46.200001,47.160000,45.419998,46.840000,45.3950005,43.0950015,36.77433225,34.765807,Bullish,+6
2021-08-23,50.290001,51.360001,46.529999,46.599998,45.3400005,42.65,36.77433225,34.765807,Bullish,+5
2021-08-16,48.230000,51.860001,47.509998,48.720001,45.3400005,42.610001,37.001832,34.765807,Bullish,+4
2021-08-09,45.110001,48.570000,45.110001,48.480000,43.6350005,40.9650005,37.9593315,34.765807,Bullish,+3
2021-08-02,43.299999,45.860001,43.250000,45.070000,42.1700005,39.610001,38.314332,34.765807,Bullish,+2
2021-07-26,41.619999,43.740002,41.389999,42.810001,41.110001,38.5500015,38.65183175,34.765807,Bullish,+1
2021-07-19,40.070000,41.830002,39.680000,41.680000,40.155001,37.5950015,38.751832,34.765807,Bullish,+0
2021-07-12,39.660000,40.349998,39.529999,40.349998,39.6000005,37.2250005,38.487344,34.765807,Bullish,-5
2021-07-05,39.480000,40.099998,38.930000,39.610001,39.6000005,37.2250005,38.46836875,34.765807,Bullish,-4
2021-06-28,39.009998,39.830002,38.820000,39.730000,39.5249995,37.2250005,37.82083625,34.765807,Bullish,-3
2021-06-21,38.880001,39.689999,38.880001,38.980000,39.5249995,37.2250005,37.38440325,34.765807,Bullish,-2
2021-06-14,40.029999,40.070000,38.700001,38.810001,39.5249995,37.2250005,37.24446025,34.765807,Bullish,-1
2021-06-07,39.080002,40.720001,38.480000,40.150002,38.710001,37.5100005,37.24446025,34.765807,Bullish,-0
2021-05-31,38.939999,39.500000,38.480000,39.150002,38.424999,38.2200015,36.40945925,33.930806,Bullish,+36
2021-05-24,40.080002,40.139999,38.599998,38.730000,38.424999,38.2200015,35.62381475,33.1451615,Bullish,+35
2021-05-17,40.070000,40.599998,39.430000,39.950001,38.17,38.2200015,35.62381475,33.1451615,Bullish,+34
2021-05-10,39.830002,40.320000,39.230000,40.020000,38.0249995,38.2200015,35.62381475,33.1451615,Bullish,+33
2021-05-03,39.040001,41.090000,37.959999,39.580002,37.710001,38.2200015,34.2765665,32.66129,Bullish,+32
2021-04-26,38.730000,39.000000,38.310001,38.650002,36.5549985,38.2200015,34.2765665,32.66129,Bullish,+31
2021-04-19,38.599998,39.669998,38.330002,38.660000,36.5149995,37.953663,34.50664225,32.66129,Bullish,+30
2021-04-12,36.480000,38.700001,36.330002,38.570000,36.030001,37.953663,34.50664225,32.66129,Bullish,+29
2021-04-05,36.439999,36.810001,35.759998,36.599998,35.085001,37.953663,34.50664225,32.66129,Bullish,+28
2021-03-29,36.029999,36.740002,35.900002,36.299999,35.0500015,37.953663,34.520874,32.66129,Bullish,+27
2021-03-22,35.480000,36.290001,35.250000,36.250000,35.4799995,37.953663,34.471064,32.66129,Bullish,+26
2021-03-15,35.009998,35.970001,34.959999,35.529999,35.4799995,37.953663,33.7357695,32.66129,Bullish,+25
2021-03-08,34.480000,35.139999,34.330002,34.939999,35.5950015,37.953663,33.51518075,32.66129,Bullish,+24
2021-03-01,33.590000,35.090000,33.439999,34.389999,35.5950015,37.953663,33.17836875,32.66129,Bullish,+23
2021-02-22,34.330002,34.369999,33.360001,33.490002,35.5950015,37.953663,32.96489625,32.66129,Bullish,+22
2021-02-15,34.849998,35.000000,34.400002,34.439999,36.050001,37.953663,32.82495325,32.66129,Bullish,+21
2021-02-08,34.959999,35.080002,34.279999,34.720001,37.965,37.953663,32.82495325,32.66129,Bullish,+20
2021-02-01,35.930000,36.189999,34.270000,34.919998,38.675001,37.953663,32.82495325,32.66129,Bullish,+19
2021-01-25,36.549999,37.599998,35.619999,35.900002,39.3500005,37.953663,32.82495325,32.66129,Bullish,+18
2021-01-18,36.759998,37.000000,36.150002,36.549999,39.550001,37.953663,33.05028475,33.6242875,Bullish,+17
2021-01-11,37.220001,37.830002,36.400002,36.700001,39.021025,37.953663,32.950664,33.7333955,Bullish,+16
2021-01-04,36.869999,37.529999,36.270000,37.130001,39.021025,37.9157125,32.950664,33.7333955,Bullish,+15
2020-12-28,37.360001,37.580002,36.290001,36.810001,38.399584,37.2420885,33.08112,34.150853,Bullish,+14
2020-12-21,37.279999,37.650002,36.599998,37.270000,37.953663,36.8151435,33.1309295,34.3643255,Bullish,+13
2020-12-14,41.619999,41.660000,37.310001,37.680000,37.953663,36.5352575,33.39421225,34.3643255,Bullish,+12
2020-12-07,40.660000,43.080002,40.369999,41.119999,37.953663,36.5352575,33.472485,34.3643255,Bullish,+11
2020-11-30,37.950001,41.410000,37.599998,40.340000,37.118662,35.7002565,33.56499,34.3643255,Bullish,+10
2020-11-23,37.029999,37.259998,36.020000,37.230000,36.3330175,34.914612,32.99810225,34.3643255,Bullish,+9
2020-11-16,35.920303,37.419998,34.962048,36.700001,36.3330175,34.914612,32.24620425,34.3643255,Bullish,+8
2020-11-09,39.715370,39.838711,35.332069,36.641365,36.3330175,34.914612,32.24620425,34.3643255,Bullish,+7
2020-11-02,34.089184,36.166985,33.719166,34.535103,34.8434545,33.7096785,32.24620425,34.3643255,Bullish,+6
2020-10-26,35.929790,36.166985,32.827324,33.662239,34.8434545,33.7096785,32.24620425,34.3643255,Neutral,+5
2020-10-19,36.451614,36.859585,35.132828,36.223907,35.303606,33.7096785,31.82163125,34.3643255,Bullish,+4
2020-10-12,34.819733,36.166985,34.544594,36.005692,35.303606,33.7096785,31.7196385,34.3643255,Bullish,+3
2020-10-05,34.658443,35.275143,34.184059,34.905125,35.303606,33.7096785,32.009013,34.3643255,Bullish,+2
2020-09-28,34.307400,35.189754,34.184059,34.516129,35.3320695,33.7096785,32.09203025,34.3643255,Bullish,+1
2020-09-21,34.506641,34.611008,33.567364,34.203037,35.498104,33.444024,32.53320675,34.3643255,Neutral,+0
2020-09-14,34.497154,35.616699,34.421253,34.753323,35.531311,31.940228,33.1499055,34.852941,Neutral,-29
2020-09-07,34.658443,34.772297,33.633778,34.222012,35.0901335,31.940228,33.6669825,35.370018,Neutral,-28
2020-08-31,35.901329,36.072105,34.032257,34.497154,34.4165095,31.940228,34.8671735,36.570209,Bearish,-27
2020-08-24,37.020874,37.039848,35.483871,35.967743,33.9895645,31.940228,34.8671735,36.570209,Neutral,-26
2020-08-17,36.091084,37.001900,36.005692,36.888046,33.7096785,31.940228,35.96537025,37.253321,Neutral,-25
2020-08-10,36.574951,36.679317,35.740040,36.110058,33.7096785,31.940228,36.1788425,37.253321,Bearish,-24
2020-08-03,36.631878,37.096775,36.138519,36.480076,33.7096785,31.940228,36.19544625,37.253321,Neutral,-23
2020-07-27,35.445919,37.428844,35.322582,36.508537,33.7096785,31.940228,36.19544625,37.253321,Neutral,-22
2020-07-20,35.569260,37.400379,34.459202,35.730549,33.695446,32.4051235,36.93785575,37.253321,Bearish,-21
2020-07-13,32.950665,34.468693,32.751423,34.392788,33.240038,32.66129,36.77182225,37.253321,Bearish,-20
2020-07-06,33.159393,33.197342,31.404175,32.096775,33.240038,32.66129,36.32115775,37.253321,Bearish,-19
2020-06-29,30.796965,33.064514,30.550285,32.741936,33.50095,32.66129,36.52751475,37.253321,Bearish,-18
2020-06-22,31.622391,31.650854,29.990513,30.398481,33.600569,32.66129,36.634251,37.253321,Bearish,-17
2020-06-15,31.593927,32.220116,31.043644,31.707781,34.1271345,32.66129,36.59630025,37.253321,Bearish,-16
2020-06-08,33.965843,34.781784,31.356735,32.020874,34.28368,32.66129,36.3970595,37.253321,Bearish,-15
2020-06-01,33.681213,34.620495,33.121441,34.146111,34.46869,32.66129,36.26423175,37.253321,Bearish,-14
