Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,36.700001,37.000000,35.529999,35.730000,39.657501,43.1225015,47.070001,38.335,Bearish,-10
2022-03-28,35.480000,37.130001,34.660000,36.759998,39.657501,43.1225015,47.04750075,38.335,Bearish,-9
2022-03-21,37.480000,38.200001,36.029999,36.669998,40.4025,43.1225015,47.01749975,38.304999,Bearish,-8
2022-03-14,35.709999,38.389999,35.310001,37.590000,41.1675015,43.1225015,46.4000005,38.17,Bearish,-7
2022-03-07,36.820000,37.590000,33.755001,35.040001,41.977501,43.1225015,46.4000005,38.17,Bearish,-6
2022-02-28,41.840000,42.950001,36.680000,37.279999,43.4400005,44.585001,46.4000005,38.17,Bearish,-5
2022-02-21,43.250000,43.689999,39.380001,43.189999,44.790001,45.9350015,46.2625,38.1525005,Neutral,-4
2022-02-14,44.040001,45.365002,43.244999,43.419998,44.99,46.1350005,46.2,37.955,Neutral,-3
2022-02-07,42.529999,45.560001,42.529999,43.790001,44.99,46.1350005,45.87250075,37.82,Neutral,-2
2022-01-31,40.980000,43.220001,40.709999,42.500000,44.99,46.1350005,45.36250025,37.3099995,Neutral,-1
2022-01-24,43.320000,47.049999,39.779999,41.419998,44.99,46.1350005,44.7475005,36.5,Neutral,-0
2022-01-17,48.320000,48.580002,44.020000,44.419998,47.0025005,48.097502,44.6025,36.4274995,Neutral,+70
2022-01-10,48.860001,50.200001,47.279999,48.669998,47.3950005,47.785002,44.96749975,36.3149995,Bullish,+69
2022-01-03,46.480000,48.900002,46.480000,48.209999,47.3950005,47.785002,44.812499,36.3149995,Bullish,+68
2021-12-27,46.220001,47.110001,45.529999,46.389999,47.3950005,47.785002,44.60999975,36,Bullish,+67
2021-12-20,45.509998,46.689999,43.705002,46.160000,47.3950005,47.785002,43.732499,36,Bullish,+66
2021-12-13,47.490002,48.244999,45.020000,46.650002,48.1050015,47.785002,43.22000025,36,Bullish,+65
2021-12-06,46.259998,48.400002,46.000000,47.869999,48.1050015,47.785002,43.05249975,36,Bullish,+64
2021-11-29,48.189999,48.570000,43.720001,45.279999,48.1050015,47.785002,42.69250125,35.6400015,Bullish,+63
2021-11-22,48.500000,50.299999,46.400002,47.680000,49.1750015,47.785002,41.35624925,34.1799995,Bullish,+62
2021-11-15,50.330002,51.084999,47.505001,47.880001,49.1750015,47.785002,40.6275005,33.0575,Bullish,+61
2021-11-08,49.660000,50.439999,48.500000,50.180000,49.1750015,47.785002,40.4975005,32.2225,Bullish,+60
2021-11-01,46.830002,49.395000,46.825001,49.189999,48.860001,47.785002,39.68750025,30.575,Bullish,+59
2021-10-25,49.450001,50.165001,45.860001,46.450001,48.860001,47.785002,38.02475075,29.875001,Bullish,+58
2021-10-18,50.000000,52.490002,48.720001,49.189999,48.860001,46.045,37.36249975,29.3900005,Bullish,+57
2021-10-11,50.139999,50.814999,47.445000,50.180000,48.7150005,45.4250015,37.0350005,29.0600005,Bullish,+56
2021-10-04,49.939999,50.820000,48.740002,49.950001,48.7150005,45.4250015,37.0350005,28.8150005,Bullish,+55
2021-09-27,50.610001,52.200001,48.730000,49.910000,48.67,45.4250015,36.42000075,28.8150005,Bullish,+54
2021-09-20,46.820000,50.680000,46.310001,50.230000,48.639999,45.3950005,36.27500025,28.2950005,Bullish,+53
2021-09-13,47.790001,49.590000,47.395000,48.439999,47.6100005,45.1900005,36.20750075,27.9300005,Bullish,+52
2021-09-06,47.270000,48.009998,45.230000,47.320000,47.6100005,45.1900005,36.02250125,27.695001,Bullish,+51
2021-08-30,52.139999,52.139999,47.070000,47.380001,47.6100005,45.1900005,34.85000025,26.5225,Bullish,+50
2021-08-23,49.630001,52.105000,49.520000,51.950001,47.592501,44.932499,34.74749975,26.4199995,Bullish,+49
2021-08-16,51.189999,51.549999,48.380001,49.200001,47.530001,44.869999,34.40499975,26.4199995,Bullish,+48
2021-08-09,49.080002,51.980000,48.380001,51.810001,47.530001,44.2150005,34.16999925,26.4199995,Bullish,+47
2021-08-02,47.450001,49.895000,45.139999,49.400002,47.0200005,43.705,34.16999925,26.4199995,Bullish,+46
2021-07-26,46.490002,48.785000,46.220001,47.020000,47.0200005,42.4750005,33.4637495,26.4199995,Bullish,+45
2021-07-19,45.520000,47.730000,43.080002,46.509998,47.0200005,42.1849995,33.2787495,26.4199995,Bullish,+44
2021-07-12,48.250000,49.884998,46.560001,46.730000,47.75,42.1849995,32.3400005,25.6675005,Bullish,+43
