Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,654.669983,661.330017,635.390015,643.000000,652.174988,652.019989,630.3225095,620.095001,Bullish,+5
2021-11-11,676.609985,676.609985,656.179993,656.210022,652.174988,652.019989,629.487518,620.095001,Bullish,+4
2021-11-10,682.159973,686.059998,672.760010,677.250000,652.019989,652.019989,629.487518,620.095001,Bullish,+3
2021-11-09,675.489990,685.219971,670.599976,685.000000,651.5999755,651.5999755,628.125015,620.095001,Bullish,+2
2021-11-08,667.119995,675.030029,660.130005,674.580017,646.5050045,646.5050045,626.05500775,620.095001,Bullish,+1
2021-11-05,639.390015,665.979980,634.950012,665.140015,641.97998,641.97998,622.25500475,620.095001,Bullish,+0
2021-11-04,623.530029,630.030029,621.020020,629.179993,633.8299865,638.109985,621.73501575,620.095001,Bullish,-4
2021-11-03,626.469971,628.739990,618.289978,623.000000,636.9449765,638.109985,621.73501575,620.095001,Bullish,-3
2021-11-02,631.559998,636.270020,625.859985,629.750000,636.9449765,638.109985,621.73501575,620.095001,Bullish,-2
2021-11-01,624.090027,631.929993,623.929993,630.539978,636.9449765,638.109985,617.15499875,620.095001,Bullish,-1
2021-10-29,626.789978,630.510010,617.979980,623.820007,636.9449765,638.109985,614.65499875,620.095001,Bullish,-0
2021-10-28,627.960022,631.789978,624.489990,628.390015,640.1999815,640.1650085,610.86500525,620.095001,Bullish,+27
2021-10-27,645.619995,646.929993,628.619995,629.219971,642.264984,638.2850035,600.580017,620.730011,Bullish,+26
2021-10-26,637.570007,647.919983,635.710022,642.940002,642.36499,634.144989,598.6900025,620.730011,Bullish,+25
2021-10-25,645.380005,649.679993,632.469971,636.099976,639,628.794983,601.4525145,620.730011,Bullish,+24
2021-10-22,654.409973,655.909973,644.729980,648.229980,639,627.755005,601.4525145,620.730011,Bullish,+23
2021-10-21,640.809998,650.010010,639.820007,650.000000,636.215027,627.755005,603.70001225,621.6700135,Bullish,+22
2021-10-20,640.520020,648.359985,638.330017,643.349976,636.215027,627.755005,603.65750125,621.6700135,Bullish,+21
2021-10-19,645.409973,650.340027,638.869995,647.039978,640.1650085,627.755005,603.65750125,621.6700135,Bullish,+20
2021-10-18,633.630005,640.219971,628.820007,639.989990,640.1650085,627.755005,603.65750125,621.6700135,Bullish,+19
2021-10-15,641.969971,644.239990,639.260010,639.469971,640.1650085,626.764984,603.65750125,625.845001,Bullish,+18
2021-10-14,639.940002,639.940002,631.340027,635.739990,640.1650085,619.6350095,605.07247925,632.4299925,Bullish,+17
2021-10-13,630.690002,633.820007,622.090027,631.989990,640.1650085,619.6350095,610.887497,637.555023,Neutral,+16
2021-10-12,638.690002,642.340027,629.799988,631.229980,641.0100095,619.6350095,612.36749275,637.555023,Neutral,+15
2021-10-11,643.580017,648.440002,636.549988,637.140015,641.0100095,619.6350095,613.9049835,637.555023,Neutral,+14
2021-10-08,645.479980,649.500000,640.679993,644.059998,641.0100095,619.6350095,612.0350035,637.555023,Bullish,+13
2021-10-07,656.090027,658.239990,647.270020,648.030029,641.0100095,619.6350095,611.96499625,637.555023,Bullish,+12
2021-10-06,636.750000,651.630005,631.119995,650.590027,640.175018,618.800018,611.96499625,637.555023,Bullish,+11
2021-10-05,646.460022,651.450012,642.109985,645.280029,640.175018,618.800018,611.96499625,637.555023,Bullish,+10
2021-10-04,653.609985,653.609985,636.570007,644.010010,637.450012,618.800018,611.96499625,637.555023,Bullish,+9
2021-10-01,630.960022,656.570007,630.080017,652.929993,633.3099975,618.800018,612.20249925,637.555023,Bullish,+8
2021-09-30,636.419983,636.419983,623.780029,624.570007,626.8349915,617.675018,615.294998,637.555023,Neutral,+7
2021-09-29,644.119995,648.659973,633.770020,634.500000,625.7950135,617.675018,615.294998,637.555023,Neutral,+6
2021-09-28,649.440002,649.539978,631.190002,638.289978,625.7950135,617.675018,617.54249575,637.555023,Bullish,+5
2021-09-27,648.739990,654.320007,644.979980,648.820007,625.7950135,617.675018,617.55747975,637.570007,Bullish,+4
2021-09-24,634.880005,645.159973,630.809998,644.419983,621.2149965,613.095001,621.294983,640.925018,Bullish,+3
2021-09-23,632.500000,640.159973,629.739990,638.190002,618.7149965,610.595001,621.294983,640.925018,Neutral,+2
2021-09-22,618.799988,633.570007,618.330017,629.090027,614.4299925,607.300018,621.85499575,640.925018,Neutral,+1
2021-09-21,615.750000,620.130005,610.049988,613.750000,600.580017,600.580017,623.92250075,640.925018,Bearish,+0
2021-09-20,602.580017,616.349976,599.349976,614.859985,598.6900025,598.6900025,627.39250175,640.925018,Bearish,-51
2021-09-17,598.530029,612.869995,597.270020,609.940002,598.460022,604.445007,629.78500375,640.925018,Bearish,-50
2021-09-16,612.119995,613.770020,603.830017,604.599976,598.460022,604.445007,632.23748775,640.925018,Bearish,-49
2021-09-15,613.989990,615.890015,602.169983,612.960022,598.460022,608.9400025,632.707489,640.925018,Bearish,-48
2021-09-14,613.380005,615.080017,601.880005,614.000000,598.375,608.9400025,632.707489,640.925018,Bearish,-47
2021-09-13,606.859985,614.349976,601.250000,611.739990,598.375,608.9400025,632.707489,640.925018,Bearish,-46
2021-09-10,600.299988,608.159973,595.289978,599.559998,598.375,608.9400025,632.707489,640.925018,Bearish,-45
2021-09-09,584.570007,602.849976,581.030029,598.070007,598.375,608.9400025,636.64749125,637.155029,Bearish,-44
2021-09-08,591.950012,595.450012,583.859985,585.020020,599.789978,610.3549805,642.16499325,632.280029,Bearish,-43
2021-09-07,603.619995,604.989990,590.020020,590.940002,602.8699955,618.9049985,637.407501,632.280029,Bearish,-42
2021-09-03,607.580017,608.780029,597.809998,602.270020,604.689972,620.0450135,633.707504,632.280029,Bearish,-41
2021-09-02,610.099976,615.719971,608.390015,609.780029,604.689972,623.119995,632.937515,632.280029,Bearish,-40
2021-09-01,610.869995,614.820007,604.760010,609.500000,600.950012,623.119995,632.66500825,632.280029,Bearish,-39
2021-08-31,602.010010,610.789978,600.210022,607.469971,600.8099975,623.119995,632.700012,632.280029,Bearish,-38
2021-08-30,608.289978,610.520020,601.770020,603.570007,600.8099975,623.119995,633.05500775,632.280029,Bearish,-37
2021-08-27,594.359985,612.000000,594.359985,608.750000,600.8099975,623.119995,633.450012,632.280029,Bearish,-36
2021-08-26,604.429993,604.429993,593.659973,594.359985,600.8099975,623.119995,634.025009,632.280029,Bearish,-35
2021-08-25,608.880005,610.299988,602.219971,604.030029,601.2850035,623.119995,634.025009,632.280029,Bearish,-34
2021-08-24,607.820007,614.539978,606.489990,608.299988,607.470001,623.119995,634.025009,632.280029,Bearish,-33
2021-08-23,599.030029,605.979980,597.630005,603.070007,607.470001,623.119995,652.824997,632.280029,Bearish,-32
2021-08-20,588.000000,599.229980,587.080017,595.400024,611.9649965,623.119995,654.78001425,632.280029,Bearish,-31
2021-08-19,597.000000,602.520020,587.109985,589.469971,611.9799805,623.134979,656.53501875,632.280029,Bearish,-30
2021-08-18,603.150024,609.750000,596.409973,603.159973,616.099976,626.48999,656.53501875,632.280029,Bearish,-29
2021-08-17,597.190002,603.780029,595.349976,603.450012,616.099976,626.48999,656.53501875,632.280029,Bearish,-28
2021-08-16,601.969971,607.369995,597.590027,603.840027,617.2200015,626.48999,658.6225125,632.280029,Bearish,-27
2021-08-13,613.729980,615.489990,605.049988,605.969971,620.7200015,627.125,661.20751925,632.280029,Bearish,-26
2021-08-12,625.039978,627.859985,604.590027,614.369995,627.6600035,627.125,663.9100035,632.280029,Bearish,-25
2021-08-11,621.380005,626.780029,611.880005,624.049988,632.4450075,627.125,663.700012,632.280029,Bearish,-24
2021-08-10,631.659973,636.849976,620.250000,621.000000,637.3499755,627.125,661.3975065,632.280029,Bearish,-23
2021-08-09,626.000000,633.289978,618.890015,628.510010,637.3499755,628.0650025,657.350006,632.280029,Bearish,-22
2021-08-06,630.309998,636.320007,627.400024,629.109985,637.3499755,628.0650025,656.75500475,632.280029,Bearish,-21
2021-08-05,618.380005,630.130005,618.380005,624.549988,637.3499755,628.0650025,655.0700225,632.280029,Bearish,-20
2021-08-04,624.309998,628.500000,615.539978,616.109985,637.3499755,628.0650025,656.72001625,632.280029,Bearish,-19
2021-08-03,636.409973,636.409973,622.950012,631.960022,641.0549925,632.23999,653.25752225,632.280029,Bearish,-18
2021-08-02,648.849976,650.729980,634.679993,635.299988,646.919983,637.4100035,650.82002225,632.280029,Neutral,-17
2021-07-30,650.349976,653.010010,638.469971,641.090027,633.889984,640.925018,648.80500775,630.2650145,Neutral,-16
2021-07-29,653.859985,659.159973,648.539978,654.890015,626.48999,640.925018,646.53999325,628,Bullish,-15
2021-07-28,654.010010,656.080017,646.700012,648.520020,624.950012,640.925018,646.53999325,628,Bullish,-14
2021-07-27,646.950012,650.979980,643.679993,648.510010,624.4049985,640.925018,646.53999325,628,Bullish,-13
2021-07-26,647.489990,650.780029,642.750000,650.640015,624.475006,640.925018,647.657486,628,Bullish,-12
2021-07-23,654.989990,654.989990,645.559998,647.640015,625.1849975,640.925018,648.0099945,628,Neutral,-11
2021-07-22,645.679993,648.299988,640.580017,647.229980,625.975006,640.925018,645.097519,626.585022,Bullish,-10
2021-07-21,643.460022,651.280029,636.210022,648.849976,627.125,640.925018,642.9975125,624.4850155,Bullish,-9
2021-07-20,609.659973,638.630005,608.619995,636.679993,627.125,640.925018,642.9975125,624.4850155,Neutral,-8
2021-07-19,618.340027,618.340027,593.820007,607.659973,627.125,640.925018,640.09001125,624.4850155,Bearish,-7
2021-07-16,640.700012,643.280029,631.419983,633.580017,645.924988,659.725006,637.78750575,624.4850155,Neutral,-6
2021-07-15,639.250000,645.890015,634.390015,636.559998,648.3500065,661.210022,633.74000525,624.4850155,Bullish,-5
2021-07-14,650.640015,655.130005,644.869995,645.940002,650.105011,662.9650265,631.544998,622.8850095,Bullish,-4
2021-07-13,652.200012,656.549988,648.130005,648.559998,650.105011,662.9650265,628.86750775,622.8850095,Bullish,-3
2021-07-12,654.739990,658.130005,649.840027,653.659973,650.105011,662.9650265,627.0200195,621.1200255,Bullish,-2
2021-07-09,656.979980,660.429993,652.820007,660.059998,654.2799985,662.9650265,623.5575255,621.1200255,Bullish,-1
2021-07-08,644.469971,652.929993,637.900024,647.210022,659.450012,662.9650265,621.1200255,621.1200255,Bullish,-0
2021-07-07,653.510010,657.520020,647.309998,654.369995,663.9100035,663.9100035,613.605011,613.605011,Bullish,+27
2021-07-06,660.000000,660.000000,647.460022,656.429993,663.9100035,663.4900205,613.475006,613.475006,Bullish,+26
2021-07-02,661.539978,662.309998,654.280029,661.440002,663.9100035,658.8850095,599.54751575,604.7850035,Bullish,+25
2021-07-01,649.320007,659.520020,649.270020,658.979980,663.9100035,650.7900085,598.54251075,604.7850035,Bullish,+24
2021-06-30,645.030029,651.890015,639.789978,647.289978,663.9100035,649.600006,598.3650205,604.7850035,Bullish,+23
2021-06-29,659.520020,660.000000,643.760010,644.229980,665.8950195,644.2450255,598.00752225,604.7850035,Bullish,+22
2021-06-28,670.549988,670.659973,653.429993,656.299988,669.3600155,644.080017,599.37001025,604.7850035,Bullish,+21
2021-06-25,680.640015,681.000000,669.320007,673.219971,669.3600155,637.155029,600.16751075,604.7850035,Bullish,+20
2021-06-24,688.030029,688.030029,672.869995,679.989990,669.3600155,632.280029,,605.009979,,+19
2021-06-23,680.000000,684.000000,677.960022,682.630005,667.345001,630.2650145,,605.009979,,+18
2021-06-22,671.090027,679.130005,663.429993,679.000000,665.0799865,628,,605.009979,,+17
2021-06-21,660.630005,672.750000,658.619995,670.929993,665.0799865,628,,605.009979,,+16
2021-06-18,657.770020,660.200012,650.690002,654.929993,665.0799865,628,,605.009979,,+15
2021-06-17,665.950012,669.020020,655.159973,667.510010,667.314972,628,,607.5899965,,+14
2021-06-16,675.590027,679.469971,665.059998,665.219971,668.019989,628,,608.384979,,+13
2021-06-15,669.559998,676.640015,666.150024,676.500000,663.610016,626.585022,,608.384979,,+12
2021-06-14,660.270020,669.080017,660.270020,668.909973,661.5100095,624.4850155,,608.384979,,+11
2021-06-11,663.719971,665.619995,656.570007,661.940002,661.5100095,624.4850155,,608.384979,,+10
2021-06-10,668.390015,668.390015,657.250000,660.000000,655.695007,624.4850155,,608.384979,,+9
2021-06-09,669.049988,669.770020,662.289978,664.000000,651.089996,624.4850155,,608.384979,,+8
2021-06-08,663.419983,672.440002,663.419983,669.000000,642.994995,624.4850155,,608.384979,,+7
2021-06-07,664.710022,667.260010,660.280029,662.549988,640.2049865,622.8850095,,608.384979,,+6
2021-06-04,664.190002,669.239990,664.190002,665.299988,634.850006,622.8850095,,608.384979,,+5
2021-06-03,653.700012,662.000000,650.580017,660.750000,632.9200135,621.1200255,,608.384979,,+4
2021-06-02,658.109985,664.450012,657.119995,659.500000,625.9950255,621.1200255,,608.384979,,+3
2021-06-01,653.679993,665.710022,653.489990,659.969971,621.1200255,621.1200255,,608.384979,,+2
2021-05-28,648.669983,650.679993,638.950012,648.840027,613.605011,613.605011,,608.384979,,+1
2021-05-27,634.989990,650.419983,629.739990,649.500000,613.475006,613.475006,,608.384979,,+0
2021-05-26,615.380005,622.559998,613.549988,621.039978,599.5450135,599.550018,,608.384979,,-4
2021-05-25,615.979980,618.539978,611.169983,612.719971,597.5350035,599.550018,,617.389984,,-3
2021-05-24,605.909973,617.830017,600.460022,614.919983,597.180023,599.550018,,623.049988,,-2
2021-05-21,608.000000,609.570007,600.130005,601.000000,593.050018,602.9650265,,623.1900025,,-1
2021-05-20,587.719971,605.729980,586.280029,603.520020,595.550018,603.1900025,,623.1900025,,-0
2021-05-19,581.239990,588.289978,576.530029,587.630005,595.550018,604.7850035,,619.455017,,
2021-05-18,594.109985,596.219971,588.530029,590.510010,595.7749935,,,,,
2021-05-17,594.489990,598.929993,588.270020,596.450012,595.7749935,,,,,
