Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,73.040001,73.470001,72.334999,72.910004,68.005001,77.1399995,86.647499,71.8399985,Neutral,-12
2022-03-28,71.529999,73.690002,70.180000,73.559998,68.0200005,77.1399995,87.084999,71.8399985,Neutral,-11
2022-03-21,71.279999,72.000000,69.080002,71.599998,68.0200005,77.1399995,86.874998,71.8399985,Bearish,-10
2022-03-14,65.820000,71.949997,63.700001,71.809998,69.404999,77.1399995,85.0099985,71.6349985,Neutral,-9
2022-03-07,66.580002,67.959999,62.880001,65.470001,71.654999,78.4799995,85.0099985,71.6349985,Bearish,-8
2022-02-28,68.750000,70.629997,66.110001,66.480003,75.189999,78.7700005,85.0099985,71.6349985,Bearish,-7
2022-02-21,67.879997,69.970001,62.320000,69.889999,75.610001,79.404999,84.369997,71.579998,Bearish,-6
2022-02-14,66.769997,69.360001,65.000000,68.349998,76.950001,80.744999,81.4400005,68.7700005,Bearish,-5
2022-02-07,71.059998,72.940002,65.940002,66.419998,77.420002,81.215,81.06749925,68.5149995,Bearish,-4
2022-01-31,70.540001,73.720001,69.379997,70.470001,77.7400015,81.334999,81.06749925,68.5149995,Neutral,-3
2022-01-24,69.699997,72.730003,66.180000,70.260002,77.7400015,81.334999,78.7974985,65.459999,Neutral,-2
2022-01-17,74.349998,76.489998,70.570000,70.620003,80.1800005,83.529999,77.82000175,64.3950005,Neutral,-1
2022-01-10,77.980003,80.989998,74.709999,75.919998,82.25,85.5999985,77.000002,64.325001,Neutral,-0
2022-01-03,87.449997,88.059998,78.919998,79.139999,84.555,87.1299975,76.8100015,63.1050015,Bullish,+74
2021-12-27,86.570000,88.900002,86.570000,87.190002,86.9799995,87.1299975,76.6425,63.1050015,Bullish,+73
2021-12-20,83.739998,86.820000,82.000000,86.110001,86.9799995,87.1299975,77.06999975,63.1050015,Bullish,+72
2021-12-13,86.089996,88.599998,82.629997,85.430000,87.2299995,86.8899995,76.84250075,63.1050015,Bullish,+71
2021-12-06,84.430000,89.300003,82.500000,86.089996,86.1499975,86.654999,76.61750025,62.290001,Bullish,+70
2021-11-29,84.580002,88.209999,82.790001,83.769997,86.0750005,86.654999,76.2250015,62.290001,Bullish,+69
2021-11-22,88.830002,89.790001,82.940002,83.410004,86.0750005,86.654999,75.540001,61.870001,Bullish,+68
2021-11-15,86.980003,89.589996,86.750000,88.650002,86.0750005,86.654999,74.2875015,61.8100015,Bullish,+67
2021-11-08,87.660004,90.190002,84.919998,86.690002,87.4150005,85.0149995,73.76000125,60.380001,Bullish,+66
2021-11-01,87.410004,91.959999,85.459999,86.379997,87.7050015,84.954998,73.76000125,58.990002,Bullish,+65
2021-10-25,87.309998,88.139999,85.699997,87.370003,88.34,84.954998,71.31750125,58.2600015,Bullish,+64
2021-10-18,84.500000,88.629997,84.199997,87.120003,88.34,84.954998,70.9700005,58.2600015,Bullish,+63
2021-10-11,81.489998,85.379997,80.339996,84.930000,88.34,84.954998,70.9700005,57.9000015,Bullish,+62
2021-10-04,83.809998,83.809998,80.190002,81.930000,88.34,84.954998,70.9700005,57.870002,Bullish,+61
2021-09-27,87.449997,87.610001,81.940002,84.139999,89.215,84.954998,68.86499675,55.4399985,Bullish,+60
2021-09-20,89.050003,91.000000,87.540001,87.699997,88.794998,84.954998,66.9850015,52.7400015,Bullish,+59
2021-09-13,94.470001,94.639999,89.500000,90.589996,87.1299975,82.8899995,66.8825015,50.7400015,Bullish,+58
