Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,515.109985,521.200012,512.479980,520.820007,483.470001,459.6549985,404.967491,365.4799955,Bullish,+97
2022-03-28,514.320007,519.590027,507.299988,510.730011,482.6650085,452.1750185,401.59748825,365.4799955,Bullish,+96
2022-03-21,505.010010,516.530029,501.329987,513.030029,481.1350095,449.825012,406.4649885,365.4799955,Bullish,+95
2022-03-14,490.399994,510.679993,485.279999,506.119995,478.2099915,446.899994,406.35498775,360.5,Bullish,+94
2022-03-07,500.000000,500.000000,471.519989,482.869995,473.3349915,446.175003,404.2149885,360.5,Bullish,+93
2022-02-28,465.850006,499.660004,465.609985,498.649994,474.744995,446.175003,403.154991,360.5,Bullish,+92
2022-02-21,463.829987,475.779999,445.739990,475.750000,477.4850005,446.175003,398.04749275,360.5,Bullish,+91
2022-02-14,475.109985,481.730011,466.829987,467.809998,478.25,446.175003,393.07249425,360.5,Bullish,+90
2022-02-07,484.910004,500.929993,476.440002,478.130005,478.25,446.175003,389.31000525,357.810013,Bullish,+89
2022-01-31,465.000000,500.179993,462.750000,483.170013,478.25,446.175003,389.31000525,357.810013,Bullish,+88
2022-01-24,458.070007,468.679993,447.269989,466.059998,474.225006,446.175003,389.027504,357.810013,Bullish,+87
2022-01-17,465.170013,475.489990,458.350006,461.170013,472.6150055,446.175003,389.027504,357.810013,Bullish,+86
2022-01-10,456.000000,476.549988,454.440002,468.690002,472.6150055,446.175003,389.027504,357.810013,Bullish,+85
2022-01-03,500.000000,503.750000,455.549988,458.600006,472.6150055,446.175003,389.890007,357.810013,Bullish,+84
2021-12-27,498.679993,509.230011,496.640015,502.140015,472.6150055,446.175003,389.890007,356.5400085,Bullish,+83
2021-12-20,482.000000,498.149994,475.260010,495.380005,467.074997,440.6349945,389.890007,356.300003,Bullish,+82
2021-12-13,477.019989,496.959991,474.010010,487.119995,460.1799925,440.039993,389.890007,355.775009,Bullish,+81
