Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,212.669998,215.080002,212.000000,213.190002,211.7750015,199.959999,185.527504,188.32,Bullish,+16
2021-11-11,213.600006,216.490005,212.279999,213.289993,211.7750015,199.959999,185.55250175,194.6900025,Bullish,+15
2021-11-10,209.889999,212.949997,209.449997,211.639999,211.5650025,199.0350035,185.55250175,195.1900025,Bullish,+14
2021-11-09,209.589996,210.130005,208.009995,209.960007,211.5650025,198.935005,185.55250175,195.4300005,Bullish,+13
2021-11-08,208.759995,209.889999,207.270004,209.300003,212.269997,198.685005,186.90750125,196.7700045,Bullish,+12
2021-11-05,211.520004,211.710007,207.059998,208.220001,213.6500015,198.685005,188.49250025,198.3550035,Bullish,+11
2021-11-04,213.149994,213.529999,209.809998,210.720001,211.0400005,198.685005,189.9349975,198.415001,Bullish,+10
2021-11-03,208.800003,212.860001,207.389999,212.740005,209.4950025,198.685005,189.9349975,198.415001,Bullish,+9
2021-11-02,210.899994,210.899994,208.440002,209.139999,207.834999,198.685005,189.9349975,198.415001,Bullish,+8
2021-11-01,214.860001,214.860001,209.899994,210.899994,206.720001,198.685005,189.9349975,198.415001,Bullish,+7
2021-10-29,212.740005,216.070007,212.250000,213.470001,206.645004,198.685005,189.99999625,198.415001,Bullish,+6
2021-10-28,213.289993,214.039993,210.949997,213.899994,206.645004,198.685005,189.99999625,198.415001,Bullish,+5
2021-10-27,217.119995,217.479996,210.490005,212.210007,205.475006,198.685005,192.35499975,200.7700045,Bullish,+4
2021-10-26,214.009995,220.240005,213.660004,218.070007,203.75,198.685005,192.35499975,200.7700045,Bullish,+3
2021-10-25,203.020004,205.559998,201.839996,203.899994,193.114998,191.3450015,193.3899995,201.489998,Bullish,+2
2021-10-22,198.869995,204.160004,198.750000,203.809998,192.3950045,190.6450045,193.529999,201.489998,Bullish,+1
2021-10-21,195.610001,200.000000,195.429993,199.440002,190.3150025,188.5650025,193.71500025,201.489998,Neutral,+0
2021-10-20,194.809998,195.550003,193.199997,195.270004,187.644997,186.6900025,193.71500025,201.489998,Neutral,-29
2021-10-19,193.899994,194.910004,193.050003,193.789993,187.644997,186.6900025,193.71500025,201.489998,Neutral,-28
2021-10-18,193.470001,195.610001,193.070007,193.389999,186.7200015,186.6900025,193.71500025,201.489998,Bearish,-27
2021-10-15,191.960007,194.009995,190.710007,193.750000,185.82,186.6900025,193.71500025,201.489998,Neutral,-26
2021-10-14,187.639999,191.779999,187.259995,191.419998,184.455002,186.6900025,195.232502,201.625,Bearish,-25
2021-10-13,182.179993,184.929993,180.669998,184.059998,181.029999,186.6900025,195.232502,201.625,Bearish,-24
2021-10-12,182.020004,182.750000,180.630005,181.990005,182.185005,187.540001,194.78750225,201.625,Bearish,-23
2021-10-11,184.300003,184.320007,181.529999,181.740005,182.540001,187.82,194.78750225,201.625,Bearish,-22
2021-10-08,180.699997,184.500000,179.679993,183.490005,182.540001,188.1900025,194.2975005,201.625,Bearish,-21
2021-10-07,182.979996,184.020004,181.169998,181.600006,182.8650055,188.1900025,194.02250275,201.625,Bearish,-20
2021-10-06,178.399994,181.169998,177.830002,180.699997,182.915001,188.1900025,198.03750225,201.625,Bearish,-19
2021-10-05,178.479996,181.039993,177.630005,179.669998,182.915001,188.1900025,198.28750225,201.625,Bearish,-18
2021-10-04,180.500000,181.699997,177.130005,178.419998,182.915001,188.1900025,198.40750125,201.625,Bearish,-17
2021-10-01,182.889999,182.910004,178.830002,181.490005,184.7750015,189.040001,198.66000375,201.625,Bearish,-16
2021-09-30,185.250000,187.240005,182.000000,182.100006,186.3600005,190.625,198.66000375,201.625,Bearish,-15
2021-09-29,187.020004,187.949997,184.440002,184.740005,189.1849975,190.6849975,198.3150025,201.625,Bearish,-14
2021-09-28,186.679993,187.809998,186.100006,186.759995,189.1849975,190.6849975,198.23500075,201.625,Bearish,-13
2021-09-27,187.369995,188.600006,186.649994,186.839996,189.1849975,190.6849975,198.23500075,201.625,Bearish,-12
2021-09-24,186.500000,188.699997,185.800003,188.020004,189.1849975,190.6849975,198.23500075,201.8650055,Bearish,-11
2021-09-23,186.000000,187.839996,185.660004,186.789993,189.1849975,190.814995,197.85750575,201.8650055,Bearish,-10
2021-09-22,183.850006,187.309998,182.119995,185.300003,189.1849975,190.814995,197.61250675,201.8650055,Bearish,-9
2021-09-21,190.100006,190.720001,188.009995,189.729996,191.540001,193.1699985,197.0075035,201.8650055,Bearish,-8
2021-09-20,188.350006,189.580002,186.830002,189.389999,191.540001,193.1699985,196.9225045,202.435005,Bearish,-7
2021-09-17,192.559998,196.250000,189.669998,190.029999,193,193.779999,196.45500175,202.435005,Bearish,-6
2021-09-16,193.360001,194.210007,191.410004,192.970001,193.279999,193.779999,196.515003,202.590004,Bearish,-5
2021-09-15,191.600006,193.830002,190.850006,193.350006,193.6500015,193.779999,196.8600005,202.590004,Bearish,-4
2021-09-14,195.240005,195.880005,190.820007,191.009995,193.6500015,193.779999,197.4100035,202.590004,Bearish,-3
2021-09-13,194.710007,195.330002,192.600006,194.389999,193.6500015,193.779999,200.95500175,202.590004,Bearish,-2
2021-09-10,190.479996,193.690002,190.009995,193.259995,193.6500015,193.779999,201.20500175,202.590004,Bearish,-1
2021-09-09,193.229996,194.360001,188.050003,189.009995,193.6500015,193.779999,201.32500075,202.590004,Bearish,-0
2021-09-08,195.539993,195.539993,193.479996,194.570007,195.6600035,194.8050005,201.5700035,202.590004,Bearish,+1
2021-09-07,197.649994,197.949997,195.279999,195.559998,195.6600035,194.8050005,201.5700035,202.6700055,Bearish,+0
2021-09-03,197.210007,198.509995,196.929993,197.339996,195.6600035,193.915001,202.5399975,203.6399995,Bearish,-28
2021-09-02,196.910004,199.250000,196.559998,198.190002,195.6600035,193.915001,202.5399975,204.009995,Bearish,-27
2021-09-01,195.720001,197.289993,193.429993,196.399994,194.68,193.915001,202.5399975,204.009995,Bearish,-26
2021-08-31,194.699997,196.110001,192.899994,195.630005,194.1300045,193.915001,207.95499825,206.614998,Bearish,-25
2021-08-30,193.880005,195.610001,192.860001,194.009995,195.790001,200.2850035,207.94499975,206.614998,Bearish,-24
2021-08-27,192.320007,193.880005,192.139999,193.300003,195.790001,200.7850035,207.94499975,207.5299985,Bearish,-23
2021-08-26,193.389999,193.479996,192.070007,192.360001,195.790001,201.0250015,207.94499975,207.5299985,Bearish,-22
2021-08-25,193.119995,193.970001,192.210007,192.869995,195.8050005,201.515007,207.892498,207.5299985,Bearish,-21
2021-08-24,193.250000,194.679993,192.880005,193.270004,195.8050005,201.515007,207.99999625,207.5299985,Bearish,-20
2021-08-23,194.240005,195.330002,192.889999,193.000000,195.114998,201.515007,208.37999725,207.5299985,Bearish,-19
2021-08-20,192.449997,194.270004,192.100006,193.240005,194.9549945,201.515007,208.37999725,207.5299985,Bearish,-18
2021-08-19,193.630005,196.190002,192.500000,194.059998,194.9549945,201.515007,208.33249675,207.5299985,Bearish,-17
2021-08-18,197.020004,199.509995,194.699997,194.800003,194.9549945,201.515007,207.93499775,207.5299985,Bearish,-16
2021-08-17,195.690002,198.300003,194.550003,197.759995,194.2000045,201.515007,207.5149995,206.845001,Bearish,-15
2021-08-16,194.020004,197.320007,193.580002,197.070007,193.7100065,201.515007,207.1399995,204.6500015,Bearish,-14
2021-08-13,193.029999,194.899994,192.940002,193.979996,192.5,201.515007,207.00249875,197.1449965,Bearish,-13
2021-08-12,192.679993,194.559998,192.270004,193.639999,192.330002,201.515007,207.2874985,197.1449965,Bearish,-12
2021-08-11,191.309998,192.520004,190.720001,192.399994,191.2850035,201.625,206.58000175,197.1449965,Bearish,-11
2021-08-10,191.179993,192.119995,190.399994,190.610001,191.405006,201.625,206.64250175,197.1449965,Bearish,-10
2021-08-09,191.070007,192.160004,190.850006,190.979996,192.095001,201.625,205.42250075,197.1449965,Bearish,-9
2021-08-06,191.770004,193.949997,191.279999,192.600006,193.195007,201.625,203.9925005,197.1449965,Bearish,-8
2021-08-05,191.449997,192.300003,190.100006,190.419998,200.2850035,201.625,203.942501,197.1449965,Bearish,-7
2021-08-04,192.919998,193.800003,190.580002,190.789993,200.7850035,201.625,203.6100005,197.1449965,Bearish,-6
2021-08-03,191.250000,194.250000,190.570007,194.149994,201.0250015,201.625,203.6100005,197.1449965,Bearish,-5
2021-08-02,192.350006,193.729996,191.039993,191.940002,201.515007,201.625,203.6100005,197.1449965,Bearish,-4
2021-07-30,190.000000,192.639999,188.320007,191.360001,201.515007,201.625,203.56249975,197.1449965,Bearish,-3
2021-07-29,193.029999,194.490005,191.589996,191.809998,202.485001,202.594994,203.52000025,197.1449965,Bearish,-2
2021-07-28,195.089996,195.869995,190.509995,192.039993,202.485001,202.594994,204.40250025,197.1449965,Bearish,-1
2021-07-27,198.070007,198.070007,190.259995,195.190002,202.485001,202.594994,205.5,197.1449965,Bearish,-0
2021-07-26,211.199997,212.250000,209.350006,209.860001,210.6900025,205.219994,206.02750025,197.1449965,Bullish,+0
2021-07-23,212.990005,213.250000,210.940002,211.639999,210.6900025,205.199997,206.79249975,197.1449965,Bullish,-31
