Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2022-03-30,63.160000,63.290001,62.259998,62.830002,56.9349975,54.729998,56.05249975,49.460001,Bullish,+4
2022-03-28,62.560001,64.019997,61.860001,63.639999,56.779999,54.729998,56.93000025,49.460001,Bullish,+3
2022-03-21,59.660000,62.860001,58.889999,62.799999,55.9700015,54.15,56.93000025,49.460001,Bullish,+2
2022-03-14,58.880001,59.639999,57.110001,59.459999,54.6500015,52.83,56.93000025,49.460001,Bullish,+1
2022-03-07,55.980000,60.220001,55.139999,58.500000,54.6500015,52.83,56.93000025,49.460001,Bullish,+0
2022-02-28,53.299999,56.810001,52.759998,55.959999,52.9450015,51.869999,56.93000025,49.460001,Neutral,-16
2022-02-21,52.919998,54.250000,49.849998,54.200001,51.5700015,51.869999,56.92500025,49.460001,Neutral,-15
2022-02-14,50.910000,53.860001,50.000000,52.939999,51.040001,51.869999,56.9125005,49.460001,Neutral,-14
2022-02-07,50.110001,52.439999,50.099998,50.740002,51.040001,51.869999,57.00749975,49.460001,Neutral,-13
2022-01-31,51.180000,53.230000,49.540001,50.029999,51.040001,51.869999,56.49249925,49.460001,Neutral,-12
2022-01-24,51.889999,53.279999,49.080002,51.480000,50.0100005,53.2299995,55.94499975,48.924999,Neutral,-11
2022-01-17,52.840000,52.900002,50.709999,52.480000,50.0100005,53.2299995,55.51250075,47.6399995,Neutral,-10
2022-01-10,53.490002,53.650002,51.630001,52.930000,50.0100005,53.2649995,54.49249975,46.945,Neutral,-9
2022-01-03,51.340000,54.580002,50.910000,53.619999,50.2950005,53.2649995,54.23500075,46.8500005,Neutral,-8
2021-12-27,49.049999,51.689999,48.560001,51.119999,50.375,53.2649995,54.23500075,46.785,Neutral,-7
2021-12-20,48.279999,49.650002,47.500000,49.200001,50.5100005,53.2649995,54.23500075,46.785,Neutral,-6
2021-12-13,48.310001,49.950001,47.540001,49.500000,51.2199995,53.2649995,54.23500075,45.9699995,Neutral,-5
2021-12-06,47.759998,50.820000,47.669998,48.369999,51.2199995,53.2649995,53.57500075,45.3099995,Neutral,-4
2021-11-29,49.700001,49.750000,45.439999,47.160000,51.2199995,53.2649995,53.57500075,45.3099995,Neutral,-3
2021-11-22,50.060001,51.900002,48.869999,49.500000,52.9349995,54.9799995,53.0650005,45.1449985,Neutral,-2
2021-11-15,54.560001,54.560001,50.869999,51.349998,54.279999,55.9799995,53.0475005,45.1449985,Neutral,-1
2021-11-08,53.680000,55.150002,51.830002,54.560001,55.0650005,56.460001,53.15750025,43.6149985,Bullish,-0
2021-11-01,53.250000,55.310001,52.230000,53.980000,55.2649995,56.5650005,52.74999975,41.7399985,Bullish,+59
2021-10-25,55.060001,55.580002,53.299999,53.369999,55.539999,56.5650005,51.85249875,41.7399985,Bullish,+58
2021-10-18,55.619999,57.000000,54.980000,55.049999,55.539999,56.5650005,51.4825,41.7399985,Bullish,+57
2021-10-11,54.490002,56.560001,54.060001,55.970001,55.539999,56.5650005,50.9399995,41.7399985,Bullish,+56
2021-10-04,55.980000,56.650002,52.779999,54.580002,55.539999,56.5650005,50.424999,41.7399985,Bullish,+55
2021-09-27,55.630001,56.700001,54.919998,56.080002,57.295,56.5650005,50.0249995,41.1449995,Bullish,+54
2021-09-20,56.410000,57.689999,55.009998,55.380001,57.295,56.5650005,49.8575,39.789999,Bullish,+53
2021-09-13,56.720001,58.299999,56.470001,57.099998,57.33,56.5300005,49.8575,39.054999,Bullish,+52
2021-09-06,57.209999,57.209999,55.029999,56.189999,57.33,56.5300005,49.8575,35.724999,Bullish,+51
2021-08-30,55.209999,57.090000,54.799999,56.310001,57.33,56.5300005,49.057501,34.925,Bullish,+50
2021-08-23,54.759998,56.040001,53.770000,55.290001,57.33,56.5200005,49.057501,34.9800005,Bullish,+49
2021-08-16,56.790001,57.279999,53.570000,54.590000,57.33,56.495001,47.1575015,38.340001,Bullish,+48
2021-08-09,58.000000,58.189999,56.220001,57.090000,58.6049995,55.41,46.96250075,38.3650005,Bullish,+47
2021-08-02,60.020000,61.020000,58.009998,58.299999,58.6049995,54.379999,46.96250075,38.3650005,Bullish,+46
2021-07-26,59.770000,60.950001,59.130001,59.779999,58.3099995,53.58,46.69499975,38.3650005,Bullish,+45
2021-07-19,58.869999,61.090000,56.990002,59.849998,57.7800005,53.245001,46.1624995,38.3650005,Bullish,+44
2021-07-12,58.470001,59.939999,58.259998,59.619999,56.314999,52.6700005,46.29750075,38.3650005,Bullish,+43
2021-07-05,57.310001,58.669998,56.119999,58.639999,55.8950005,52.575001,45.54500125,38.3650005,Bullish,+42
2021-06-28,57.250000,58.169998,56.430000,57.270000,55.8950005,52.575001,44.62,38.3650005,Bullish,+41
2021-06-21,57.000000,59.520000,56.680000,58.310001,55.8950005,52.575001,44.262501,38.3650005,Bullish,+40
2021-06-14,58.330002,59.750000,56.540001,56.570000,55.8950005,52.575001,43.85500075,38.3650005,Bullish,+39
2021-06-07,56.889999,58.380001,56.650002,58.090000,55.2350005,51.915001,43.85500075,38.3650005,Bullish,+38
2021-05-31,55.770000,58.430000,55.529999,56.759998,55.2350005,51.915001,43.85500075,38.3650005,Bullish,+37
2021-05-24,54.630001,56.310001,54.470001,55.450001,54.380001,51.75,43.85500075,38.3650005,Bullish,+36
2021-05-17,54.490002,55.029999,52.689999,54.150002,54.345001,51.75,43.85500075,38.3650005,Bullish,+35
2021-05-10,54.970001,56.590000,52.040001,54.639999,54.5650005,51.75,42.99000025,38.3650005,Bullish,+34
