Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,418.869995,420.859985,412.880005,419.209991,420.405014,420.1500095,435.0949935,425.074997,Bearish,+7
2021-11-11,412.149994,416.970001,408.119995,416.880005,420.405014,420.1500095,436.1049955,424.270004,Bearish,+6
2021-11-10,411.140015,413.000000,406.019989,409.480011,420.405014,420.1500095,436.80249775,424.270004,Bearish,+5
2021-11-09,413.920013,418.910004,408.720001,414.109985,420.405014,420.1500095,436.80249775,421.680008,Bearish,+4
2021-11-08,405.679993,413.670013,399.670013,413.269989,420.405014,420.1500095,437.16249825,418.930008,Bearish,+3
2021-11-05,428.739990,432.429993,401.269989,403.779999,421.205002,420.1500095,444.50249475,418.930008,Bearish,+2
2021-11-04,435.329987,436.070007,426.019989,433.070007,422.4900055,420.1500095,444.50249475,418.930008,Neutral,+1
2021-11-03,438.649994,441.140015,429.500000,438.209991,422.4900055,420.1500095,444.50249475,418.930008,Neutral,+0
2021-11-02,428.750000,439.010010,422.549988,438.029999,421.425003,419.4649965,453.17749775,418.930008,Neutral,-25
2021-11-01,430.940002,430.940002,419.269989,426.739990,418.1799925,426.854996,453.17749775,418.930008,Neutral,-24
2021-10-29,421.000000,432.519989,417.649994,429.880005,418.1799925,428.875,453.16749575,418.930008,Neutral,-23
2021-10-28,420.149994,425.920013,403.839996,421.130005,414.1800075,429.3899995,454.182495,418.930008,Neutral,-22
2021-10-27,422.339996,425.670013,417.380005,421.339996,414.0550075,429.3899995,455.522499,418.930008,Neutral,-21
2021-10-26,421.820007,424.950012,416.190002,420.299988,413.695007,429.3899995,454.0875015,418.930008,Neutral,-20
2021-10-25,422.519989,422.519989,415.070007,417.429993,411.979996,429.3899995,452.18250275,418.930008,Bearish,-19
2021-10-22,421.190002,424.799988,419.170013,421.190002,411.979996,429.3899995,451.935005,418.930008,Neutral,-18
2021-10-21,416.790009,422.350006,412.920013,422.230011,411.154999,429.3899995,451.935005,417.770004,Neutral,-17
2021-10-20,420.420013,423.149994,413.109985,414.600006,411.154999,429.3899995,451.935005,417.2299955,Bearish,-16
2021-10-19,410.140015,422.920013,410.140015,417.570007,411.0400085,429.3899995,451.90499875,416.3350065,Neutral,-15
2021-10-18,402.950012,408.850006,402.440002,408.720001,410.9649965,430.6199955,453.0650025,416.3350065,Bearish,-14
2021-10-15,409.250000,409.250000,403.760010,404.809998,410.9649965,433.104996,453.0650025,416.3350065,Bearish,-13
2021-10-14,407.940002,410.170013,404.070007,407.429993,410.9649965,437.255005,449.3400115,413.87001,Bearish,-12
2021-10-13,405.309998,409.980011,399.160004,402.250000,412.080002,437.255005,443.89249425,411.3600005,Bearish,-11
2021-10-12,405.760010,408.359985,402.390015,403.200012,420.9799955,438.770004,443.66499325,411.3600005,Bearish,-10
2021-10-11,404.500000,412.890015,402.190002,403.570007,420.9799955,438.770004,436.112503,408.1950075,Bearish,-9
2021-10-08,419.179993,419.950012,406.799988,407.140015,422.5049895,440.294998,432.83750925,403.310013,Neutral,-8
2021-10-07,416.769989,422.769989,415.170013,417.720001,429.894989,440.294998,432.11250325,403.310013,Neutral,-7
2021-10-06,410.709991,413.779999,405.239990,413.290009,431.914993,440.294998,429.88499425,398.274994,Neutral,-6
2021-10-05,412.959991,420.109985,412.079987,413.480011,432.869995,440.7350005,427.92499525,397.2099915,Neutral,-5
2021-10-04,416.700012,417.260010,406.119995,409.820007,432.869995,440.7350005,425.89499675,396.324997,Neutral,-4
2021-10-01,425.000000,425.000000,406.839996,419.730011,433.2299955,441.095001,423.08499925,396.029999,Neutral,-3
2021-09-30,436.230011,439.769989,424.279999,424.540009,440.569992,448.4349975,421.1800005,395.6100005,Bullish,-2
2021-09-29,429.839996,435.459991,425.940002,432.410004,440.569992,448.4349975,420.93250275,393.875,Bullish,-1
2021-09-28,437.359985,437.359985,421.519989,427.429993,440.569992,448.4349975,420.70250675,389.970001,Bullish,-0
2021-09-27,453.730011,454.549988,440.679993,441.589996,449.869995,456.4850005,420.58251175,389.2400055,Bullish,+89
2021-09-24,454.679993,458.589996,451.679993,457.109985,449.869995,456.4850005,418.3274995,387.0149995,Bullish,+88
2021-09-23,452.420013,459.619995,448.410004,455.220001,449.849991,456.4850005,417.2774965,385.9649965,Bullish,+87
2021-09-22,450.000000,450.339996,440.119995,449.179993,452.3349915,456.0299985,416.4774935,385.1649935,Bullish,+86
2021-09-21,447.690002,451.480011,443.190002,448.119995,456.4850005,454.5599975,411.4775085,381.425003,Bullish,+85
2021-09-20,444.119995,449.899994,440.769989,444.649994,456.4850005,451.6900025,407.307503,379.7200015,Bullish,+84
2021-09-17,453.209991,455.459991,447.540009,448.619995,456.4850005,447.880005,407.080002,379.7200015,Bullish,+83
2021-09-16,452.750000,458.040009,448.429993,454.470001,456.4850005,447.3850095,402.30250575,379.7200015,Bullish,+82
2021-09-15,453.730011,458.839996,450.559998,452.489990,456.4850005,447.3850095,399.55751,379.225006,Bullish,+81
2021-09-14,444.899994,454.690002,443.480011,452.059998,456.4850005,447.3850095,398.56249975,379.225006,Bullish,+80
2021-09-13,461.179993,462.079987,437.619995,442.209991,456.4850005,447.324997,397.71250875,379.225006,Bullish,+79
2021-09-10,464.690002,467.049988,459.000000,459.029999,458.805008,447.324997,397.66749575,379.179993,Bullish,+78
2021-09-09,471.119995,475.350006,461.070007,461.239990,458.805008,447.324997,392.69250475,373.820007,Bullish,+77
2021-09-08,460.950012,470.420013,460.010010,468.470001,456.3400115,442.3400115,388.32749925,369.9099885,Bullish,+76
2021-09-07,463.459991,463.690002,457.000000,461.859985,452.8849945,434.899994,386.56750475,368.149994,Bullish,+75
2021-09-03,457.839996,465.399994,456.000000,464.380005,452.8849945,434.444992,383.45750425,365.0399935,Bullish,+74
2021-09-02,455.220001,459.850006,453.359985,459.000000,450.1100005,422.1150055,372.41249875,354.1899875,Bullish,+73
2021-09-01,449.670013,454.649994,442.260010,453.119995,448.505005,417.1700135,368.88249975,352.299988,Bullish,+72
2021-08-31,453.029999,456.640015,447.790009,451.619995,448.505005,415.7200015,368.88249975,352.299988,Bullish,+71
2021-08-30,447.170013,452.989990,447.170013,451.690002,446.6799925,413.089996,367.2774965,352.299988,Bullish,+70
2021-08-27,447.109985,449.519989,443.859985,446.959991,443.8049925,412.044998,365.10250075,350.1349945,Bullish,+69
2021-08-26,444.480011,447.859985,442.670013,446.700012,442.3349915,409.455002,364.6600035,350.1349945,Bullish,+68
2021-08-25,445.000000,446.179993,440.369995,444.519989,439.4649965,406.705002,365.5875015,350.1349945,Bullish,+67
2021-08-24,447.429993,447.790009,443.630005,445.880005,435.654999,406.705002,365.37750225,350.1349945,Bullish,+66
2021-08-23,450.899994,450.899994,445.959991,446.570007,435.1600035,406.705002,364.20999875,350.1349945,Bullish,+65
2021-08-20,446.390015,450.440002,444.260010,449.510010,434.9300075,406.475006,361.0175015,350.1349945,Bullish,+64
2021-08-19,440.839996,450.200012,440.839996,446.959991,434.8100125,406.355011,360.442497,350.1349945,Bullish,+63
2021-08-18,441.369995,445.750000,440.399994,442.220001,432.524994,404.130005,359.9950025,350.070007,Bullish,+62
2021-08-17,439.679993,443.649994,436.709991,441.850006,431.474991,403.080002,359.9950025,348.2400055,Bullish,+61
2021-08-16,435.040009,442.049988,433.769989,441.609985,430.674988,402.279999,359.079994,346.994995,Bullish,+60
2021-08-13,430.549988,434.570007,428.029999,434.279999,424.4150085,398.5400085,359.079994,346.994995,Bullish,+59
2021-08-12,421.299988,430.209991,420.410004,429.720001,417.779999,396.835007,358.170006,346.085007,Bullish,+58
2021-08-11,426.290009,426.290009,419.420013,422.809998,417.324997,396.835007,356.004997,343.919998,Bullish,+57
2021-08-10,430.929993,431.160004,424.799988,425.010010,407.7700045,396.835007,354.1950075,341.850006,Bullish,+56
2021-08-09,428.709991,430.170013,425.309998,429.010010,403.9350125,395.1800075,351.830002,340.285004,Bullish,+55
2021-08-06,422.630005,428.700012,419.299988,427.489990,402.4850005,394.639999,351.830002,338.149994,Bullish,+54
2021-08-05,428.369995,430.170013,420.109985,425.660004,401.6800075,393.74501,350.22499875,336.6399995,Bullish,+53
2021-08-04,421.790009,430.079987,419.959991,428.140015,401.6349945,393.699997,350.2149965,332.8450015,Bullish,+52
2021-08-03,414.440002,422.720001,414.260010,422.190002,395.3650055,390.020004,347.55750275,330.3600005,Bullish,+51
2021-08-02,412.339996,416.739990,404.399994,415.230011,389.625,387.0299985,346.94999725,330.104996,Bullish,+50
2021-07-30,406.720001,413.220001,403.489990,411.730011,387.8650055,385.270004,346.5699995,329.9349975,Bullish,+49
2021-07-29,385.500000,407.000000,384.380005,404.920013,384.755005,382.1600035,345.50250275,329.735001,Bullish,+48
2021-07-28,378.089996,385.299988,377.700012,384.010010,373.904999,370.9199985,342.31499475,328.3849945,Bullish,+47
2021-07-27,377.790009,379.429993,374.799988,378.380005,372.0149995,365.75,339.8699955,326.2449955,Bullish,+46
2021-07-26,379.459991,379.609985,373.190002,377.510010,372.0149995,365.75,339.3349915,325.7099915,Bullish,+45
2021-07-23,377.000000,381.519989,374.540009,381.070007,372.0149995,362.5399935,337.3174975,323.860001,Bullish,+44
2021-07-22,369.019989,375.000000,368.010010,373.980011,369.850006,360.3549955,336.729996,323.860001,Bullish,+43
2021-07-21,372.029999,374.130005,362.510010,367.950012,369.850006,359.470001,336.644997,323.860001,Bullish,+42
2021-07-20,371.970001,376.750000,371.519989,372.690002,372,359.175003,337.485001,323.860001,Bullish,+41
2021-07-19,371.850006,374.989990,368.929993,371.000000,372,358.7550045,337.485001,323.860001,Bullish,+40
2021-07-16,373.859985,375.880005,370.670013,373.660004,371.3999935,357.020004,337.485001,323.860001,Bullish,+39
2021-07-15,371.130005,374.190002,368.019989,371.959991,368.690002,353.345001,337.485001,323.860001,Bullish,+38
2021-07-14,374.000000,374.000000,370.220001,371.440002,368.1499935,352.7350005,337.797501,323.860001,Bullish,+37
2021-07-13,375.989990,376.890015,371.089996,372.649994,367.2550045,352.7350005,337.76500725,323.860001,Bullish,+36
2021-07-12,376.079987,377.190002,371.950012,375.989990,367.2550045,352.7350005,336.8500065,323.860001,Bullish,+35
2021-07-09,374.470001,375.190002,371.549988,374.190002,366.339996,351.819992,335.532509,323.860001,Bullish,+34
2021-07-08,369.750000,375.359985,366.809998,373.109985,366.339996,351.819992,335.0725025,323.860001,Bullish,+33
2021-07-07,370.790009,373.540009,368.739990,372.660004,365.430008,350.910004,335.057503,323.8450015,Bullish,+32
2021-07-06,365.609985,369.209991,365.609985,368.989990,363.264999,348.744995,334.557503,323.3450015,Bullish,+31
2021-07-02,363.079987,365.980011,360.190002,365.739990,361.26001,347.130005,334.330002,323.3450015,Bullish,+30
2021-07-01,359.260010,363.130005,359.109985,363.010010,357.255005,346.404999,332.8650055,322.300003,Bullish,+29
2021-06-30,360.000000,360.309998,357.320007,359.100006,357.255005,346.404999,328.6575015,319.160004,Bullish,+28
2021-06-29,362.940002,364.130005,359.809998,360.000000,354.0449985,346.404999,327.78249375,319.0399935,Bullish,+27
2021-06-28,360.380005,364.529999,359.619995,363.200012,354.024994,346.404999,325.88499475,319.0399935,Bullish,+26
2021-06-25,358.929993,361.239990,358.019989,360.059998,351.7649995,343.350006,325.32999425,319.0399935,Bullish,+25
2021-06-24,360.559998,361.779999,358.859985,359.540009,351.4700015,342.429993,,319.0399935,,+24
2021-06-23,359.649994,361.440002,358.679993,358.700012,350.8800045,342.2599945,,319.0399935,,+23
2021-06-22,357.200012,361.040009,356.540009,360.089996,348.9450075,342.059998,,319.0399935,,+22
2021-06-21,354.200012,358.339996,349.980011,357.589996,343.919998,340.7099915,,319.0399935,,+21
2021-06-18,350.100006,354.059998,350.100006,352.290009,341.1699985,338.5699925,,319.0399935,,+20
2021-06-17,343.850006,352.989990,343.559998,352.029999,340.6349945,338.0349885,,319.0399935,,+19
2021-06-16,345.970001,348.619995,343.519989,346.109985,338.449997,336.184998,,317.4899905,,+18
2021-06-15,346.269989,346.269989,341.750000,344.839996,337.274994,336.184998,,316.6349945,,+17
2021-06-14,345.929993,345.929993,341.160004,345.140015,337.104996,336.184998,,316.6349945,,+16
2021-06-11,342.820007,345.420013,340.320007,345.329987,338.785004,336.184998,,316.6349945,,+15
