Date,Open,High,Low,Close,Tenkansen,Kijunsen,SenkouSpanA,SenkouSpanB,CloudDirection,KijunArrowDirection
2021-11-12,133.199997,133.360001,131.429993,132.380005,139.5,141.0550005,147.37749525,152.354996,Bearish,-10
2021-11-11,133.320007,134.190002,130.259995,132.690002,139.5,141.0550005,147.37749525,152.354996,Bearish,-9
2021-11-10,134.000000,136.029999,133.429993,133.869995,141.084999,142.6399995,148.00999875,152.354996,Bearish,-8
2021-11-09,136.979996,138.389999,133.789993,134.380005,141.264999,142.8199995,147.4999965,152.354996,Bearish,-7
2021-11-08,141.410004,141.990005,137.020004,137.580002,143.334999,144.270004,147.389996,152.354996,Bearish,-6
2021-11-05,142.259995,146.089996,139.869995,141.660004,144.1149975,144.270004,147.292496,152.354996,Bearish,-5
2021-11-04,144.990005,146.000000,136.690002,137.750000,144.270004,144.270004,147.292496,152.354996,Bearish,-4
2021-11-03,145.210007,148.740005,145.210007,148.740005,145.5450055,145.5450055,147.292496,152.354996,Neutral,-3
2021-11-02,145.889999,146.729996,144.509995,145.669998,145.5450055,145.8199995,147.292496,152.354996,Bearish,-2
2021-11-01,143.539993,147.179993,143.130005,145.789993,145.5450055,146.5,145.672497,152.354996,Neutral,-1
2021-10-29,143.009995,143.490005,139.240005,143.119995,145.5450055,146.5,145.6524965,152.354996,Bearish,-0
2021-10-28,146.089996,147.000000,144.929993,145.520004,147.3899995,147.614998,145.2649995,152.354996,Neutral,+23
2021-10-27,149.979996,149.979996,146.270004,146.309998,147.3899995,147.614998,145.2649995,152.354996,Neutral,+22
2021-10-26,151.539993,151.539993,149.779999,149.830002,147.3899995,147.614998,145.2649995,152.354996,Neutral,+21
2021-10-25,150.369995,151.850006,149.270004,151.029999,146.6600035,147.614998,145.2649995,152.354996,Neutral,+20
2021-10-22,150.750000,151.539993,149.919998,150.419998,146.5999985,147.614998,145.2649995,152.354996,Neutral,+19
2021-10-21,150.139999,151.729996,149.649994,150.809998,146.5999985,147.614998,145.824997,152.354996,Neutral,+18
2021-10-20,150.000000,151.259995,148.110001,150.130005,146.364998,147.614998,145.824997,152.354996,Neutral,+17
2021-10-19,143.500000,149.820007,143.500000,148.919998,145.669998,146.5349965,146.3499985,152.8799975,Neutral,+16
2021-10-18,145.190002,145.770004,142.929993,144.970001,145.669998,146.5349965,146.3499985,152.8799975,Bearish,+15
2021-10-15,146.850006,147.190002,145.770004,146.360001,145.669998,146.5349965,148.24250025,154.4800035,Bearish,+14
2021-10-14,144.070007,145.899994,143.860001,145.630005,145.75,146.5349965,148.79999925,155.2249985,Bearish,+13
2021-10-13,142.839996,143.130005,141.470001,142.770004,145.800003,146.5349965,151.37499625,155.2249985,Bearish,+12
2021-10-12,143.809998,144.429993,142.300003,142.809998,146.364998,146.5349965,151.459999,155.2249985,Bearish,+11
2021-10-11,146.369995,148.020004,143.759995,143.789993,146.904999,146.5349965,151.1799965,155.2249985,Bearish,+10
2021-10-08,147.649994,148.139999,146.399994,146.649994,147.5399935,146.5349965,150.7874985,155.2249985,Bearish,+9
2021-10-07,147.429993,149.869995,146.960007,147.740005,148.219994,146.5349965,150.70999925,155.2249985,Bearish,+8
2021-10-06,144.440002,146.610001,142.679993,146.339996,148.219994,146.5349965,150.70999925,155.2249985,Bearish,+7
2021-10-05,146.779999,149.009995,145.919998,146.009995,149.485001,146.5349965,150.70999925,155.2249985,Bearish,+6
2021-10-04,148.809998,150.029999,145.210007,146.729996,148.4649965,146.5349965,150.70999925,155.2249985,Bearish,+5
2021-10-01,147.490005,150.130005,147.009995,149.470001,148.2449955,146.5349965,150.70999925,155.2249985,Bearish,+4
2021-09-30,149.889999,150.429993,146.309998,146.360001,148.0499955,146.5349965,150.1175005,155.2249985,Bearish,+3
2021-09-29,150.470001,151.130005,148.820007,149.360001,148.0499955,146.5349965,149.86000075,155.2249985,Bearish,+2
2021-09-28,151.039993,152.399994,150.029999,150.850006,148.0499955,146.5349965,149.86000075,155.2249985,Neutral,+1
2021-09-27,150.619995,153.759995,150.350006,151.539993,148.0499955,146.5349965,150.0550005,155.2249985,Neutral,+0
2021-09-24,150.389999,151.729996,149.190002,151.229996,145.519997,145.824997,150.83750175,155.625,Neutral,-84
2021-09-23,145.940002,151.649994,145.539993,150.399994,145.479996,145.824997,150.83750175,155.625,Bearish,-83
2021-09-22,143.770004,146.970001,143.169998,145.699997,144.705002,145.824997,151.5550005,155.625,Bearish,-82
2021-09-21,145.550003,145.839996,142.729996,142.759995,144.705002,145.824997,151.955002,155.625,Bearish,-81
2021-09-20,145.039993,145.869995,142.339996,144.050003,144.705002,145.824997,154.529999,156.82,Bearish,-80
2021-09-17,145.509995,146.929993,144.350006,146.720001,144.705002,145.824997,154.529999,156.82,Bearish,-79
2021-09-16,146.710007,147.940002,145.419998,146.229996,144.705002,145.824997,154.529999,156.82,Bearish,-78
2021-09-15,147.729996,148.250000,144.789993,146.009995,145.824997,145.824997,156.0799945,158.3699955,Bearish,-77
2021-09-14,141.000000,150.100006,139.309998,147.679993,145.824997,145.824997,156.3449935,158.6349945,Bearish,-76
2021-09-13,140.889999,142.520004,140.500000,141.000000,146.3499985,146.3499985,156.3449935,158.6349945,Bearish,-75
2021-09-10,144.440002,144.759995,140.360001,140.440002,146.3499985,146.3499985,156.4249955,158.7149965,Bearish,-74
2021-09-09,147.369995,149.639999,144.270004,144.339996,148.305,148.1800005,157.71999725,159.659996,Bearish,-73
2021-09-08,146.300003,148.339996,145.300003,147.479996,148.619995,148.9800035,159.65499475,159.659996,Bearish,-72
2021-09-07,146.339996,147.300003,144.899994,146.619995,148.619995,154.1299975,158.04249575,159.659996,Bearish,-71
2021-09-03,148.880005,149.279999,146.009995,146.740005,148.7900005,154.1299975,157.464996,159.659996,Bearish,-70
2021-09-02,151.449997,152.339996,148.529999,149.089996,148.2299955,154.1299975,157.464996,159.659996,Bearish,-69
2021-09-01,150.759995,151.139999,149.559998,150.869995,147.4449995,154.1299975,157.384998,159.659996,Bearish,-68
2021-08-31,150.119995,150.929993,149.770004,150.449997,147.290001,154.1299975,156.76249675,159.659996,Bearish,-67
2021-08-30,150.240005,151.009995,149.410004,149.779999,147.290001,154.1299975,156.76249675,160.589996,Bearish,-66
2021-08-27,149.929993,151.029999,149.229996,150.070007,147.290001,154.1299975,156.66499675,161.2599945,Bearish,-65
2021-08-26,149.850006,150.960007,149.009995,149.589996,147.290001,154.1299975,156.66499675,162.089996,Bearish,-64
2021-08-25,149.000000,151.720001,148.330002,150.389999,147.290001,154.1299975,156.66499675,162.089996,Bearish,-63
2021-08-24,145.240005,149.350006,145.240005,148.740005,146.1050035,154.1299975,157.4624975,162.089996,Bearish,-62
2021-08-23,146.050003,146.449997,144.119995,145.339996,145.590004,154.1299975,158.3374975,163.574997,Bearish,-61
2021-08-20,144.630005,146.149994,143.169998,145.460007,145.590004,154.1299975,159.097496,165.6199955,Bearish,-60
2021-08-19,142.860001,144.830002,142.860001,144.119995,145.9800035,154.1299975,160.4674985,166.989998,Bearish,-59
2021-08-18,148.059998,148.320007,144.330002,144.380005,147.1450045,154.529999,160.9524955,168.0449985,Bearish,-58
2021-08-17,146.070007,148.179993,144.550003,147.860001,147.1450045,154.529999,161.3325005,168.0449985,Bearish,-57
2021-08-16,145.960007,147.070007,144.460007,146.570007,148.580002,154.529999,161.84500125,168.0449985,Bearish,-56
2021-08-13,146.000000,146.759995,144.960007,146.089996,149.380005,154.529999,162.21749875,168.0449985,Bearish,-55
2021-08-12,145.440002,147.020004,145.330002,146.410004,154.529999,154.529999,163.33499525,168.0449985,Bearish,-54
2021-08-11,146.830002,146.869995,145.570007,145.699997,154.529999,154.529999,163.33499525,168.0449985,Bearish,-53
2021-08-10,147.199997,147.220001,143.660004,145.770004,154.529999,154.529999,163.33499525,168.0449985,Bearish,-52
2021-08-09,149.000000,149.100006,146.759995,147.440002,156.0799945,156.0799945,163.017498,168.0449985,Bearish,-51
2021-08-06,150.300003,150.630005,147.500000,149.000000,156.3449935,156.3449935,162.824997,168.0449985,Bearish,-50
2021-08-05,148.210007,150.259995,147.289993,150.169998,156.3449935,156.3449935,162.75249875,168.0449985,Bearish,-49
2021-08-04,152.750000,153.500000,147.449997,148.229996,156.4249955,156.4249955,162.444996,168.0449985,Bearish,-48
2021-08-03,152.990005,155.100006,150.039993,153.710007,157.7199935,157.720001,162.444996,168.0449985,Bearish,-47
2021-08-02,164.080002,165.399994,162.779999,163.009995,160.8449935,158.464996,162.3349955,168.0449985,Neutral,-46
2021-07-30,162.789993,164.979996,162.410004,163.419998,157.6199955,158.464996,162.3349955,168.0449985,Neutral,-45
2021-07-29,163.289993,163.500000,160.710007,162.740005,156.464996,158.464996,162.3349955,168.0449985,Neutral,-44
